"location"	"spp"	"ht.2019"	"inc.2019"	"n"
"1"	"control"	"316"	26	13.5	3
"2"	"control"	"318"	22.5	6.625	4
"3"	"control"	"372"	39.65625	20.890625	32
"4"	"control"	"531"	36.82	11.71	50
"5"	"control"	"541"	31.0694444444444	11.875	36
"6"	"control"	"833"	31.6666666666667	3.16666666666667	3
"7"	"control"	"951"	55	19	1
"8"	"interior"	"316"	52.8666666666667	17.3333333333333	15
"9"	"interior"	"318"	45.3333333333333	21.9166666666667	6
"10"	"interior"	"372"	45.2571428571429	29.7142857142857	35
"11"	"interior"	"531"	31.2325581395349	10.7790697674419	43
"12"	"interior"	"541"	27.1739130434783	18.9782608695652	23
"13"	"interior"	"762"	32.75	11.5	2
"14"	"interior"	"833"	28	8	1
"15"	"interior"	"951"	111.5	43.75	6
