"harvest"	"location"	"per.acre.supp"	"per.acre.exp"	"per.acre.top4"
"1"	"boot"	"interior"	11412.1723422859	11412.1723422859	9129.73787382868
"2"	"boot"	"perimeter"	9507.21742053506	9507.21742053506	3836.24562582994
"3"	"cgl"	"control"	3002.27918543212	3002.27918543212	2501.89932119344
"4"	"crp"	"control"	693.86007841098	693.86007841098	0
"5"	"cwb"	"control"	7356.77538493784	7356.77538493784	14945.8699925579
"6"	"gl"	"interior"	4336.62549006862	4336.62549006862	1113.4578960987
"7"	"gl"	"perimeter"	7344.28510414848	7344.28510414848	4616.40777975047
"8"	"rp"	"interior"	3758.40875805947	3758.40875805947	0
"9"	"rp"	"perimeter"	3975.24003256291	3975.24003256291	542.078186258578
"10"	"wedge"	"interior"	6071.27568609607	6071.27568609607	867.325098013725
"11"	"wedge"	"perimeter"	10118.7928101601	10118.7928101601	0
