harvest,location,point,comm.per.acre_point.supp,comm.per.acre_point.exp01,comm.per.acre_point.exp02,comm.per.acre_point.exp03,comm.per.acre_point.expsapl,comm.per.acre_point.exp,comm.per.acre_point.total,comm.per.acre_point.top4,count
boot,interior,349,7089.85093744189,2025.6716964119687,0,0,0,2025.6716964119687,9115.52263385386,385.1589656094425,1
boot,interior,350,2025.6716964119687,5064.179241029922,0,0,0,5064.179241029922,7089.85093744189,0,1
boot,interior,351,0,9115.52263385386,0,0,0,9115.52263385386,9115.52263385386,0,1
boot,interior,352,3038.507544617953,0,385.1589656094425,0,0,385.1589656094425,3423.6665102273955,0,1
boot,interior,353,5064.179241029922,13166.866026677797,0,0,0,13166.866026677797,18231.04526770772,1155.4768968283274,1
boot,interior,354,5064.179241029922,0,0,0,0,0,5064.179241029922,0,1
boot,interior,355,17218.209419501734,7089.85093744189,1540.63586243777,0,0,8630.48679987966,25848.696219381392,0,1
boot,interior,357,1012.8358482059843,0,385.1589656094425,0,0,385.1589656094425,1397.9948138154268,385.1589656094425,1
boot,interior,358,1012.8358482059843,0,0,0,0,0,1012.8358482059843,0,1
boot,interior,359,2025.6716964119687,0,0,0,0,0,2025.6716964119687,0,1
boot,interior,360,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,0,1
boot,interior,361,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885,1
boot,interior,362,21269.55281232567,0,0,0,0,0,21269.55281232567,0,1
boot,interior,364,2025.6716964119687,2025.6716964119687,0,0,0,2025.6716964119687,4051.3433928239374,0,1
boot,interior,365,12154.030178471812,0,770.317931218885,0,0,770.317931218885,12924.348109690698,770.317931218885,1
boot,interior,366,1012.8358482059843,8102.686785647875,1155.4768968283274,0,0,9258.163682476203,10270.999530682187,1540.63586243777,1
boot,interior,367,6077.015089235906,0,4621.90758731331,0,0,4621.90758731331,10698.922676549217,1540.63586243777,1
