harvest,location,comm.per.acre.supp,comm.per.acre.exp01,comm.per.acre.exp02,comm.per.acre.exp03,comm.per.acre.expsapl,comm.per.acre.exp,comm.per.acre.total,comm.per.acre.top4
boot,interior,4823.027848599925,3810.1920003939413,440.18167498222,0,0,4250.373675376161,9073.401523976087,403.49986873370165
boot,perimeter,3608.2277092338195,5317.388203081418,168.50704745413108,0,0,5485.895250535549,9094.12295976937,192.57948280472124
cgl,control,1072.4144275122187,8460.158261485281,271.87691690078293,0,0,8732.035178386064,9804.449605898282,385.1589656094425
crp,control,279.4029926085474,3213.134414998295,26.562687283409826,0,0,3239.697102281705,3519.1000948902524,265.62687283409826
cwb,control,2829.9825170461327,5242.914978948625,45.31281948346382,0,0,5288.227798432089,8118.210315478222,657.0358825102254
gl,interior,1720.9129704195848,1496.2347757588404,1339.3027667782885,43.768064273800285,17.507225709520114,2879.3056068109295,4600.218577230514,393.9125784642025
gl,perimeter,3093.5302539907307,2170.3625318699665,1859.7675767998794,66.027251247333,11.0045418745555,4096.157359917179,7189.6876139079095,484.199842480442
rp,interior,1755.5821368903728,9655.70175289705,616.254344975108,0,25.67726437396283,10271.956097872158,12027.538234762531,487.8680231052938
rp,perimeter,1714.0298969639734,2103.5821462739673,592.5522547837577,0,0,2696.134401057725,4410.164298021698,325.9037401310667
wedge,interior,2025.6716964119687,9549.595140227853,110.045418745555,82.53406405916624,0,9742.174623032573,11767.846319444543,192.57948280472124
wedge,perimeter,2835.940374976756,2835.940374976756,192.57948280472124,38.51589656094425,0,3067.0357543424216,5902.976129319178,154.063586243777
