"stand","wall","location","status","wall_denom"
"boot","99","i","protected",21
"boot","99","p","protected",16
"campridge","99","i","protected",83
"campridge","99","p","protected",11
"circle1","99","i","protected",8
"circle2","99","i","protected",8
"circle3","99","i","protected",8
"decker","99","c","control",15
"decker","99","i","protected",37
"gasline","99","c","control",17
"gasline","99","i","protected",42
"gasline","99","p","protected",35
"recknagel","99","c","control",32
"recknagel","99","i","protected",20
"recknagel","99","p","protected",18
"redpine","99","c","control",29
"redpine","99","i","protected",15
"redpine","99","p","protected",13
"stationrd","99","c","control",34
"wedge","99","i","protected",14
"wedge","99","p","protected",10
"6_6","11","p","protected",5
"6_6","12","p","protected",5
"6_6","13","p","protected",5
"6_6","14","p","protected",10
"6_6","15","c","control",10
"6_6","16","p","protected",10
"6_6","17","p","protected",10
"6_6","18","c","control",10
"6_6","19","p","protected",10
"6_6","20","c","control",10
"6_6","21","c","control",10
"6_6","22","p","protected",5
"6_9","1","p","protected",5
"6_9","10","c","control",10
"6_9","2","p","protected",5
"6_9","3","p","protected",10
"6_9","4","p","protected",10
"6_9","5","p","protected",10
"6_9","6","p","protected",10
"6_9","7","c","control",10
"6_9","8","c","control",10
"6_9","9","c","control",10
"recknagel_north","99","p","protected",15
