harvest,location,point,per.acre_point.supp,per.acre_point.exp,per.acre_point.top4
boot,interior,349,7089.85093744189,2025.6716964119687,385.1589656094425
boot,interior,350,2025.6716964119687,5064.179241029922,0
boot,interior,351,0,9115.52263385386,0
boot,interior,352,3038.507544617953,385.1589656094425,0
boot,interior,353,5064.179241029922,14179.701874883782,1540.63586243777
boot,interior,354,5064.179241029922,0,0
boot,interior,355,17218.209419501734,8630.48679987966,0
boot,interior,357,1012.8358482059843,385.1589656094425,385.1589656094425
boot,interior,358,1012.8358482059843,0,0
boot,interior,359,2025.6716964119687,0,0
boot,interior,360,0,2025.6716964119687,0
boot,interior,361,0,2025.6716964119687,770.317931218885
boot,interior,362,21269.55281232567,0,0
boot,interior,364,2025.6716964119687,2025.6716964119687,0
boot,interior,365,12154.030178471812,770.317931218885,770.317931218885
boot,interior,366,1012.8358482059843,9258.163682476203,1540.63586243777
boot,interior,367,6077.015089235906,4621.90758731331,1540.63586243777
boot,interior,368,0,2410.830662021411,385.1589656094425
boot,interior,369,15192.537723089767,27346.56790156158,1540.63586243777
boot,perimeter,951,12154.030178471812,14950.019806102664,0
boot,perimeter,952,2025.6716964119687,4051.3433928239374,0
boot,perimeter,953,10128.358482059844,3566.3075588497386,1155.4768968283274
boot,perimeter,954,1012.8358482059843,1012.8358482059843,0
boot,perimeter,955,0,1012.8358482059843,385.1589656094425
boot,perimeter,956,0,8102.686785647875,0
boot,perimeter,958,11141.19433026583,16205.37357129575,0
boot,perimeter,959,4051.3433928239374,10513.517447669286,0
boot,perimeter,960,10128.358482059844,0,0
boot,perimeter,962,1012.8358482059843,0,0
boot,perimeter,963,2025.6716964119687,7089.85093744189,770.317931218885
boot,perimeter,964,3038.507544617953,4051.3433928239374,1155.4768968283274
boot,perimeter,965,2025.6716964119687,21654.711777935117,385.1589656094425
cgl,control,729,0,385.1589656094425,385.1589656094425
cgl,control,730,1012.8358482059843,17888.650482355864,1540.63586243777
cgl,control,731,6077.015089235906,8873.004716866759,1155.4768968283274
cgl,control,732,1012.8358482059843,2168.312745034312,1155.4768968283274
cgl,control,733,2025.6716964119687,7617.650951673676,1540.63586243777
cgl,control,734,0,6077.015089235906,0
cgl,control,735,1012.8358482059843,22952.829723385785,1540.63586243777
cgl,control,736,1012.8358482059843,0,385.1589656094425
cgl,control,737,0,8102.686785647875,385.1589656094425
cgl,control,738,0,13166.866026677797,1155.4768968283274
cgl,control,740,0,16205.37357129575,385.1589656094425
cgl,control,742,3038.507544617953,30385.07544617953,385.1589656094425
cgl,control,743,2025.6716964119687,25320.89620514961,0
cgl,control,744,10128.358482059843,32410.7471425915,770.317931218885
cgl,control,745,0,2410.830662021411,385.1589656094425
crp,control,746,0,4051.3433928239374,0
crp,control,747,0,4051.3433928239374,1540.63586243777
crp,control,748,0,8102.686785647875,1540.63586243777
crp,control,750,0,1012.8358482059843,385.1589656094425
crp,control,752,0,8102.686785647875,770.317931218885
crp,control,753,0,2025.6716964119687,0
crp,control,754,0,9500.681599463302,0
crp,control,755,0,2025.6716964119687,0
crp,control,756,1012.8358482059843,7089.85093744189,0
crp,control,757,0,18231.04526770772,0
crp,control,758,3038.507544617953,23295.22450873764,770.317931218885
crp,control,759,0,4436.502358433379,385.1589656094425
crp,control,760,0,11811.635393119956,1540.63586243777
crp,control,761,0,8002.809917283119,1540.63586243777
crp,control,762,1012.8358482059843,9885.840565072744,1540.63586243777
crp,control,763,0,17218.209419501734,1540.63586243777
crp,control,764,0,6077.015089235906,0
crp,control,765,0,3038.507544617953,385.1589656094425
crp,control,766,0,8002.809917283119,1540.63586243777
crp,control,767,0,11141.194330265827,0
crp,control,768,0,4051.3433928239374,1155.4768968283274
crp,control,769,0,3038.507544617953,385.1589656094425
crp,control,770,0,8102.686785647875,1155.4768968283274
crp,control,771,7089.85093744189,4051.3433928239374,770.317931218885
crp,control,772,0,1012.8358482059843,0
crp,control,773,0,6462.174054845349,385.1589656094425
crp,control,774,0,7089.85093744189,1540.63586243777
crp,control,775,0,3038.507544617953,770.317931218885
cwb,control,384,0,3038.507544617953,1155.4768968283274
cwb,control,385,0,5206.820289652265,1540.63586243777
cwb,control,386,2025.6716964119687,18231.04526770772,1540.63586243777
cwb,control,387,8102.686785647875,23295.22450873764,1540.63586243777
cwb,control,388,4051.3433928239374,0,1540.63586243777
cwb,control,389,5064.179241029922,8102.686785647875,1540.63586243777
cwb,control,390,9115.52263385386,22282.388660531655,1540.63586243777
cwb,control,391,3038.507544617953,5064.179241029922,1540.63586243777
cwb,control,392,2025.6716964119687,1783.1537794248693,770.317931218885
cwb,control,393,35449.25468720945,30385.07544617953,385.1589656094425
cwb,control,394,1012.8358482059843,0,385.1589656094425
cwb,control,395,0,2025.6716964119687,770.317931218885
cwb,control,396,1012.8358482059843,0,385.1589656094425
cwb,control,397,1012.8358482059843,0,0
cwb,control,399,1012.8358482059843,0,0
cwb,control,400,1012.8358482059843,0,0
cwb,control,702,1012.8358482059843,8102.686785647875,1155.4768968283274
cwb,control,705,1012.8358482059843,0,0
cwb,control,706,2025.6716964119687,1012.8358482059843,1155.4768968283274
cwb,control,707,1012.8358482059843,0,385.1589656094425
cwb,control,708,2025.6716964119687,17218.209419501734,1540.63586243777
cwb,control,710,0,2025.6716964119687,0
cwb,control,711,3038.507544617953,6077.015089235906,1540.63586243777
cwb,control,712,2025.6716964119687,1012.8358482059843,0
cwb,control,713,2025.6716964119687,0,0
cwb,control,947,1012.8358482059843,3038.507544617953,0
cwb,control,948,6077.015089235906,22667.5476261411,1540.63586243777
cwb,control,949,2025.6716964119687,1012.8358482059843,1155.4768968283274
gl,interior,836,0,4051.3433928239374,1540.63586243777
gl,interior,837,1012.8358482059843,8188.215146163048,1540.63586243777
gl,interior,838,0,9158.286814111445,1540.63586243777
gl,interior,839,5591.979255261707,5777.384484141638,1540.63586243777
gl,interior,840,0,1397.9948138154268,385.1589656094425
gl,interior,841,5064.179241029922,4336.625490068624,770.317931218885
gl,interior,842,1012.8358482059843,4621.90758731331,1155.4768968283274
gl,interior,843,0,4236.748621703868,770.317931218885
gl,interior,844,1012.8358482059843,1397.9948138154268,0
