"harvest"	"location"	"point"	"per.acre_point.supp"	"per.acre_point.exp"	"per.acre_point.top4"
"1"	"boot"	"interior"	349	15178.1892152402	15178.1892152402	0
"2"	"boot"	"interior"	350	4336.62549006862	4336.62549006862	0
"3"	"boot"	"interior"	351	0	0	0
"4"	"boot"	"interior"	352	6504.93823510294	6504.93823510294	0
"5"	"boot"	"interior"	353	10841.5637251716	10841.5637251716	32524.6911755147
"6"	"boot"	"interior"	354	10841.5637251716	10841.5637251716	0
"7"	"boot"	"interior"	355	36861.3166655833	36861.3166655833	0
"8"	"boot"	"interior"	357	2168.31274503431	2168.31274503431	2168.31274503431
"9"	"boot"	"interior"	358	2168.31274503431	2168.31274503431	0
"10"	"boot"	"interior"	359	4336.62549006862	4336.62549006862	0
"11"	"boot"	"interior"	360	0	0	0
"12"	"boot"	"interior"	361	0	0	0
"13"	"boot"	"interior"	362	45534.5676457205	45534.5676457205	0
"14"	"boot"	"interior"	364	4336.62549006862	4336.62549006862	0
"15"	"boot"	"interior"	365	26019.7529404117	26019.7529404117	8673.25098013725
"16"	"boot"	"interior"	366	2168.31274503431	2168.31274503431	8673.25098013725
"17"	"boot"	"interior"	367	13009.8764702059	13009.8764702059	34693.003920549
"18"	"boot"	"interior"	368	0	0	0
"19"	"boot"	"interior"	369	32524.6911755147	32524.6911755147	86732.5098013725
"20"	"boot"	"perimeter"	951	26019.7529404117	26019.7529404117	0
"21"	"boot"	"perimeter"	952	4336.62549006862	4336.62549006862	0
"22"	"boot"	"perimeter"	953	21683.1274503431	21683.1274503431	26019.7529404117
"23"	"boot"	"perimeter"	954	2168.31274503431	2168.31274503431	0
"24"	"boot"	"perimeter"	955	0	0	0
"25"	"boot"	"perimeter"	956	0	0	0
"26"	"boot"	"perimeter"	958	23851.4401953774	23851.4401953774	0
"27"	"boot"	"perimeter"	959	8673.25098013725	8673.25098013725	0
"28"	"boot"	"perimeter"	960	21683.1274503431	21683.1274503431	0
"29"	"boot"	"perimeter"	962	2168.31274503431	2168.31274503431	0
"30"	"boot"	"perimeter"	963	4336.62549006862	4336.62549006862	4336.62549006862
"31"	"boot"	"perimeter"	964	6504.93823510294	6504.93823510294	19514.8147053088
"32"	"boot"	"perimeter"	965	4336.62549006862	4336.62549006862	4336.62549006862
"33"	"cgl"	"control"	729	0	0	0
"34"	"cgl"	"control"	730	2168.31274503431	2168.31274503431	0
"35"	"cgl"	"control"	731	13009.8764702059	13009.8764702059	4336.62549006862
"36"	"cgl"	"control"	732	2168.31274503431	2168.31274503431	0
"37"	"cgl"	"control"	733	4336.62549006862	4336.62549006862	0
"38"	"cgl"	"control"	734	0	0	0
"39"	"cgl"	"control"	735	2168.31274503431	2168.31274503431	0
"40"	"cgl"	"control"	736	2168.31274503431	2168.31274503431	2168.31274503431
"41"	"cgl"	"control"	737	0	0	0
"42"	"cgl"	"control"	738	0	0	0
"43"	"cgl"	"control"	740	0	0	0
"44"	"cgl"	"control"	742	6504.93823510294	6504.93823510294	2168.31274503431
"45"	"cgl"	"control"	743	4336.62549006862	4336.62549006862	0
"46"	"cgl"	"control"	744	21683.1274503431	21683.1274503431	30356.3784304804
"47"	"cgl"	"control"	745	0	0	0
"48"	"crp"	"control"	746	0	0	0
"49"	"crp"	"control"	747	0	0	0
"50"	"crp"	"control"	748	0	0	0
"51"	"crp"	"control"	750	0	0	0
"52"	"crp"	"control"	752	0	0	0
"53"	"crp"	"control"	753	0	0	0
"54"	"crp"	"control"	754	0	0	0
"55"	"crp"	"control"	755	0	0	0
"56"	"crp"	"control"	756	2168.31274503431	2168.31274503431	0
"57"	"crp"	"control"	757	0	0	0
"58"	"crp"	"control"	758	6504.93823510294	6504.93823510294	4336.62549006862
"59"	"crp"	"control"	759	0	0	0
"60"	"crp"	"control"	760	0	0	0
"61"	"crp"	"control"	761	0	0	0
"62"	"crp"	"control"	762	2168.31274503431	2168.31274503431	0
"63"	"crp"	"control"	763	0	0	0
"64"	"crp"	"control"	764	0	0	0
"65"	"crp"	"control"	765	0	0	0
"66"	"crp"	"control"	766	0	0	0
"67"	"crp"	"control"	767	0	0	0
"68"	"crp"	"control"	768	0	0	0
"69"	"crp"	"control"	769	0	0	0
"70"	"crp"	"control"	770	0	0	0
"71"	"crp"	"control"	771	15178.1892152402	15178.1892152402	2168.31274503431
"72"	"crp"	"control"	772	0	0	0
"73"	"crp"	"control"	773	0	0	0
"74"	"crp"	"control"	774	0	0	0
"75"	"crp"	"control"	775	0	0	0
"76"	"cwb"	"control"	384	0	0	0
"77"	"cwb"	"control"	385	0	0	0
"78"	"cwb"	"control"	386	4336.62549006862	4336.62549006862	17346.5019602745
"79"	"cwb"	"control"	387	17346.5019602745	17346.5019602745	69386.007841098
"80"	"cwb"	"control"	388	8673.25098013725	8673.25098013725	17346.5019602745
"81"	"cwb"	"control"	389	10841.5637251716	10841.5637251716	34693.003920549
"82"	"cwb"	"control"	390	19514.8147053088	19514.8147053088	78059.2588212352
"83"	"cwb"	"control"	391	6504.93823510294	6504.93823510294	26019.7529404117
"84"	"cwb"	"control"	392	4336.62549006862	4336.62549006862	4336.62549006862
"85"	"cwb"	"control"	393	75890.9460762009	75890.9460762009	75890.9460762009
"86"	"cwb"	"control"	394	2168.31274503431	2168.31274503431	2168.31274503431
"87"	"cwb"	"control"	395	0	0	0
"88"	"cwb"	"control"	396	2168.31274503431	2168.31274503431	2168.31274503431
"89"	"cwb"	"control"	397	2168.31274503431	2168.31274503431	0
"90"	"cwb"	"control"	399	2168.31274503431	2168.31274503431	0
"91"	"cwb"	"control"	400	2168.31274503431	2168.31274503431	0
"92"	"cwb"	"control"	702	2168.31274503431	2168.31274503431	6504.93823510294
"93"	"cwb"	"control"	705	2168.31274503431	2168.31274503431	0
"94"	"cwb"	"control"	706	4336.62549006862	4336.62549006862	13009.8764702059
"95"	"cwb"	"control"	707	2168.31274503431	2168.31274503431	2168.31274503431
"96"	"cwb"	"control"	708	4336.62549006862	4336.62549006862	8673.25098013725
"97"	"cwb"	"control"	710	0	0	0
"98"	"cwb"	"control"	711	6504.93823510294	6504.93823510294	26019.7529404117
"99"	"cwb"	"control"	712	4336.62549006862	4336.62549006862	0
"100"	"cwb"	"control"	713	4336.62549006862	4336.62549006862	0
"101"	"cwb"	"control"	947	2168.31274503431	2168.31274503431	0
"102"	"cwb"	"control"	948	13009.8764702059	13009.8764702059	26019.7529404117
"103"	"cwb"	"control"	949	4336.62549006862	4336.62549006862	13009.8764702059
"104"	"gl"	"interior"	836	0	0	0
"105"	"gl"	"interior"	837	2168.31274503431	2168.31274503431	0
