harvest,location,div.per.acre.supp,div.per.acre.exp,div.per.acre.total,div.per.acre.top4
boot,interior,4823.027848599925,4298.60395386216,9121.631802462085,421.8407718579608
boot,perimeter,3671.5299497466935,5763.176647937636,9434.70659768433,240.72435350590155
cgl,control,1608.621641268328,11409.711677277954,13018.333318546283,657.0358825102254
crp,control,419.1044889128211,7006.224069515304,7425.328558428126,677.3485257269506
cwb,control,2859.7718066992497,5340.673497826938,8200.445304526187,679.6922922519574
gl,interior,2933.1380879097055,4861.196450617681,7794.334538527387,787.825156928405
gl,perimeter,4655.7813195699755,7836.093921316515,12491.875240886491,990.4087687099949
rp,interior,3593.8979576036454,16423.133278660036,20017.031236263683,1078.4451037064389
rp,perimeter,4188.509068164311,8611.80993370441,12800.31900186872,770.3179312188848
wedge,interior,2098.0171141409674,10117.144942311848,12215.162056452817,302.62490155027626
wedge,perimeter,2835.940374976756,4696.125947523515,7532.06632250027,616.254344975108
