harvest,location,plot_attrib,attrib_val,n,freq
sta_rd,control,comm_stock,comm_stkd,1,0.029411764705882353
sta_rd,control,comm_stock,NA,33,0.9705882352941176
sta_rd,interior,comm_stock,comm_stkd,5,0.14285714285714285
sta_rd,interior,comm_stock,NA,30,0.8571428571428571
sta_rd,perimeter,comm_stock,comm_stkd,3,0.11538461538461539
sta_rd,perimeter,comm_stock,NA,23,0.8846153846153846
sta_rd,control,diver_stock,div_stkd,2,0.058823529411764705
sta_rd,control,diver_stock,NA,32,0.9411764705882353
sta_rd,interior,diver_stock,div_stkd,7,0.2
sta_rd,interior,diver_stock,NA,28,0.8
sta_rd,perimeter,diver_stock,div_stkd,6,0.23076923076923078
sta_rd,perimeter,diver_stock,NA,20,0.7692307692307693
sta_rd,control,fern_stock,intf_stkd,8,0.23529411764705882
sta_rd,control,fern_stock,NA,26,0.7647058823529411
sta_rd,interior,fern_stock,intf_stkd,7,0.2
sta_rd,interior,fern_stock,NA,28,0.8
sta_rd,perimeter,fern_stock,intf_stkd,2,0.07692307692307693
sta_rd,perimeter,fern_stock,NA,24,0.9230769230769231
sta_rd,control,interf_woody_stock,inft_stkd,5,0.14705882352941177
sta_rd,control,interf_woody_stock,NA,29,0.8529411764705882
sta_rd,interior,interf_woody_stock,inft_stkd,17,0.4857142857142857
sta_rd,interior,interf_woody_stock,NA,18,0.5142857142857142
sta_rd,perimeter,interf_woody_stock,inft_stkd,11,0.4230769230769231
sta_rd,perimeter,interf_woody_stock,NA,15,0.5769230769230769
sta_rd,control,pre_comm_stock,pre_comm_deer1,3,0.08823529411764706
sta_rd,control,pre_comm_stock,pre_comm_deer2,6,0.17647058823529413
sta_rd,control,pre_comm_stock,NA,25,0.7352941176470589
sta_rd,interior,pre_comm_stock,pre_comm_deer1,3,0.08571428571428572
sta_rd,interior,pre_comm_stock,pre_comm_deer2,5,0.14285714285714285
sta_rd,interior,pre_comm_stock,NA,27,0.7714285714285715
sta_rd,perimeter,pre_comm_stock,pre_comm_deer1,3,0.11538461538461539
sta_rd,perimeter,pre_comm_stock,pre_comm_deer2,4,0.15384615384615385
sta_rd,perimeter,pre_comm_stock,NA,19,0.7307692307692307
sta_rd,control,pre_diver_stock,pre_diver_deer1,3,0.08823529411764706
sta_rd,control,pre_diver_stock,pre_diver_deer2,6,0.17647058823529413
sta_rd,control,pre_diver_stock,NA,25,0.7352941176470589
sta_rd,interior,pre_diver_stock,pre_diver_deer1,3,0.08571428571428572
sta_rd,interior,pre_diver_stock,pre_diver_deer2,5,0.14285714285714285
sta_rd,interior,pre_diver_stock,NA,27,0.7714285714285715
sta_rd,perimeter,pre_diver_stock,pre_diver_deer1,4,0.15384615384615385
sta_rd,perimeter,pre_diver_stock,pre_diver_deer2,4,0.15384615384615385
sta_rd,perimeter,pre_diver_stock,NA,18,0.6923076923076923
sta_rd,control,winner_stock,win_01,4,0.11764705882352941
sta_rd,control,winner_stock,win_02,15,0.4411764705882353
sta_rd,control,winner_stock,NA,15,0.4411764705882353
sta_rd,interior,winner_stock,win_01,4,0.11428571428571428
sta_rd,interior,winner_stock,win_02,8,0.22857142857142856
sta_rd,interior,winner_stock,NA,23,0.6571428571428571
sta_rd,perimeter,winner_stock,win_01,2,0.07692307692307693
sta_rd,perimeter,winner_stock,win_02,3,0.11538461538461539
sta_rd,perimeter,winner_stock,NA,21,0.8076923076923077
gas_line,control,comm_stock,comm_stkd,2,0.11764705882352941
gas_line,control,comm_stock,NA,15,0.8823529411764706
gas_line,interior,comm_stock,comm_stkd,18,0.4090909090909091
gas_line,interior,comm_stock,NA,26,0.5909090909090909
gas_line,perimeter,comm_stock,comm_stkd,18,0.5142857142857142
gas_line,perimeter,comm_stock,NA,17,0.4857142857142857
gas_line,control,diver_stock,div_stkd,5,0.29411764705882354
gas_line,control,diver_stock,NA,12,0.7058823529411765
gas_line,interior,diver_stock,div_stkd,26,0.5909090909090909
gas_line,interior,diver_stock,NA,18,0.4090909090909091
gas_line,perimeter,diver_stock,div_stkd,29,0.8285714285714286
gas_line,perimeter,diver_stock,NA,6,0.17142857142857143
gas_line,control,fern_stock,intf_stkd,1,0.058823529411764705
gas_line,control,fern_stock,NA,16,0.9411764705882353
gas_line,interior,fern_stock,intf_stkd,9,0.20454545454545456
gas_line,interior,fern_stock,NA,35,0.7954545454545454
gas_line,perimeter,fern_stock,intf_stkd,2,0.05714285714285714
gas_line,perimeter,fern_stock,NA,33,0.9428571428571428
gas_line,control,interf_woody_stock,inft_stkd,10,0.5882352941176471
gas_line,control,interf_woody_stock,NA,7,0.4117647058823529
gas_line,interior,interf_woody_stock,inft_stkd,16,0.36363636363636365
gas_line,interior,interf_woody_stock,NA,28,0.6363636363636364
gas_line,perimeter,interf_woody_stock,inft_stkd,18,0.5142857142857142
gas_line,perimeter,interf_woody_stock,NA,17,0.4857142857142857
gas_line,control,pre_comm_stock,pre_comm_deer1,2,0.11764705882352941
gas_line,control,pre_comm_stock,pre_comm_deer2,6,0.35294117647058826
gas_line,control,pre_comm_stock,NA,9,0.5294117647058824
gas_line,interior,pre_comm_stock,pre_comm_deer1,1,0.022727272727272728
gas_line,interior,pre_comm_stock,pre_comm_deer2,1,0.022727272727272728
gas_line,interior,pre_comm_stock,NA,42,0.9545454545454546
gas_line,perimeter,pre_comm_stock,pre_comm_deer1,3,0.08571428571428572
gas_line,perimeter,pre_comm_stock,NA,32,0.9142857142857143
gas_line,control,pre_diver_stock,pre_diver_deer1,4,0.23529411764705882
gas_line,control,pre_diver_stock,pre_diver_deer2,7,0.4117647058823529
gas_line,control,pre_diver_stock,NA,6,0.35294117647058826
gas_line,interior,pre_diver_stock,pre_diver_deer1,3,0.06818181818181818
gas_line,interior,pre_diver_stock,pre_diver_deer2,2,0.045454545454545456
gas_line,interior,pre_diver_stock,NA,39,0.8863636363636364
gas_line,perimeter,pre_diver_stock,pre_diver_deer1,8,0.22857142857142856
gas_line,perimeter,pre_diver_stock,pre_diver_deer2,3,0.08571428571428572
gas_line,perimeter,pre_diver_stock,NA,24,0.6857142857142857
gas_line,control,winner_stock,win_01,6,0.35294117647058826
gas_line,control,winner_stock,win_02,4,0.23529411764705882
gas_line,control,winner_stock,NA,7,0.4117647058823529
gas_line,interior,winner_stock,win_01,6,0.13636363636363635
gas_line,interior,winner_stock,win_02,14,0.3181818181818182
gas_line,interior,winner_stock,NA,24,0.5454545454545454
gas_line,perimeter,winner_stock,win_01,7,0.2
gas_line,perimeter,winner_stock,win_02,12,0.34285714285714286
gas_line,perimeter,winner_stock,NA,16,0.45714285714285713
red_pine,control,comm_stock,NA,29,1
red_pine,interior,comm_stock,comm_stkd,5,0.3333333333333333
red_pine,interior,comm_stock,NA,10,0.6666666666666666
red_pine,perimeter,comm_stock,comm_stkd,5,0.38461538461538464
red_pine,perimeter,comm_stock,NA,8,0.6153846153846154
red_pine,control,diver_stock,div_stkd,4,0.13793103448275862
red_pine,control,diver_stock,NA,25,0.8620689655172413
red_pine,interior,diver_stock,div_stkd,11,0.7333333333333333
red_pine,interior,diver_stock,NA,4,0.26666666666666666
red_pine,perimeter,diver_stock,div_stkd,10,0.7692307692307693
red_pine,perimeter,diver_stock,NA,3,0.23076923076923078
red_pine,control,fern_stock,intf_stkd,2,0.06896551724137931
red_pine,control,fern_stock,NA,27,0.9310344827586207
red_pine,interior,fern_stock,NA,15,1
red_pine,perimeter,fern_stock,NA,13,1
red_pine,control,interf_woody_stock,inft_stkd,15,0.5172413793103449
red_pine,control,interf_woody_stock,NA,14,0.4827586206896552
red_pine,interior,interf_woody_stock,inft_stkd,6,0.4
red_pine,interior,interf_woody_stock,NA,9,0.6
red_pine,perimeter,interf_woody_stock,inft_stkd,7,0.5384615384615384
red_pine,perimeter,interf_woody_stock,NA,6,0.46153846153846156
red_pine,control,pre_comm_stock,pre_comm_deer1,7,0.2413793103448276
red_pine,control,pre_comm_stock,NA,22,0.7586206896551724
red_pine,interior,pre_comm_stock,pre_comm_deer1,5,0.3333333333333333
red_pine,interior,pre_comm_stock,pre_comm_deer2,4,0.26666666666666666
red_pine,interior,pre_comm_stock,NA,6,0.4
red_pine,perimeter,pre_comm_stock,pre_comm_deer1,2,0.15384615384615385
red_pine,perimeter,pre_comm_stock,NA,11,0.8461538461538461
red_pine,control,pre_diver_stock,pre_diver_deer1,13,0.4482758620689655
red_pine,control,pre_diver_stock,pre_diver_deer2,3,0.10344827586206896
red_pine,control,pre_diver_stock,NA,13,0.4482758620689655
red_pine,interior,pre_diver_stock,pre_diver_deer1,5,0.3333333333333333
red_pine,interior,pre_diver_stock,pre_diver_deer2,6,0.4
red_pine,interior,pre_diver_stock,NA,4,0.26666666666666666
red_pine,perimeter,pre_diver_stock,pre_diver_deer1,4,0.3076923076923077
red_pine,perimeter,pre_diver_stock,pre_diver_deer2,1,0.07692307692307693
red_pine,perimeter,pre_diver_stock,NA,8,0.6153846153846154
red_pine,control,winner_stock,win_01,5,0.1724137931034483
red_pine,control,winner_stock,win_02,5,0.1724137931034483
red_pine,control,winner_stock,NA,19,0.6551724137931034
red_pine,interior,winner_stock,win_02,6,0.4
red_pine,interior,winner_stock,NA,9,0.6
red_pine,perimeter,winner_stock,win_01,5,0.38461538461538464
red_pine,perimeter,winner_stock,win_02,2,0.15384615384615385
red_pine,perimeter,winner_stock,NA,6,0.46153846153846156
