harvest,location,plot_attrib,attrib_val,n,freq
sta_rd,control,div_stock,not,22,64.70588235294117
sta_rd,control,div_stock,stocked_div,12,35.294117647058826
sta_rd,interior,div_stock,not,35,100
sta_rd,perimeter,div_stock,not,26,100
sta_rd,control,silvah2,not,33,97.05882352941177
sta_rd,control,silvah2,stocked2,1,2.941176470588235
sta_rd,interior,silvah2,not,35,100
sta_rd,perimeter,silvah2,not,26,100
sta_rd,control,silvah25,not,28,82.35294117647058
sta_rd,control,silvah25,stocked25,6,17.647058823529413
sta_rd,interior,silvah25,not,35,100
sta_rd,perimeter,silvah25,not,26,100
sta_rd,control,silvah5,not,34,100
sta_rd,interior,silvah5,not,35,100
sta_rd,perimeter,silvah5,not,26,100
sta_rd,control,woody_stock,inft_stkd,5,14.705882352941178
sta_rd,control,woody_stock,not,29,85.29411764705883
sta_rd,interior,woody_stock,not,35,100
sta_rd,perimeter,woody_stock,not,26,100
gas_line,control,div_stock,not,5,29.411764705882355
gas_line,control,div_stock,stocked_div,12,70.58823529411765
gas_line,interior,div_stock,not,12,28.57142857142857
gas_line,interior,div_stock,stocked_div,30,71.42857142857143
gas_line,perimeter,div_stock,not,4,11.76470588235294
gas_line,perimeter,div_stock,stocked_div,30,88.23529411764706
gas_line,control,silvah2,not,15,88.23529411764706
gas_line,control,silvah2,stocked2,2,11.76470588235294
gas_line,interior,silvah2,not,25,59.523809523809526
gas_line,interior,silvah2,stocked2,17,40.476190476190474
gas_line,perimeter,silvah2,not,17,50
gas_line,perimeter,silvah2,stocked2,17,50
gas_line,control,silvah25,not,11,64.70588235294117
gas_line,control,silvah25,stocked25,6,35.294117647058826
gas_line,interior,silvah25,not,41,97.61904761904762
gas_line,interior,silvah25,stocked25,1,2.380952380952381
gas_line,perimeter,silvah25,not,31,91.17647058823529
gas_line,perimeter,silvah25,stocked25,3,8.823529411764707
gas_line,control,silvah5,not,16,94.11764705882352
gas_line,control,silvah5,stocked5,1,5.88235294117647
gas_line,interior,silvah5,not,30,71.42857142857143
gas_line,interior,silvah5,stocked5,12,28.57142857142857
gas_line,perimeter,silvah5,not,24,70.58823529411765
gas_line,perimeter,silvah5,stocked5,10,29.411764705882355
gas_line,control,woody_stock,inft_stkd,10,58.82352941176471
gas_line,control,woody_stock,not,7,41.17647058823529
gas_line,interior,woody_stock,inft_stkd,14,33.33333333333333
gas_line,interior,woody_stock,not,28,66.66666666666666
gas_line,perimeter,woody_stock,inft_stkd,17,50
gas_line,perimeter,woody_stock,not,17,50
red_pine,control,div_stock,not,15,51.724137931034484
red_pine,control,div_stock,stocked_div,14,48.275862068965516
red_pine,interior,div_stock,stocked_div,15,100
red_pine,perimeter,div_stock,not,1,7.6923076923076925
red_pine,perimeter,div_stock,stocked_div,12,92.3076923076923
red_pine,control,silvah2,not,29,100
red_pine,interior,silvah2,not,10,66.66666666666666
red_pine,interior,silvah2,stocked2,5,33.33333333333333
red_pine,perimeter,silvah2,not,8,61.53846153846154
red_pine,perimeter,silvah2,stocked2,5,38.46153846153847
red_pine,control,silvah25,not,29,100
red_pine,interior,silvah25,not,10,66.66666666666666
red_pine,interior,silvah25,stocked25,5,33.33333333333333
red_pine,perimeter,silvah25,not,13,100
red_pine,control,silvah5,not,29,100
red_pine,interior,silvah5,not,14,93.33333333333333
red_pine,interior,silvah5,stocked5,1,6.666666666666667
red_pine,perimeter,silvah5,not,12,92.3076923076923
red_pine,perimeter,silvah5,stocked5,1,7.6923076923076925
red_pine,control,woody_stock,inft_stkd,15,51.724137931034484
red_pine,control,woody_stock,not,14,48.275862068965516
red_pine,interior,woody_stock,inft_stkd,6,40
red_pine,interior,woody_stock,not,9,60
red_pine,perimeter,woody_stock,inft_stkd,7,53.84615384615385
red_pine,perimeter,woody_stock,not,6,46.15384615384615
