harvest,plot_attrib,location,attrib_val,n,freq
gas_line,div_stock,control,not,11,64.70588235294117
gas_line,div_stock,control,stocked_div,6,35.294117647058826
gas_line,div_stock,interior,not,36,85.71428571428571
gas_line,div_stock,interior,stocked_div,6,14.285714285714285
gas_line,div_stock,perimeter,not,29,85.29411764705883
gas_line,div_stock,perimeter,stocked_div,5,14.705882352941178
gas_line,silvah2,control,not,16,94.11764705882352
gas_line,silvah2,control,stocked2,1,5.88235294117647
gas_line,silvah2,interior,not,38,90.47619047619048
gas_line,silvah2,interior,stocked2,4,9.523809523809524
gas_line,silvah2,perimeter,not,29,85.29411764705883
gas_line,silvah2,perimeter,stocked2,5,14.705882352941178
gas_line,silvah25,control,not,11,64.70588235294117
gas_line,silvah25,control,stocked25,6,35.294117647058826
gas_line,silvah25,interior,not,41,97.61904761904762
gas_line,silvah25,interior,stocked25,1,2.380952380952381
gas_line,silvah25,perimeter,not,31,91.17647058823529
gas_line,silvah25,perimeter,stocked25,3,8.823529411764707
gas_line,silvah25a,control,not,11,64.70588235294117
gas_line,silvah25a,control,stocked25a,6,35.294117647058826
gas_line,silvah25a,interior,not,36,85.71428571428571
gas_line,silvah25a,interior,stocked25a,6,14.285714285714285
gas_line,silvah25a,perimeter,not,29,85.29411764705883
gas_line,silvah25a,perimeter,stocked25a,5,14.705882352941178
gas_line,silvah2a,control,not,16,94.11764705882352
gas_line,silvah2a,control,stocked2a,1,5.88235294117647
gas_line,silvah2a,interior,not,38,90.47619047619048
gas_line,silvah2a,interior,stocked2a,4,9.523809523809524
gas_line,silvah2a,perimeter,not,29,85.29411764705883
gas_line,silvah2a,perimeter,stocked2a,5,14.705882352941178
gas_line,silvah5,control,not,16,94.11764705882352
gas_line,silvah5,control,stocked5,1,5.88235294117647
gas_line,silvah5,interior,not,39,92.85714285714286
gas_line,silvah5,interior,stocked5,3,7.142857142857142
gas_line,silvah5,perimeter,not,29,85.29411764705883
gas_line,silvah5,perimeter,stocked5,5,14.705882352941178
gas_line,silvah5a,control,not,16,94.11764705882352
gas_line,silvah5a,control,stocked5a,1,5.88235294117647
gas_line,silvah5a,interior,not,39,92.85714285714286
gas_line,silvah5a,interior,stocked5a,3,7.142857142857142
gas_line,silvah5a,perimeter,not,29,85.29411764705883
gas_line,silvah5a,perimeter,stocked5a,5,14.705882352941178
gas_line,woody_stock,control,inft_stkd,2,11.76470588235294
gas_line,woody_stock,control,not,15,88.23529411764706
gas_line,woody_stock,interior,inft_stkd,2,4.761904761904762
gas_line,woody_stock,interior,not,40,95.23809523809523
gas_line,woody_stock,perimeter,inft_stkd,2,5.88235294117647
gas_line,woody_stock,perimeter,not,32,94.11764705882352
red_pine,div_stock,control,not,28,96.55172413793103
red_pine,div_stock,control,stocked_div,1,3.4482758620689653
red_pine,div_stock,interior,not,10,66.66666666666666
red_pine,div_stock,interior,stocked_div,5,33.33333333333333
red_pine,div_stock,perimeter,not,11,84.61538461538461
red_pine,div_stock,perimeter,stocked_div,2,15.384615384615385
red_pine,silvah2,control,not,29,100
red_pine,silvah2,interior,not,13,86.66666666666667
red_pine,silvah2,interior,stocked2,2,13.333333333333334
red_pine,silvah2,perimeter,not,11,84.61538461538461
red_pine,silvah2,perimeter,stocked2,2,15.384615384615385
red_pine,silvah25,control,not,29,100
red_pine,silvah25,interior,not,10,66.66666666666666
red_pine,silvah25,interior,stocked25,5,33.33333333333333
red_pine,silvah25,perimeter,not,13,100
red_pine,silvah25a,control,not,28,96.55172413793103
red_pine,silvah25a,control,stocked25a,1,3.4482758620689653
red_pine,silvah25a,interior,not,10,66.66666666666666
red_pine,silvah25a,interior,stocked25a,5,33.33333333333333
red_pine,silvah25a,perimeter,not,11,84.61538461538461
red_pine,silvah25a,perimeter,stocked25a,2,15.384615384615385
red_pine,silvah2a,control,not,29,100
red_pine,silvah2a,interior,not,13,86.66666666666667
red_pine,silvah2a,interior,stocked2a,2,13.333333333333334
red_pine,silvah2a,perimeter,not,11,84.61538461538461
red_pine,silvah2a,perimeter,stocked2a,2,15.384615384615385
red_pine,silvah5,control,not,29,100
red_pine,silvah5,interior,not,14,93.33333333333333
red_pine,silvah5,interior,stocked5,1,6.666666666666667
red_pine,silvah5,perimeter,not,12,92.3076923076923
red_pine,silvah5,perimeter,stocked5,1,7.6923076923076925
red_pine,silvah5a,control,not,29,100
red_pine,silvah5a,interior,not,14,93.33333333333333
red_pine,silvah5a,interior,stocked5a,1,6.666666666666667
red_pine,silvah5a,perimeter,not,12,92.3076923076923
red_pine,silvah5a,perimeter,stocked5a,1,7.6923076923076925
red_pine,woody_stock,control,inft_stkd,1,3.4482758620689653
red_pine,woody_stock,control,not,28,96.55172413793103
red_pine,woody_stock,interior,inft_stkd,3,20
red_pine,woody_stock,interior,not,12,80
red_pine,woody_stock,perimeter,inft_stkd,2,15.384615384615385
red_pine,woody_stock,perimeter,not,11,84.61538461538461
sta_rd,div_stock,control,not,27,79.41176470588235
sta_rd,div_stock,control,stocked_div,7,20.588235294117645
sta_rd,div_stock,interior,not,26,74.28571428571429
sta_rd,div_stock,interior,stocked_div,9,25.71428571428571
sta_rd,div_stock,perimeter,not,18,69.23076923076923
sta_rd,div_stock,perimeter,stocked_div,8,30.76923076923077
sta_rd,silvah2,control,not,34,100
sta_rd,silvah2,interior,not,35,100
sta_rd,silvah2,perimeter,not,26,100
sta_rd,silvah25,control,not,28,82.35294117647058
sta_rd,silvah25,control,stocked25,6,17.647058823529413
sta_rd,silvah25,interior,not,35,100
sta_rd,silvah25,perimeter,not,26,100
sta_rd,silvah25a,control,not,27,79.41176470588235
sta_rd,silvah25a,control,stocked25a,7,20.588235294117645
sta_rd,silvah25a,interior,not,25,71.42857142857143
sta_rd,silvah25a,interior,stocked25a,10,28.57142857142857
sta_rd,silvah25a,perimeter,not,17,65.38461538461539
sta_rd,silvah25a,perimeter,stocked25a,9,34.61538461538461
sta_rd,silvah2a,control,not,34,100
sta_rd,silvah2a,interior,not,31,88.57142857142857
sta_rd,silvah2a,interior,stocked2a,4,11.428571428571429
sta_rd,silvah2a,perimeter,not,24,92.3076923076923
sta_rd,silvah2a,perimeter,stocked2a,2,7.6923076923076925
sta_rd,silvah5,control,not,34,100
sta_rd,silvah5,interior,not,35,100
sta_rd,silvah5,perimeter,not,26,100
sta_rd,silvah5a,control,not,34,100
sta_rd,silvah5a,interior,not,34,97.14285714285714
sta_rd,silvah5a,interior,stocked5a,1,2.857142857142857
sta_rd,silvah5a,perimeter,not,26,100
sta_rd,woody_stock,control,inft_stkd,3,8.823529411764707
sta_rd,woody_stock,control,not,31,91.17647058823529
sta_rd,woody_stock,interior,inft_stkd,5,14.285714285714285
sta_rd,woody_stock,interior,not,30,85.71428571428571
sta_rd,woody_stock,perimeter,inft_stkd,7,26.923076923076923
sta_rd,woody_stock,perimeter,not,19,73.07692307692307
