"location"	"spp"	"ht.2019"	"inc.2019"	"n"
"1"	"control"	"316"	46.6666666666667	15.6666666666667	15
"2"	"control"	"356"	32	5	1
"3"	"control"	"372"	38.8181818181818	19.3863636363636	22
"4"	"control"	"531"	29.3333333333333	14.2424242424242	33
"5"	"control"	"541"	28.375	9.3125	8
"6"	"control"	"762"	33.6666666666667	12.3333333333333	3
"7"	"control"	"833"	23.7727272727273	8.04545454545454	11
"8"	"interior"	"316"	42.9	13.1	20
"9"	"interior"	"318"	57.15	11.26	50
"10"	"interior"	"356"	89	35.25	2
"11"	"interior"	"372"	73.5	45	1
"12"	"interior"	"531"	41.9090909090909	16.6022727272727	44
"13"	"interior"	"541"	54.6826923076923	20.6634615384615	52
"14"	"interior"	"621"	34.5	17.5	3
"15"	"interior"	"762"	80.9444444444444	25.5555555555556	9
"16"	"interior"	"833"	42.7096774193548	13.1290322580645	31
"17"	"interior"	"951"	59.9375	22	8
