location,originx2,spp,ht_avg,ht_cm_avg,n
control,sprout,ab,29.103150787696922,73.9220030007502,125
control,sprout,rm,44.53733766233766,113.12483766233765,25
control,sprout,ro,38.0625,96.67875000000001,6
control,sprout,sb,43.733333333333334,111.08266666666667,7
control,sprout,sm,30,76.2,1
control,sprout,wa,45.833333333333336,116.41666666666667,4
control,singl/unk,ab,37.607142857142854,95.52214285714285,11
control,singl/unk,rm,26,66.04,14
control,singl/unk,ro,23.76851851851852,60.37203703703704,28
control,singl/unk,sb,34.84289127837515,88.50094384707288,70
control,singl/unk,sm,20,50.8,3
control,singl/unk,wa,23.27612433862434,59.12135582010582,51
interior,sprout,ab,28.596743295019156,72.63572796934866,69
interior,sprout,rm,68.09027777777777,172.94930555555555,18
interior,sprout,ro,37,93.98,2
interior,sprout,sb,77,195.58,1
interior,sprout,sm,51.56581196581197,130.9771623931624,45
interior,sprout,wa,57,144.78,6
interior,singl/unk,ab,44.126068376068375,112.08021367521367,28
interior,singl/unk,rm,34.988247863247864,88.87014957264958,32
interior,singl/unk,ro,37.78809523809524,95.98176190476191,39
interior,singl/unk,sb,44.3235294117647,112.58176470588235,34
interior,singl/unk,sm,21.685606060606062,55.0814393939394,16
interior,singl/unk,wa,40.21256038647343,102.13990338164251,81
perimeter,sprout,ab,28.930618401206637,73.48377073906485,65
perimeter,sprout,rm,73.77272727272727,187.38272727272727,38
perimeter,sprout,ro,64.025,162.6235,7
perimeter,sprout,sb,75.125,190.8175,6
perimeter,sprout,sm,58.028571428571425,147.39257142857144,18
perimeter,sprout,wa,70.91666666666667,180.12833333333333,10
perimeter,singl/unk,ab,50.851851851851855,129.1637037037037,16
perimeter,singl/unk,rm,36.24621212121212,92.06537878787879,23
perimeter,singl/unk,ro,29.84166666666667,75.79783333333333,28
perimeter,singl/unk,sb,51.50961538461539,130.8344230769231,28
perimeter,singl/unk,sm,25.555555555555557,64.91111111111111,6
perimeter,singl/unk,wa,40.588398268398265,103.0945316017316,43
