harvest,location,originx2,spp,year,ht_avg,ht_cm_avg,n,,harvest,location,originx2,spp,year,ht_avg,ht_cm_avg,n
gas_line,control,singl/unk,ab,2018,26.75,67.945,2,,gas_line,control,singl/unk,ab,2019,34.75,88.265,2
gas_line,control,singl/unk,rm,2018,14.875,37.7825,4,,gas_line,control,singl/unk,rm,2019,26,66.04,4
gas_line,control,singl/unk,ro,2018,12.5,31.75,9,,gas_line,control,singl/unk,ro,2019,19.38888889,49.24777778,9
gas_line,control,singl/unk,sb,2018,19.52380952,49.59047619,21,,gas_line,control,singl/unk,sb,2019,39.33333333,99.90666667,21
gas_line,control,singl/unk,wa,2018,12.42857143,31.56857143,7,,gas_line,control,singl/unk,wa,2019,22.07142857,56.06142857,7
gas_line,control,sprout,ab,2018,14.33870968,36.42032258,31,,gas_line,control,sprout,ab,2019,28.98387097,73.61903226,31
gas_line,control,sprout,rm,2018,36.86363636,93.63363636,11,,gas_line,control,sprout,rm,2019,54.18181818,137.6218182,11
gas_line,control,sprout,ro,2018,30.25,76.835,2,,gas_line,control,sprout,ro,2019,43.5,110.49,2
gas_line,control,sprout,sb,2018,17.5,44.45,1,,gas_line,control,sprout,sb,2019,28,71.12,1
gas_line,control,sprout,wa,2018,65.5,166.37,1,,gas_line,control,sprout,wa,2019,72.5,184.15,1
gas_line,interior,singl/unk,ab,2018,47.16666667,119.8033333,9,,gas_line,interior,singl/unk,ab,2019,60.66666667,154.0933333,9
gas_line,interior,singl/unk,rm,2018,27.125,68.8975,12,,gas_line,interior,singl/unk,rm,2019,42.54166667,108.0558333,12
gas_line,interior,singl/unk,ro,2018,30.80357143,78.24107143,28,,gas_line,interior,singl/unk,ro,2019,43.96428571,111.6692857,28
gas_line,interior,singl/unk,sm,2018,19.81818182,50.33818182,11,,gas_line,interior,singl/unk,sm,2019,29.68181818,75.39181818,11
gas_line,interior,singl/unk,wa,2018,34,86.36,46,,gas_line,interior,singl/unk,wa,2019,54.38043478,138.1263043,46
gas_line,interior,sprout,ab,2018,19.5862069,49.74896552,29,,gas_line,interior,sprout,ab,2019,37.20689655,94.50551724,29
gas_line,interior,sprout,rm,2018,57.5,146.05,4,,gas_line,interior,sprout,rm,2019,68.625,174.3075,4
gas_line,interior,sprout,ro,2018,19.75,50.165,2,,gas_line,interior,sprout,ro,2019,37,93.98,2
gas_line,interior,sprout,sm,2018,53.24358974,135.2387179,39,,gas_line,interior,sprout,sm,2019,64.8974359,164.8394872,39
gas_line,interior,sprout,wa,2018,34.16666667,86.78333333,6,,gas_line,interior,sprout,wa,2019,57,144.78,6
gas_line,perimeter,singl/unk,ab,2018,51.55555556,130.9511111,9,,gas_line,perimeter,singl/unk,ab,2019,65.22222222,165.6644444,9
gas_line,perimeter,singl/unk,rm,2018,26.95454545,68.46454545,11,,gas_line,perimeter,singl/unk,rm,2019,42.40909091,107.7190909,11
gas_line,perimeter,singl/unk,ro,2018,30.1,76.454,15,,gas_line,perimeter,singl/unk,ro,2019,42.06666667,106.8493333,15
gas_line,perimeter,singl/unk,sb,2018,27,68.58,2,,gas_line,perimeter,singl/unk,sb,2019,58,147.32,2
gas_line,perimeter,singl/unk,sm,2018,50.5,128.27,2,,gas_line,perimeter,singl/unk,sm,2019,53.5,135.89,2
gas_line,perimeter,singl/unk,wa,2018,33.31,84.6074,25,,gas_line,perimeter,singl/unk,wa,2019,52.96,134.5184,25
gas_line,perimeter,sprout,ab,2018,18.67948718,47.44589744,39,,gas_line,perimeter,sprout,ab,2019,36.11538462,91.73307692,39
gas_line,perimeter,sprout,rm,2018,58.47222222,148.5194444,18,,gas_line,perimeter,sprout,rm,2019,79.77777778,202.6355556,18
gas_line,perimeter,sprout,ro,2018,50.7,128.778,5,,gas_line,perimeter,sprout,ro,2019,72.8,184.912,5
gas_line,perimeter,sprout,sb,2018,63.75,161.925,2,,gas_line,perimeter,sprout,sb,2019,93,236.22,2
gas_line,perimeter,sprout,sm,2018,50.6,128.524,10,,gas_line,perimeter,sprout,sm,2019,66.3,168.402,10
gas_line,perimeter,sprout,wa,2018,50.1875,127.47625,8,,gas_line,perimeter,sprout,wa,2019,75.75,192.405,8
red_pine,control,singl/unk,ab,2018,20.5,52.07,2,,red_pine,control,singl/unk,ab,2019,29,73.66,2
red_pine,control,singl/unk,rm,2018,17.57142857,44.63142857,7,,red_pine,control,singl/unk,rm,2019,26,66.04,7
red_pine,control,singl/unk,ro,2018,13.28125,33.734375,16,,red_pine,control,singl/unk,ro,2019,20.25,51.435,16
red_pine,control,singl/unk,sb,2018,8.722222222,22.15444444,18,,red_pine,control,singl/unk,sb,2019,26.38888889,67.02777778,18
red_pine,control,singl/unk,wa,2018,11.375,28.8925,8,,red_pine,control,singl/unk,wa,2019,16.6875,42.38625,8
red_pine,control,sprout,ab,2018,12.73529412,32.34764706,51,,red_pine,control,sprout,ab,2019,23.5,59.69,51
red_pine,control,sprout,rm,2018,24.85714286,63.13714286,14,,red_pine,control,sprout,rm,2019,34.89285714,88.62785714,14
red_pine,control,sprout,ro,2018,25.125,63.8175,4,,red_pine,control,sprout,ro,2019,32.625,82.8675,4
red_pine,control,sprout,sb,2018,13.7,34.798,5,,red_pine,control,sprout,sb,2019,37.2,94.488,5
red_pine,control,sprout,wa,2018,16.83333333,42.75666667,3,,red_pine,control,sprout,wa,2019,19.16666667,48.68333333,3
red_pine,interior,singl/unk,ab,2018,20.5,52.07,6,,red_pine,interior,singl/unk,ab,2019,29.75,75.565,6
red_pine,interior,singl/unk,rm,2018,20.30769231,51.58153846,13,,red_pine,interior,singl/unk,rm,2019,36.92307692,93.78461538,13
red_pine,interior,singl/unk,ro,2018,29.2,74.168,10,,red_pine,interior,singl/unk,ro,2019,41.4,105.156,10
red_pine,interior,singl/unk,sm,2018,12,30.48,4,,red_pine,interior,singl/unk,sm,2019,22.375,56.8325,4
red_pine,interior,singl/unk,wa,2018,19.04166667,48.36583333,12,,red_pine,interior,singl/unk,wa,2019,39.08333333,99.27166667,12
red_pine,interior,sprout,ab,2018,9.55,24.257,10,,red_pine,interior,sprout,ab,2019,22,55.88,10
red_pine,interior,sprout,rm,2018,43.08333333,109.4316667,6,,red_pine,interior,sprout,rm,2019,58.83333333,149.4366667,6
red_pine,interior,sprout,sm,2018,11,27.94,1,,red_pine,interior,sprout,sm,2019,38,96.52,1
red_pine,perimeter,singl/unk,ab,2018,7,17.78,1,,red_pine,perimeter,singl/unk,ab,2019,17,43.18,1
red_pine,perimeter,singl/unk,rm,2018,17.875,45.4025,12,,red_pine,perimeter,singl/unk,rm,2019,30.08333333,76.41166667,12
red_pine,perimeter,singl/unk,ro,2018,18.75,47.625,12,,red_pine,perimeter,singl/unk,ro,2019,28.45833333,72.28416667,12
red_pine,perimeter,singl/unk,sm,2018,5,12.7,3,,red_pine,perimeter,singl/unk,sm,2019,10.66666667,27.09333333,3
