harvest,location,div.per.acre.sup01,div.per.acre.sup02,div.per.acre.sup03,div.per.acre.exp01,div.per.acre.exp02,div.per.acre.exp03,div.per.acre.supsapl,div.per.acre.expsapl,div.per.acre.supp,div.per.acre.exp,div.per.acre.total,div.per.acre.top4
boot,interior,4823.027848599925,0,0,3858.4222788799407,440.18167498222,0,0,0,4823.027848599925,4298.60395386216,9121.631802462085,421.8407718579608
boot,perimeter,3671.5299497466935,0,0,5570.597165132914,192.57948280472124,0,0,0,3671.5299497466935,5763.176647937636,9434.70659768433,240.72435350590155
cgl,control,1608.621641268328,0,0,10843.301433734656,566.4102435432977,0,0,0,1608.621641268328,11409.711677277954,13018.333318546283,657.0358825102254
crp,control,419.10448891282107,0,0,6740.597196681206,225.78284190898353,39.84403092511474,0,26.562687283409826,419.1044889128211,7006.224069515304,7425.328558428126,677.3485257269506
cwb,control,2859.77180669925,0,0,5272.704268601742,45.31281948346382,22.65640974173191,0,0,2859.7718066992497,5340.673497826938,8200.445304526187,679.6922922519574
gl,interior,2854.3555722168653,78.7825156928405,0,2278.880658463465,2459.765212187576,122.55057996664078,0,17.507225709520114,2933.1380879097055,4861.196450617681,7794.334538527387,787.825156928405
gl,perimeter,4369.663230831532,286.11808873844296,0,4369.663230831533,3235.335311119317,231.09537936566548,0,22.009083749111,4655.7813195699755,7836.093921316515,12491.875240886491,990.4087687099949
rp,interior,3106.029934498352,487.86802310529384,0,14112.179485003382,1746.0539774294725,564.8998162271823,0,205.41811499170265,3593.8979576036454,16423.133278660036,20017.031236263683,1078.4451037064389
rp,perimeter,4129.253842685936,59.25522547837576,0,4908.358341305924,3051.644112136352,651.8074802621335,0,29.62761273918788,4188.509068164311,8611.80993370441,12800.31900186872,770.3179312188848
wedge,interior,2098.0171141409674,0,0,9621.940557956852,302.6249015502762,192.57948280472124,0,0,2098.0171141409674,10117.144942311848,12215.162056452817,302.62490155027626
wedge,perimeter,2835.940374976756,0,0,3848.7762231827405,808.8338277798292,38.51589656094425,0,0,2835.940374976756,4696.125947523515,7532.06632250027,616.254344975108
