harvest,location,plot_attrib,attrib_val,n,freq
gas_line,control,disturb,a,6,35.294117647058826
gas_line,control,disturb,l,8,47.05882352941176
gas_line,control,disturb,p,3,17.647058823529413
gas_line,interior,disturb,a,3,7.142857142857142
gas_line,interior,disturb,h,1,2.380952380952381
gas_line,interior,disturb,l,15,35.714285714285715
gas_line,interior,disturb,m,16,38.095238095238095
gas_line,interior,disturb,p,7,16.666666666666664
gas_line,perimeter,disturb,a,1,2.941176470588235
gas_line,perimeter,disturb,h,4,11.76470588235294
gas_line,perimeter,disturb,l,7,20.588235294117645
gas_line,perimeter,disturb,m,10,29.411764705882355
gas_line,perimeter,disturb,p,12,35.294117647058826
gas_line,control,fern,a,1,5.88235294117647
gas_line,control,fern,l,3,17.647058823529413
gas_line,control,fern,m,1,5.88235294117647
gas_line,control,fern,p,12,70.58823529411765
gas_line,interior,fern,a,8,19.047619047619047
gas_line,interior,fern,l,10,23.809523809523807
gas_line,interior,fern,m,9,21.428571428571427
gas_line,interior,fern,p,15,35.714285714285715
gas_line,perimeter,fern,a,10,29.411764705882355
gas_line,perimeter,fern,l,7,20.588235294117645
gas_line,perimeter,fern,m,2,5.88235294117647
gas_line,perimeter,fern,not,8,23.52941176470588
gas_line,perimeter,fern,p,7,20.588235294117645
gas_line,control,herb,h,2,11.76470588235294
gas_line,control,herb,l,4,23.52941176470588
gas_line,control,herb,m,9,52.94117647058824
gas_line,control,herb,p,2,11.76470588235294
gas_line,interior,herb,h,7,16.666666666666664
gas_line,interior,herb,l,19,45.23809523809524
gas_line,interior,herb,m,16,38.095238095238095
gas_line,perimeter,herb,h,11,32.35294117647059
gas_line,perimeter,herb,l,10,29.411764705882355
gas_line,perimeter,herb,m,10,29.411764705882355
gas_line,perimeter,herb,p,3,8.823529411764707
gas_line,control,inv_cov,a,17,100
gas_line,interior,inv_cov,a,41,97.61904761904762
gas_line,interior,inv_cov,p,1,2.380952380952381
gas_line,perimeter,inv_cov,a,28,82.35294117647058
gas_line,perimeter,inv_cov,p,6,17.647058823529413
gas_line,control,low_cov,h,1,5.88235294117647
gas_line,control,low_cov,l,4,23.52941176470588
gas_line,control,low_cov,m,12,70.58823529411765
gas_line,interior,low_cov,h,14,33.33333333333333
gas_line,interior,low_cov,l,7,16.666666666666664
gas_line,interior,low_cov,m,19,45.23809523809524
gas_line,interior,low_cov,p,2,4.761904761904762
gas_line,perimeter,low_cov,h,2,5.88235294117647
gas_line,perimeter,low_cov,l,8,23.52941176470588
gas_line,perimeter,low_cov,m,22,64.70588235294117
gas_line,perimeter,low_cov,p,2,5.88235294117647
gas_line,control,mid_cov,l,8,47.05882352941176
gas_line,control,mid_cov,m,2,11.76470588235294
gas_line,control,mid_cov,p,7,41.17647058823529
gas_line,interior,mid_cov,a,5,11.904761904761903
gas_line,interior,mid_cov,l,12,28.57142857142857
gas_line,interior,mid_cov,m,1,2.380952380952381
gas_line,interior,mid_cov,p,24,57.14285714285714
