harvest,season,cut,year,numb_yrs_grow,point,location,wall,spp,count,origin,type,size,stems.per.acre
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,sup_short,1012.8253208302352
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,exp_med,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,suppressed,1012.8253208302352
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,exposed,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,sb,1,single,commercial,total,1012.8253208302352
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,sup_short,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,exp_med,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,exp_tall,4236.704585106254
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,suppressed,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,exposed,4236.704585106254
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,wa,11,clump,commercial,total,4236.704585106254
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,sup_short,3038.4759624907056
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,sup_med,385.15496228238675
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,exp_med,1155.4648868471602
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,suppressed,3423.6309247730924
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,exposed,1155.4648868471602
recknagel_north,2023,2019,2023,4,1421,perimeter,protected,ro,1,single,commercial,total,4579.095811620253
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,sup_short,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,exp_med,770.3099245647735
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,suppressed,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,exposed,770.3099245647735
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,wa,1,single,commercial,total,770.3099245647735
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,sup_short,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,exp_med,1925.7748114119338
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,suppressed,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,exposed,1925.7748114119338
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,bc,1,single,commercial,total,1925.7748114119338
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,sup_short,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,exp_med,385.15496228238675
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,suppressed,0
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,exposed,385.15496228238675
recknagel_north,2023,2019,2023,4,1422,perimeter,protected,ro,1,single,commercial,total,385.15496228238675
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,sup_short,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,exp_med,385.15496228238675
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,suppressed,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,exposed,385.15496228238675
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,rm,1,single,commercial,total,385.15496228238675
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,sup_short,1012.8253208302352
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,sup_tall,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,sup_sapl,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,exp_short,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,exp_med,1540.619849129547
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,exp_tall,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,exp_sapl,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,suppressed,1012.8253208302352
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,exposed,1540.619849129547
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,sb,1,single,commercial,total,2553.445169959782
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,wa,1,single,commercial,sup_short,3038.4759624907056
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,wa,1,single,commercial,sup_med,0
recknagel_north,2023,2019,2023,4,1423,perimeter,protected,wa,1,single,commercial,sup_tall,0
