harvest,season,date,point,comm_sdl,spp,origin,location,wall
sta_rd,2022,2022.08.16,349,4,004,s,i,protected
sta_rd,2022,2022.08.16,350,4,004,s,i,protected
sta_rd,2022,2022.08.15,351,4,004,s,i,protected
sta_rd,2022,2022.08.16,352,3,004,s,i,protected
sta_rd,2022,2022.08.15,353,1,004,s,i,protected
sta_rd,2022,2022.08.15,354,1,004,s,i,protected
sta_rd,2022,2022.08.16,355,4,004,s,i,protected
sta_rd,2022,2022.08.15,356,1,004,s,i,protected
sta_rd,2022,2022.08.15,357,1,004,s,i,protected
sta_rd,2022,2022.08.15,358,1,004,s,i,protected
sta_rd,2022,2022.08.15,359,4,004,s,i,protected
sta_rd,2022,2022.08.15,360,3,004,s,i,protected
sta_rd,2022,2022.08.12,361,1,004,s,i,protected
sta_rd,2022,2022.08.15,362,2,004,s,i,protected
sta_rd,2022,2022.08.15,363,1,004,s,i,protected
sta_rd,2022,2022.08.15,364,3,004,s,i,protected
sta_rd,2022,2022.08.12,365,3,004,s,i,protected
sta_rd,2022,2022.08.12,366,0,004,s,i,protected
sta_rd,2022,2022.08.12,367,1,004,s,i,protected
sta_rd,2022,2022.08.12,368,2,004,s,i,protected
sta_rd,2022,2022.08.12,369,4,004,s,i,protected
sta_rd,2022,2022.08.11,370,3,004,s,i,protected
sta_rd,2022,2022.08.11,371,4,004,s,i,protected
sta_rd,2022,2022.08.19,372,2,004,s,i,protected
sta_rd,2022,2022.08.11,373,4,004,s,i,protected
sta_rd,2022,2022.08.18,374,1,004,s,i,protected
sta_rd,2022,2022.08.19,375,2,004,s,i,protected
sta_rd,2022,2022.08.11,376,2,004,s,i,protected
sta_rd,2022,2022.08.11,377,3,004,s,i,protected
sta_rd,2022,2022.08.19,378,3,004,s,i,protected
sta_rd,2022,2022.08.18,379,2,004,s,i,protected
sta_rd,2022,2022.08.11,380,3,004,s,i,protected
sta_rd,2022,2022.08.18,381,3,004,s,i,protected
sta_rd,2022,2022.08.18,382,3,004,s,i,protected
sta_rd,2022,2022.08.18,383,3,004,s,i,protected
sta_rd,2022,2022.11.14,384,1,004,s,c,control
sta_rd,2022,2022.11.14,385,2,004,s,c,control
sta_rd,2022,2022.11.14,386,1,004,s,c,control
sta_rd,2022,2022.11.14,387,2,004,s,c,control
sta_rd,2022,2022.11.14,388,1,004,s,c,control
sta_rd,2022,2022.11.14,389,1,004,s,c,control
sta_rd,2022,2022.11.14,390,2,004,s,c,control
sta_rd,2022,2022.11.14,391,2,004,s,c,control
sta_rd,2022,2022.11.14,392,1,004,s,c,control
sta_rd,2022,2022.11.14,393,2,004,s,c,control
sta_rd,2022,2022.11.14,394,2,004,s,c,control
sta_rd,2022,2022.11.14,395,2,004,s,c,control
sta_rd,2022,2022.11.14,396,0,004,s,c,control
sta_rd,2022,2022.11.10,397,0,004,s,c,control
sta_rd,2022,2022.11.10,398,0,004,s,c,control
sta_rd,2022,2022.11.10,399,1,004,s,c,control
sta_rd,2022,2022.11.10,400,0,004,s,c,control
sta_rd,2022,2022.11.10,701,1,004,s,c,control
sta_rd,2022,2022.11.10,702,3,004,s,c,control
sta_rd,2022,2022.11.10,703,0,004,s,c,control
sta_rd,2022,2022.11.10,704,1,004,s,c,control
sta_rd,2022,2022.11.10,705,1,004,s,c,control
sta_rd,2022,2022.11.10,706,0,004,s,c,control
sta_rd,2022,2022.11.14,707,0,004,s,c,control
sta_rd,2022,2022.11.14,708,2,004,s,c,control
sta_rd,2022,2022.11.14,709,0,004,s,c,control
sta_rd,2022,2022.11.10,710,1,004,s,c,control
sta_rd,2022,2022.11.10,711,1,004,s,c,control
sta_rd,2022,2022.11.10,712,1,004,s,c,control
sta_rd,2022,2022.11.10,713,2,004,s,c,control
sta_rd,2022,2022.11.14,946,0,004,s,c,control
