harvest,location,numb_yrs_grow,type,season,size,stem_p_ac,spp_stocking_avg,spp_stocking_max
boot,interior,2,commercial,2019,exposed,4250.3736753761605,39.285714285714285,61.904761904761905
boot,interior,2,diversity,2019,exposed,84.91208473451758,4.761904761904762,4.761904761904762
boot,interior,2,interfering,2019,exposed,1675.1447502153899,NA,NA
boot,interior,3,commercial,2020,exposed,5668.745781851923,36.904761904761905,61.904761904761905
boot,interior,3,diversity,2020,exposed,18.340903124259164,4.761904761904762,4.761904761904762
boot,interior,3,interfering,2020,exposed,1009.4329341128057,15.873015873015872,28.57142857142857
boot,interior,3,other,2020,exposed,0,NA,NA
boot,interior,4,commercial,2021,exposed,8791.482148925843,NA,NA
boot,interior,4,diversity,2021,exposed,114.80146009625767,14.285714285714285,14.285714285714285
boot,interior,4,interfering,2021,exposed,1707.0705151132054,35.71428571428571,47.61904761904761
boot,interior,4,other,2021,exposed,0,NA,NA
boot,perimeter,2,commercial,2019,exposed,5485.895250535548,NA,NA
boot,perimeter,2,diversity,2019,exposed,277.2813974020862,9.375,12.5
boot,perimeter,2,interfering,2019,exposed,1924.018848521712,NA,NA
boot,perimeter,2,other,2019,exposed,0,NA,NA
boot,perimeter,3,commercial,2020,exposed,6443.4471420269565,NA,NA
boot,perimeter,3,diversity,2020,exposed,364.6560732655504,6.25,6.25
boot,perimeter,3,interfering,2020,exposed,2212.8880727287938,29.166666666666668,68.75
boot,perimeter,3,other,2020,exposed,0,NA,NA
boot,perimeter,4,commercial,2021,exposed,8064.336178270492,31.25,56.25
boot,perimeter,4,diversity,2021,exposed,231.8092879670051,15.625,18.75
boot,perimeter,4,interfering,2021,exposed,2082.7140486963476,31.25,75
campridge,interior,1,commercial,2020,exposed,2464.6282448422853,7.630522088353414,38.55421686746988
campridge,interior,1,diversity,2020,exposed,2509.8296037305945,9.638554216867469,40.963855421686745
campridge,interior,1,interfering,2020,exposed,4377.725338326647,19.87951807228916,44.57831325301205
campridge,interior,1,other,2020,exposed,149.87123223754818,NA,NA
campridge,interior,2,commercial,2021,exposed,4558.185026702786,14.457831325301205,61.44578313253012
campridge,interior,2,diversity,2021,exposed,3551.531951546091,12.908777969018933,49.39759036144578
campridge,interior,2,interfering,2021,exposed,8603.33886712102,29.518072289156628,67.46987951807229
campridge,interior,2,other,2021,exposed,4.6404694651740055,NA,NA
campridge,interior,NA,other,NA,exposed,0,NA,NA
campridge,perimeter,1,commercial,2020,exposed,2788.214322129474,36.36363636363636,54.54545454545454
campridge,perimeter,1,diversity,2020,exposed,2880.290308330018,27.272727272727273,63.63636363636363
campridge,perimeter,1,interfering,2020,exposed,1196.9878206070725,18.18181818181818,27.27272727272727
campridge,perimeter,1,other,2020,exposed,92.07598620054404,NA,NA
campridge,perimeter,2,commercial,2021,exposed,4339.2343096776385,51.515151515151516,63.63636363636363
campridge,perimeter,2,diversity,2021,exposed,3102.0399750963284,36.36363636363637,72.72727272727273
campridge,perimeter,2,interfering,2021,exposed,1003.7561329000974,18.18181818181818,27.27272727272727
campridge,perimeter,2,other,2021,exposed,0,NA,NA
circle,interior,1,commercial,2020,exposed,1119.2305028161406,12.5,25
