harvest,location,numb_yrs_grow,season,type,stem_p_ac
boot,interior,2,2019,commercial,440
boot,interior,3,2020,commercial,807
boot,interior,4,2021,commercial,1210
boot,interior,2,2019,diversity,37
boot,interior,3,2020,diversity,18
boot,interior,4,2021,diversity,18
boot,interior,2,2019,interfering,550
boot,interior,3,2020,interfering,495
boot,interior,4,2021,interfering,770
boot,interior,3,2020,other,0
boot,interior,4,2021,other,0
boot,perimeter,2,2019,commercial,169
boot,perimeter,3,2020,commercial,746
boot,perimeter,4,2021,commercial,1155
boot,perimeter,2,2019,diversity,24
boot,perimeter,3,2020,diversity,48
boot,perimeter,4,2021,diversity,169
boot,perimeter,2,2019,interfering,1035
boot,perimeter,3,2020,interfering,1228
boot,perimeter,4,2021,interfering,1468
boot,perimeter,2,2019,other,0
boot,perimeter,3,2020,other,0
campridge,interior,1,2020,commercial,181
campridge,interior,2,2021,commercial,510
campridge,interior,1,2020,diversity,246
campridge,interior,2,2021,diversity,928
campridge,interior,1,2020,interfering,93
campridge,interior,2,2021,interfering,729
campridge,interior,1,2020,other,28
campridge,interior,2,2021,other,5
campridge,interior,NA,NA,other,0
campridge,perimeter,1,2020,commercial,210
campridge,perimeter,2,2021,commercial,840
campridge,perimeter,1,2020,diversity,210
campridge,perimeter,2,2021,diversity,1261
campridge,perimeter,1,2020,interfering,0
campridge,perimeter,2,2021,interfering,175
campridge,perimeter,1,2020,other,0
campridge,perimeter,2,2021,other,0
circle,interior,1,2020,commercial,64
circle,interior,2,2021,commercial,160
circle,interior,1,2020,diversity,658
circle,interior,2,2021,diversity,818
circle,interior,1,2020,interfering,433
circle,interior,2,2021,interfering,1444
circle,interior,1,2020,other,0
circle,interior,2,2021,other,96
circle,interior,NA,NA,other,0
decker,control,1,2020,commercial,0
decker,control,2,2021,commercial,0
decker,control,1,2020,interfering,0
decker,control,2,2021,interfering,0
decker,control,1,2020,other,0
decker,control,2,2021,other,0
decker,interior,1,2020,commercial,42
decker,interior,2,2021,commercial,271
decker,interior,1,2020,diversity,10
decker,interior,2,2021,diversity,187
decker,interior,1,2020,interfering,229
decker,interior,2,2021,interfering,375
decker,interior,1,2020,other,10
decker,interior,2,2021,other,31
gas_line,control,2,2019,commercial,272
gas_line,control,3,2020,commercial,725
gas_line,control,4,2021,commercial,1427
gas_line,control,2,2019,diversity,295
gas_line,control,3,2020,diversity,317
gas_line,control,4,2021,diversity,340
gas_line,control,2,2019,interfering,159
gas_line,control,3,2020,interfering,453
gas_line,control,4,2021,interfering,770
gas_line,control,2,2019,other,0
gas_line,control,3,2020,other,0
gas_line,control,4,2021,other,408
gas_line,control,NA,NA,other,0
gas_line,interior,2,2019,commercial,1146
gas_line,interior,3,2020,commercial,1357
gas_line,interior,4,2021,commercial,1504
gas_line,interior,2,2019,diversity,1238
gas_line,interior,3,2020,diversity,1577
gas_line,interior,4,2021,diversity,1284
gas_line,interior,2,2019,interfering,715
gas_line,interior,3,2020,interfering,688
gas_line,interior,4,2021,interfering,1275
gas_line,interior,2,2019,other,110
gas_line,interior,3,2020,other,37
gas_line,interior,4,2021,other,28
gas_line,interior,NA,NA,other,0
gas_line,perimeter,2,2019,commercial,1728
gas_line,perimeter,3,2020,commercial,2498
gas_line,perimeter,4,2021,commercial,2289
gas_line,perimeter,2,2019,diversity,1596
gas_line,perimeter,3,2020,diversity,1629
gas_line,perimeter,4,2021,diversity,1794
gas_line,perimeter,2,2019,interfering,957
gas_line,perimeter,3,2020,interfering,1409
gas_line,perimeter,4,2021,interfering,1981
gas_line,perimeter,2,2019,other,0
gas_line,perimeter,3,2020,other,11
gas_line,perimeter,4,2021,other,121
gas_line,perimeter,NA,NA,other,0
NA,NA,2,2021,commercial,NA
recknagel,control,1,2020,commercial,0
recknagel,control,2,2021,commercial,0
recknagel,control,1,2020,interfering,24
recknagel,control,2,2021,interfering,36
recknagel,control,1,2020,other,0
recknagel,control,2,2021,other,0
recknagel,control,NA,NA,other,0
recknagel,interior,1,2020,commercial,77
recknagel,interior,2,2021,commercial,404
recknagel,interior,1,2020,diversity,0
recknagel,interior,2,2021,diversity,116
recknagel,interior,1,2020,interfering,0
recknagel,interior,2,2021,interfering,385
recknagel,interior,1,2020,other,0
recknagel,interior,2,2021,other,0
recknagel,perimeter,1,2020,commercial,0
recknagel,perimeter,2,2021,commercial,621
recknagel,perimeter,1,2020,diversity,43
recknagel,perimeter,2,2021,diversity,193
recknagel,perimeter,1,2020,interfering,0
recknagel,perimeter,2,2021,interfering,407
recknagel,perimeter,1,2020,other,0
recknagel,perimeter,2,2021,other,21
red_pine,control,2,2019,commercial,27
red_pine,control,3,2020,commercial,226
red_pine,control,4,2021,commercial,717
red_pine,control,2,2019,diversity,226
red_pine,control,3,2020,diversity,292
