harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
campridge,interior,76,1,2020,qa,veg,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,1155.4768968283274
campridge,interior,77,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1540.63586243777
campridge,interior,78,1,2020,svb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,78,1,2020,pc,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,79,1,2020,eh,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,79,1,2020,qa,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,80,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,82,1,2020,sh,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,82,1,2020,eh,veg,2019,2020,1,protected,0,0,0,0,8102.686785647875,385.1589656094425,0,0,0,8487.845751257317,8487.845751257317,1155.4768968283274
campridge,interior,83,1,2020,ba,veg,2019,2020,1,protected,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,1540.63586243777
campridge,interior,84,1,2020,ba,veg,2019,2020,1,protected,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,1540.63586243777
campridge,interior,85,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1540.63586243777
campridge,perimeter,86,1,2020,sb,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,87,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,87,1,2020,ba,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,88,1,2020,ba,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,89,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
campridge,interior,90,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
campridge,interior,91,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
campridge,interior,92,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
campridge,interior,92,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,0,0,0,1155.4768968283274,0,1155.4768968283274,1155.4768968283274,770.317931218885
campridge,interior,92,1,2020,wh,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,1155.4768968283274,0,385.1589656094425,0,5591.979255261707,5591.979255261707,0
campridge,interior,92,1,2020,bta,veg,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
campridge,interior,92,1,2020,sa,singl/unk,2019,2020,1,protected,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,770.317931218885
campridge,interior,93,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
campridge,interior,94,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
campridge,interior,94,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,13166.866026677797,0,0,0,0,13166.866026677797,13166.866026677797,770.317931218885
campridge,interior,94,1,2020,qa,veg,2019,2020,1,protected,0,0,0,0,7089.85093744189,770.317931218885,0,0,0,7860.168868660775,7860.168868660775,770.317931218885
campridge,interior,95,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,4051.3433928239374,770.317931218885,0,0,0,4821.661324042822,4821.661324042822,0
campridge,interior,95,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,15192.537723089765,1540.63586243777,0,0,0,16733.173585527533,16733.173585527533,1540.63586243777
campridge,interior,95,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
campridge,interior,95,1,2020,wi,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
campridge,interior,96,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
campridge,interior,96,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,24308.060356943624,770.317931218885,0,0,0,25078.37828816251,25078.37828816251,1540.63586243777
campridge,interior,96,1,2020,pc,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
campridge,interior,97,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
campridge,interior,98,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
campridge,interior,100,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1540.63586243777
recknagel,perimeter,135,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,perimeter,135,1,2020,eh,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,perimeter,135,1,2020,bta,veg,2019,2020,1,protected,0,0,0,0,0,770.317931218885,0,0,0,770.317931218885,770.317931218885,0
recknagel,perimeter,136,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
recknagel,perimeter,137,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
recknagel,perimeter,138,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,6077.015089235906,0,0,0,0,6077.015089235906,6077.015089235906,0
recknagel,perimeter,138,1,2020,wa,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,perimeter,139,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,perimeter,139,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,perimeter,140,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,34436.41883900347,0,0,0,0,34436.41883900347,34436.41883900347,0
recknagel,perimeter,141,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,perimeter,142,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,perimeter,142,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,perimeter,143,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,perimeter,144,1,2020,ah,veg,2019,2020,1,protected,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,0
recknagel,perimeter,144,1,2020,ro,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,perimeter,145,1,2020,sm,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
