harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
campridge,protected,interior,100,1,2021,2019,2021,2,veg,531,0,0,0,0,25320.89620514961,0,0,0,0,25320.89620514961,25320.89620514961,1540.63586243777
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,veg,531,0,0,0,0,6077.015089235906,0,0,0,0,6077.015089235906,6077.015089235906,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,veg,701,0,0,0,0,3038.507544617953,770.317931218885,0,0,0,3808.825475836838,3808.825475836838,385.1589656094425
recknagel,protected,perimeter,135,1,2021,2019,2021,2,veg,743,0,0,0,0,0,3466.4306904849823,0,0,0,3466.4306904849823,3466.4306904849823,1155.4768968283274
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,385.1589656094425
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,315,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,veg,531,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,11141.194330265827,0,0,0,0,11141.194330265827,11141.194330265827,1155.4768968283274
recknagel,protected,perimeter,137,1,2021,2019,2021,2,veg,531,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,385.1589656094425
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,2025.6716964119687,770.317931218885,0,0,0,2795.9896276308536,2795.9896276308536,770.317931218885
recknagel,protected,perimeter,138,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,770.317931218885
recknagel,protected,perimeter,139,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,770.317931218885
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,372,3038.507544617953,0,0,0,1012.8358482059843,3851.5896560944248,0,0,3038.507544617953,4864.425504300409,7902.933048918361,770.317931218885
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,531,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,91,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,316,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,singl/unk,315,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
recknagel,protected,perimeter,140,1,2021,2019,2021,2,veg,318,0,0,0,0,0,1155.4768968283274,0,0,0,1155.4768968283274,1155.4768968283274,770.317931218885
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,15192.537723089765,0,0,0,0,15192.537723089765,15192.537723089765,1540.63586243777
recknagel,protected,perimeter,141,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,141,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,perimeter,142,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,10128.358482059844,0,0,0,0,10128.358482059844,10128.358482059844,1540.63586243777
recknagel,protected,perimeter,143,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,1155.4768968283274
recknagel,protected,perimeter,143,1,2021,2019,2021,2,veg,531,0,0,0,0,10128.358482059844,0,0,0,0,10128.358482059844,10128.358482059844,385.1589656094425
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,531,0,0,0,0,8102.686785647875,0,0,0,0,8102.686785647875,8102.686785647875,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,701,0,0,0,0,0,1155.4768968283274,0,0,0,1155.4768968283274,1155.4768968283274,1155.4768968283274
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,833,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,protected,perimeter,144,1,2021,2019,2021,2,veg,391,0,0,0,0,10128.358482059844,0,0,0,0,10128.358482059844,10128.358482059844,385.1589656094425
recknagel,protected,perimeter,145,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,402,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,701,0,0,0,0,5064.179241029922,385.1589656094425,0,0,0,5449.338206639364,5449.338206639364,385.1589656094425
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,951,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,385.1589656094425
recknagel,protected,perimeter,146,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,146,1,2021,2019,2021,2,veg,318,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,770.317931218885
recknagel,protected,perimeter,147,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1155.4768968283274
recknagel,protected,perimeter,147,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,perimeter,147,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,perimeter,148,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,1012.8358482059843,770.317931218885,0,0,0,1783.1537794248693,1783.1537794248693,1155.4768968283274
recknagel,protected,perimeter,148,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
