describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
desired_exp,campridge,2022,inside,rm,1288,3180,49,94,3,1
desired_exp,campridge,2022,inside,wa,538,1328,19,94,3,1
desired_exp,campridge,2022,inside,ro,337,833,17,94,3,1
desired_exp,campridge,2022,inside,wp,166,409,4,94,3,1
desired_exp,campridge,2022,inside,ba,69,171,5,94,3,1
desired_exp,campridge,2022,inside,remainder,140,346,NA,94,3,3
desired_exp,campridge,2022,inside,desired total,2537,6267,NA,NA,NA,8
desired_exp,campridge,2021,inside,rm,683,1688,32,94,2,1
desired_exp,campridge,2021,inside,wa,303,749,13,94,2,1
desired_exp,campridge,2021,inside,ro,230,569,15,94,2,1
desired_exp,campridge,2021,inside,ba,69,171,5,94,2,1
desired_exp,campridge,2021,inside,sm,54,133,2,94,2,1
desired_exp,campridge,2021,inside,remainder,101,250,NA,94,2,3
desired_exp,campridge,2021,inside,desired total,1441,3559,NA,NA,NA,8
desired_exp,campridge,2020,inside,rm,410,1012,15,94,1,1
desired_exp,campridge,2020,inside,yb,127,313,5,94,1,1
desired_exp,campridge,2020,inside,ro,69,170,6,94,1,1
desired_exp,campridge,2020,inside,ba,54,134,4,94,1,1
desired_exp,campridge,2020,inside,sm,43,106,1,94,1,1
desired_exp,campridge,2020,inside,remainder,86,213,NA,94,1,4
desired_exp,campridge,2020,inside,desired total,789,1949,NA,NA,NA,9
desired_exp,circle,2022,inside,rm,1620,4001,54,24,3,1
desired_exp,circle,2022,inside,ro,1035,2556,54,24,3,1
desired_exp,circle,2022,inside,wa,317,784,17,24,3,1
desired_exp,circle,2022,inside,bh,127,313,8,24,3,1
desired_exp,circle,2022,inside,sm,116,288,12,24,3,1
desired_exp,circle,2022,inside,remainder,122,302,NA,24,3,2
desired_exp,circle,2022,inside,desired total,3337,8244,NA,NA,NA,7
desired_exp,circle,2021,inside,ro,971,2397,54,24,2,1
desired_exp,circle,2021,inside,rm,802,1981,29,24,2,1
desired_exp,circle,2021,inside,wa,253,625,17,24,2,1
desired_exp,circle,2021,inside,bh,84,208,4,24,2,1
desired_exp,circle,2021,inside,ba,64,159,4,24,2,1
desired_exp,circle,2021,inside,remainder,64,159,NA,24,2,1
desired_exp,circle,2021,inside,desired total,2238,5529,NA,NA,NA,6
desired_exp,circle,2020,inside,ro,380,938,25,24,1,1
desired_exp,circle,2020,inside,sm,169,417,4,24,1,1
desired_exp,circle,2020,inside,ba,106,263,8,24,1,1
desired_exp,circle,2020,inside,rm,84,208,8,24,1,1
desired_exp,circle,2020,inside,wa,84,208,4,24,1,1
desired_exp,circle,2020,inside,desired total,824,2035,NA,NA,NA,5
desired_exp,decker,2022,outside,wa,203,500,20,15,3,1
desired_exp,decker,2022,outside,ro,135,334,13,15,3,1
desired_exp,decker,2022,outside,rm,68,167,7,15,3,1
desired_exp,decker,2022,outside,sm,68,167,7,15,3,1
desired_exp,decker,2022,outside,wp,68,167,7,15,3,1
desired_exp,decker,2022,outside,desired total,540,1334,NA,NA,NA,5
desired_exp,decker,2022,inside,wa,339,837,19,37,3,1
desired_exp,decker,2022,inside,rm,296,730,14,37,3,1
desired_exp,decker,2022,inside,sm,237,586,8,37,3,1
desired_exp,decker,2022,inside,bc,229,567,8,37,3,1
desired_exp,decker,2022,inside,ro,137,338,14,37,3,1
desired_exp,decker,2022,inside,remainder,103,254,NA,37,3,1
desired_exp,decker,2022,inside,desired total,1341,3312,NA,NA,NA,6
desired_exp,decker,2021,inside,rm,302,747,11,37,2,1
desired_exp,decker,2021,inside,wa,158,389,11,37,2,1
desired_exp,decker,2021,inside,ro,109,270,11,37,2,1
desired_exp,decker,2021,inside,bc,55,135,3,37,2,1
desired_exp,decker,2021,inside,sm,52,129,5,37,2,1
desired_exp,decker,2021,inside,remainder,48,119,NA,37,2,1
desired_exp,decker,2021,inside,desired total,724,1789,NA,NA,NA,6
desired_exp,decker,2020,inside,bc,137,338,5,37,1,1
desired_exp,decker,2020,inside,sm,109,270,3,37,1,1
desired_exp,decker,2020,inside,wa,82,203,5,37,1,1
desired_exp,decker,2020,inside,rm,76,187,8,37,1,1
desired_exp,decker,2020,inside,ba,65,161,3,37,1,1
desired_exp,decker,2020,inside,remainder,55,135,NA,37,1,1
desired_exp,decker,2020,inside,desired total,524,1294,NA,NA,NA,6
desired_exp,gas_line,2022,outside,rm,1384,3418,53,17,6,1
desired_exp,gas_line,2022,outside,wa,1305,3223,24,17,6,1
desired_exp,gas_line,2022,outside,ro,820,2025,41,17,6,1
desired_exp,gas_line,2022,outside,bc,576,1422,29,17,6,1
desired_exp,gas_line,2022,outside,sm,179,441,12,17,6,1
desired_exp,gas_line,2022,outside,remainder,60,147,NA,17,6,1
desired_exp,gas_line,2022,outside,desired total,4322,10676,NA,NA,NA,6
desired_exp,gas_line,2022,inside,wa,1948,4811,56,77,6,1
desired_exp,gas_line,2022,inside,rm,1092,2697,35,77,6,1
desired_exp,gas_line,2022,inside,sm,648,1601,32,77,6,1
desired_exp,gas_line,2022,inside,ro,351,868,30,77,6,1
desired_exp,gas_line,2022,inside,yp,338,835,6,77,6,1
desired_exp,gas_line,2022,inside,remainder,225,555,NA,77,6,3
desired_exp,gas_line,2022,inside,desired total,4602,11366,NA,NA,NA,8
desired_exp,gas_line,2021,outside,wa,1260,3111,29,17,5,1
desired_exp,gas_line,2021,outside,rm,1100,2717,35,17,5,1
desired_exp,gas_line,2021,outside,bc,723,1787,29,17,5,1
desired_exp,gas_line,2021,outside,ro,701,1731,35,17,5,1
desired_exp,gas_line,2021,outside,sm,60,147,6,17,5,1
desired_exp,gas_line,2021,outside,desired total,3843,9493,NA,NA,NA,5
desired_exp,gas_line,2021,inside,wa,1619,3998,55,77,5,1
desired_exp,gas_line,2021,inside,rm,766,1893,27,77,5,1
desired_exp,gas_line,2021,inside,sm,745,1840,31,77,5,1
desired_exp,gas_line,2021,inside,yp,305,753,6,77,5,1
desired_exp,gas_line,2021,inside,ro,232,574,19,77,5,1
desired_exp,gas_line,2021,inside,remainder,262,648,NA,77,5,3
desired_exp,gas_line,2021,inside,desired total,3929,9705,NA,NA,NA,8
desired_exp,gas_line,2020,outside,rm,1046,2585,41,17,4,1
desired_exp,gas_line,2020,outside,wa,939,2319,24,17,4,1
desired_exp,gas_line,2020,outside,ro,477,1177,35,17,4,1
desired_exp,gas_line,2020,outside,bc,425,1051,12,17,4,1
desired_exp,gas_line,2020,outside,sm,60,147,6,17,4,1
desired_exp,gas_line,2020,outside,desired total,2947,7279,NA,NA,NA,5
desired_exp,gas_line,2020,inside,wa,1340,3310,48,77,4,1
desired_exp,gas_line,2020,inside,rm,801,1978,29,77,4,1
desired_exp,gas_line,2020,inside,sm,721,1781,31,77,4,1
desired_exp,gas_line,2020,inside,ro,212,524,16,77,4,1
desired_exp,gas_line,2020,inside,ba,134,331,6,77,4,1
desired_exp,gas_line,2020,inside,remainder,232,572,NA,77,4,3
desired_exp,gas_line,2020,inside,desired total,3440,8496,NA,NA,NA,8
desired_exp,gas_line,2019,outside,wa,1155,2852,24,17,3,1
desired_exp,gas_line,2019,outside,rm,1126,2782,35,17,3,1
desired_exp,gas_line,2019,outside,bc,403,995,12,17,3,1
desired_exp,gas_line,2019,outside,ro,357,883,24,17,3,1
desired_exp,gas_line,2019,outside,desired total,3041,7511,NA,NA,NA,4
desired_exp,gas_line,2019,inside,wa,791,1954,35,77,3,1
desired_exp,gas_line,2019,inside,rm,484,1195,17,77,3,1
