describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
dsrd_exp_gt4.5ft,campridge,2022,inside,rm,188,466,12,94,3,1
dsrd_exp_gt4.5ft,campridge,2022,inside,ba,37,91,3,94,3,1
dsrd_exp_gt4.5ft,campridge,2022,inside,ro,25,61,5,94,3,1
dsrd_exp_gt4.5ft,campridge,2022,inside,wa,20,51,3,94,3,1
dsrd_exp_gt4.5ft,campridge,2022,inside,wp,4,10,1,94,3,1
dsrd_exp_gt4.5ft,campridge,2022,inside,dsrd_exp_gt4.5ft,275,678,NA,NA,NA,5
dsrd_exp_gt4.5ft,campridge,2021,inside,rm,123,304,6,94,2,1
dsrd_exp_gt4.5ft,campridge,2021,inside,ba,37,91,3,94,2,1
dsrd_exp_gt4.5ft,campridge,2021,inside,wa,12,30,2,94,2,1
dsrd_exp_gt4.5ft,campridge,2021,inside,bc,4,10,1,94,2,1
dsrd_exp_gt4.5ft,campridge,2021,inside,ro,4,10,1,94,2,1
dsrd_exp_gt4.5ft,campridge,2021,inside,dsrd_exp_gt4.5ft,180,445,NA,NA,NA,5
dsrd_exp_gt4.5ft,campridge,2020,inside,ba,33,81,2,94,1,1
dsrd_exp_gt4.5ft,campridge,2020,inside,rm,33,81,2,94,1,1
dsrd_exp_gt4.5ft,campridge,2020,inside,yb,8,20,1,94,1,1
dsrd_exp_gt4.5ft,campridge,2020,inside,ro,4,10,1,94,1,1
dsrd_exp_gt4.5ft,campridge,2020,inside,dsrd_exp_gt4.5ft,78,192,NA,NA,NA,4
dsrd_exp_gt4.5ft,circle,2022,inside,ba,80,198,8,24,3,1
dsrd_exp_gt4.5ft,circle,2022,inside,wa,64,159,8,24,3,1
dsrd_exp_gt4.5ft,circle,2022,inside,ro,64,159,17,24,3,1
dsrd_exp_gt4.5ft,circle,2022,inside,sm,32,79,4,24,3,1
dsrd_exp_gt4.5ft,circle,2022,inside,rm,16,40,4,24,3,1
dsrd_exp_gt4.5ft,circle,2022,inside,dsrd_exp_gt4.5ft,257,634,NA,NA,NA,5
dsrd_exp_gt4.5ft,circle,2021,inside,sm,64,159,4,24,2,1
dsrd_exp_gt4.5ft,circle,2021,inside,ba,64,159,4,24,2,1
dsrd_exp_gt4.5ft,circle,2021,inside,dsrd_exp_gt4.5ft,128,317,NA,NA,NA,2
dsrd_exp_gt4.5ft,circle,2020,inside,ba,64,159,4,24,1,1
dsrd_exp_gt4.5ft,circle,2020,inside,dsrd_exp_gt4.5ft,64,159,NA,NA,NA,1
dsrd_exp_gt4.5ft,decker,2022,inside,rm,104,257,8,37,3,1
dsrd_exp_gt4.5ft,decker,2022,inside,sm,73,180,5,37,3,1
dsrd_exp_gt4.5ft,decker,2022,inside,ba,21,51,3,37,3,1
dsrd_exp_gt4.5ft,decker,2022,inside,bc,10,26,3,37,3,1
dsrd_exp_gt4.5ft,decker,2022,inside,wa,10,26,3,37,3,1
dsrd_exp_gt4.5ft,decker,2022,inside,dsrd_exp_gt4.5ft,219,540,NA,NA,NA,5
dsrd_exp_gt4.5ft,decker,2021,inside,rm,83,206,5,37,2,1
dsrd_exp_gt4.5ft,decker,2021,inside,sm,52,129,5,37,2,1
dsrd_exp_gt4.5ft,decker,2021,inside,wa,21,51,3,37,2,1
dsrd_exp_gt4.5ft,decker,2021,inside,ba,21,51,3,37,2,1
dsrd_exp_gt4.5ft,decker,2021,inside,dsrd_exp_gt4.5ft,177,437,NA,NA,NA,4
dsrd_exp_gt4.5ft,decker,2020,inside,rm,21,51,3,37,1,1
dsrd_exp_gt4.5ft,decker,2020,inside,ba,10,26,3,37,1,1
dsrd_exp_gt4.5ft,decker,2020,inside,dsrd_exp_gt4.5ft,31,77,NA,NA,NA,2
dsrd_exp_gt4.5ft,gas_line,2022,outside,rm,430,1063,35,17,6,1
dsrd_exp_gt4.5ft,gas_line,2022,outside,bc,159,392,12,17,6,1
dsrd_exp_gt4.5ft,gas_line,2022,outside,wa,113,280,12,17,6,1
dsrd_exp_gt4.5ft,gas_line,2022,outside,ro,45,112,12,17,6,1
dsrd_exp_gt4.5ft,gas_line,2022,outside,dsrd_exp_gt4.5ft,748,1847,NA,NA,NA,4
dsrd_exp_gt4.5ft,gas_line,2022,inside,wa,790,1952,44,77,6,1
dsrd_exp_gt4.5ft,gas_line,2022,inside,sm,385,951,30,77,6,1
dsrd_exp_gt4.5ft,gas_line,2022,inside,rm,355,877,21,77,6,1
dsrd_exp_gt4.5ft,gas_line,2022,inside,bc,95,235,13,77,6,1
dsrd_exp_gt4.5ft,gas_line,2022,inside,ba,90,222,9,77,6,1
dsrd_exp_gt4.5ft,gas_line,2022,inside,remainder,150,371,NA,77,6,2
dsrd_exp_gt4.5ft,gas_line,2022,inside,dsrd_exp_gt4.5ft,1866,4608,NA,NA,NA,7
dsrd_exp_gt4.5ft,gas_line,2021,outside,rm,385,951,29,17,5,1
dsrd_exp_gt4.5ft,gas_line,2021,outside,wa,68,168,12,17,5,1
dsrd_exp_gt4.5ft,gas_line,2021,outside,bc,68,168,6,17,5,1
dsrd_exp_gt4.5ft,gas_line,2021,outside,ro,45,112,6,17,5,1
dsrd_exp_gt4.5ft,gas_line,2021,outside,dsrd_exp_gt4.5ft,566,1399,NA,NA,NA,4
dsrd_exp_gt4.5ft,gas_line,2021,inside,wa,645,1594,39,77,5,1
dsrd_exp_gt4.5ft,gas_line,2021,inside,sm,350,865,27,77,5,1
dsrd_exp_gt4.5ft,gas_line,2021,inside,rm,240,593,16,77,5,1
dsrd_exp_gt4.5ft,gas_line,2021,inside,bc,95,235,13,77,5,1
dsrd_exp_gt4.5ft,gas_line,2021,inside,ba,70,173,8,77,5,1
dsrd_exp_gt4.5ft,gas_line,2021,inside,remainder,95,235,NA,77,5,3
dsrd_exp_gt4.5ft,gas_line,2021,inside,dsrd_exp_gt4.5ft,1496,3694,NA,NA,NA,8
dsrd_exp_gt4.5ft,gas_line,2020,outside,rm,272,672,24,17,4,1
dsrd_exp_gt4.5ft,gas_line,2020,outside,bc,68,168,6,17,4,1
dsrd_exp_gt4.5ft,gas_line,2020,outside,wa,45,112,6,17,4,1
dsrd_exp_gt4.5ft,gas_line,2020,outside,dsrd_exp_gt4.5ft,385,951,NA,NA,NA,3
