describ,harvest,season,TRMT,spp,tpa,tpha,wall_denom,points_occupied,age,PCT_pts_present
dsrd_exp_gt4.5ft,campridge,2020,inside,ba,32.77948643484617,80.96533149407004,94,2,1,2.127659574468085
dsrd_exp_gt4.5ft,campridge,2020,inside,rm,32.77948643484617,80.96533149407004,94,2,1,2.127659574468085
dsrd_exp_gt4.5ft,campridge,2020,inside,yb,8.194871608711543,20.24133287351751,94,1,1,1.0638297872340425
dsrd_exp_gt4.5ft,campridge,2020,inside,ro,4.097435804355766,10.120666436758743,94,1,1,1.0638297872340425
dsrd_exp_gt4.5ft,campridge,2021,inside,rm,122.92307413067309,303.6199931027625,94,6,2,6.382978723404255
dsrd_exp_gt4.5ft,campridge,2021,inside,ba,36.87692223920176,91.08599793082837,94,3,2,3.1914893617021276
dsrd_exp_gt4.5ft,campridge,2021,inside,wa,12.29230741306731,30.361999310276254,94,2,2,2.127659574468085
dsrd_exp_gt4.5ft,campridge,2021,inside,bc,4.097435804355766,10.120666436758743,94,1,2,1.0638297872340425
dsrd_exp_gt4.5ft,campridge,2021,inside,ro,4.097435804355766,10.120666436758743,94,1,2,1.0638297872340425
dsrd_exp_gt4.5ft,campridge,2022,inside,rm,188.48204700036513,465.5506560909019,94,11,3,11.702127659574469
dsrd_exp_gt4.5ft,campridge,2022,inside,ba,36.876922239201846,91.08599793082857,94,3,3,3.1914893617021276
dsrd_exp_gt4.5ft,campridge,2022,inside,ro,24.584614826134604,60.72399862055248,94,5,3,5.319148936170213
dsrd_exp_gt4.5ft,campridge,2022,inside,wa,20.487179021778765,50.603332183793555,94,3,3,3.1914893617021276
dsrd_exp_gt4.5ft,campridge,2022,inside,wp,4.097435804355766,10.120666436758743,94,1,3,1.0638297872340425
dsrd_exp_gt4.5ft,circle,2020,inside,ba,64.19316093490708,158.55710750922051,24,1,1,4.166666666666666
dsrd_exp_gt4.5ft,circle,2021,inside,sm,64.19316093490708,158.55710750922051,24,1,2,4.166666666666666
dsrd_exp_gt4.5ft,circle,2021,inside,ba,64.19316093490674,158.5571075092197,24,1,2,4.166666666666666
dsrd_exp_gt4.5ft,circle,2022,inside,ba,80.24145116863349,198.19638438652476,24,2,3,8.333333333333332
dsrd_exp_gt4.5ft,circle,2022,inside,wa,64.19316093490708,158.55710750922051,24,2,3,8.333333333333332
dsrd_exp_gt4.5ft,circle,2022,inside,ro,64.193160934907,158.55710750922032,24,4,3,16.666666666666664
dsrd_exp_gt4.5ft,circle,2022,inside,sm,32.09658046745354,79.27855375461026,24,1,3,4.166666666666666
dsrd_exp_gt4.5ft,circle,2022,inside,rm,16.04829023372675,39.63927687730508,24,1,3,4.166666666666666
dsrd_exp_gt4.5ft,decker,2020,inside,rm,20.81940354645635,51.42392675974719,37,1,1,2.7027027027027026
dsrd_exp_gt4.5ft,decker,2020,inside,ba,10.409701773228162,25.711963379873566,37,1,1,2.7027027027027026
dsrd_exp_gt4.5ft,decker,2021,inside,rm,83.2776141858254,205.69570703898876,37,2,2,5.405405405405405
dsrd_exp_gt4.5ft,decker,2021,inside,sm,52.048508866140864,128.55981689936795,37,2,2,5.405405405405405
dsrd_exp_gt4.5ft,decker,2021,inside,wa,20.81940354645635,51.42392675974719,37,1,2,2.7027027027027026
dsrd_exp_gt4.5ft,decker,2021,inside,ba,20.819403546456325,51.42392675974713,37,1,2,2.7027027027027026
dsrd_exp_gt4.5ft,decker,2022,inside,rm,104.09701773228153,257.11963379873544,37,3,3,8.108108108108109
dsrd_exp_gt4.5ft,decker,2022,inside,sm,72.86791241259702,179.98374365911468,37,2,3,5.405405405405405
dsrd_exp_gt4.5ft,decker,2022,inside,ba,20.819403546456325,51.42392675974713,37,1,3,2.7027027027027026
dsrd_exp_gt4.5ft,decker,2022,inside,bc,10.409701773228162,25.711963379873566,37,1,3,2.7027027027027026
dsrd_exp_gt4.5ft,decker,2022,inside,wa,10.409701773228162,25.711963379873566,37,1,3,2.7027027027027026
dsrd_exp_gt4.5ft,gas_line,2019,outside,rm,113.28204870865952,279.806660310389,17,2,3,11.76470588235294
dsrd_exp_gt4.5ft,gas_line,2019,outside,bc,45.31281948346382,111.92266412415565,17,1,3,5.88235294117647
dsrd_exp_gt4.5ft,gas_line,2019,outside,wa,22.656409741731885,55.96133206207776,17,1,3,5.88235294117647
dsrd_exp_gt4.5ft,gas_line,2019,inside,wa,370.1527721441387,914.2773471960227,77,17,3,22.07792207792208
dsrd_exp_gt4.5ft,gas_line,2019,inside,sm,215.08877300267548,531.2692693166085,77,16,3,20.77922077922078
dsrd_exp_gt4.5ft,gas_line,2019,inside,rm,155.06399914146348,383.0080778794148,77,8,3,10.38961038961039
dsrd_exp_gt4.5ft,gas_line,2019,inside,bc,95.03922528025198,234.74688644222243,77,10,3,12.987012987012985
dsrd_exp_gt4.5ft,gas_line,2019,inside,ba,40.01651590747453,98.8407942914621,77,4,3,5.194805194805195
dsrd_exp_gt4.5ft,gas_line,2019,inside,ro,15.006193465302937,37.065297859298255,77,3,3,3.896103896103896
dsrd_exp_gt4.5ft,gas_line,2019,inside,yp,10.004128976868635,24.710198572865533,77,1,3,1.2987012987012987
