describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
exp_GT_4.5ft,campridge,2022,inside,bta,967,2388,45,94,3,1
exp_GT_4.5ft,campridge,2022,inside,sb,688,1700,40,94,3,1
exp_GT_4.5ft,campridge,2022,inside,ab,668,1650,28,94,3,1
exp_GT_4.5ft,campridge,2022,inside,pc,623,1538,33,94,3,1
exp_GT_4.5ft,campridge,2022,inside,qa,340,840,15,94,3,1
exp_GT_4.5ft,campridge,2022,inside,remainder,533,1316,NA,94,3,12
exp_GT_4.5ft,campridge,2022,inside,TOTAL,3819,9432,NA,NA,3,17
exp_GT_4.5ft,campridge,2021,inside,bta,791,1953,39,94,2,1
exp_GT_4.5ft,campridge,2021,inside,pc,488,1204,24,94,2,1
exp_GT_4.5ft,campridge,2021,inside,sb,467,1154,27,94,2,1
exp_GT_4.5ft,campridge,2021,inside,ab,201,496,15,94,2,1
exp_GT_4.5ft,campridge,2021,inside,qa,193,476,15,94,2,1
exp_GT_4.5ft,campridge,2021,inside,remainder,287,708,NA,94,2,10
exp_GT_4.5ft,campridge,2021,inside,TOTAL,2426,5991,NA,NA,2,15
exp_GT_4.5ft,campridge,2020,inside,bta,164,405,21,94,1,1
exp_GT_4.5ft,campridge,2020,inside,sb,119,293,12,94,1,1
exp_GT_4.5ft,campridge,2020,inside,qa,78,192,6,94,1,1
exp_GT_4.5ft,campridge,2020,inside,ab,66,162,6,94,1,1
exp_GT_4.5ft,campridge,2020,inside,ba,33,81,2,94,1,1
exp_GT_4.5ft,campridge,2020,inside,remainder,115,283,NA,94,1,7
exp_GT_4.5ft,campridge,2020,inside,TOTAL,574,1417,NA,NA,1,12
exp_GT_4.5ft,circle,2022,inside,pc,1830,4519,62,24,3,1
exp_GT_4.5ft,circle,2022,inside,bta,995,2458,29,24,3,1
exp_GT_4.5ft,circle,2022,inside,sb,562,1387,46,24,3,1
exp_GT_4.5ft,circle,2022,inside,ah,385,951,17,24,3,1
exp_GT_4.5ft,circle,2022,inside,eh,353,872,17,24,3,1
exp_GT_4.5ft,circle,2022,inside,remainder,385,951,NA,24,3,7
exp_GT_4.5ft,circle,2022,inside,TOTAL,4510,11139,NA,NA,3,12
