harvest,season,wall,type,tpa,wall_denom,points_occupied,age,spp_freq,,,,,,R code
campridge,2020,protected,commercial,184.3846112,94,16,1,17.0212766,,,,,,file = summary_regen_veg_data.Rmd
campridge,2020,protected,diversity,241.7487125,94,25,1,26.59574468,,,,,,
campridge,2020,protected,interfering,81.94871609,94,10,1,10.63829787,,,,,,"# the metric ""n_distinct"" provides a count of the number of points where a species occurs"
campridge,2020,protected,other,24.58461483,94,1,1,1.063829787,,,,,,"# ""mean(wall_denom) provides the number of points by wall as control or protected"
campridge,2021,protected,commercial,585.93332,94,31,2,32.9787234,,,,,,# freq (by spp) = count/wall_denom * 100
campridge,2021,protected,diversity,966.9948498,94,46,2,48.93617021,,,,,,
campridge,2021,protected,interfering,663.7846003,94,38,2,40.42553191,,,,,,#
campridge,2021,protected,other,4.097435804,94,1,2,1.063829787,,,,,,# Composition for exposed stems by type (ignore spp)
circle,2020,protected,commercial,64.19316093,24,1,1,4.166666667,,,,,,#
circle,2020,protected,diversity,657.9798996,24,5,1,20.83333333,,,,,,
circle,2020,protected,interfering,433.3038363,24,8,1,33.33333333,,,,,,regen_all_exposed_type <- regen_all %>% 
circle,2021,protected,commercial,160.4829023,24,5,2,20.83333333,,,,,,"  filter(size == ""exp_med"" | size == ""exp_sapl"") %>% "
circle,2021,protected,diversity,818.4628019,24,8,2,33.33333333,,,,,,  filter(tpa > 0) %>% 
circle,2021,protected,interfering,1444.346121,24,13,2,54.16666667,,,,,,"  group_by(harvest, season, wall, type) %>% "
circle,2021,protected,other,96.2897414,24,2,2,8.333333333,,,,,,    summarize(
circle,2022,protected,commercial,802.4145117,24,13,3,54.16666667,,,,,,"      tpa = sum(tpa_x_wall),"
circle,2022,protected,diversity,625.8833191,24,9,3,37.5,,,,,,"      wall_denom = mean(wall_denom),"
circle,2022,protected,interfering,1380.15296,24,17,3,70.83333333,,,,,,"      points_occupied = n_distinct(point),"
circle,2022,protected,other,385.1589656,24,4,3,16.66666667,,,,,,      age = mean(numb_yrs_grow)
decker,2020,protected,commercial,41.63880709,37,3,1,8.108108108,,,,,,    ) %>% 
decker,2020,protected,diversity,10.40970177,37,1,1,2.702702703,,,,,,  mutate(
decker,2020,protected,interfering,229.013439,37,11,1,29.72972973,,,,,,    spp_freq = (points_occupied / wall_denom )*100
decker,2020,protected,other,10.40970177,37,1,1,2.702702703,,,,,,  ) %>% 
decker,2021,protected,commercial,270.6522461,37,9,2,24.32432432,,,,,,  ungroup %>% 
decker,2021,protected,diversity,187.3746319,37,5,2,13.51351351,,,,,,"  arrange(harvest, season, type, wall)"
decker,2021,protected,interfering,374.7492638,37,13,2,35.13513514,,,,,,#calculations confirmed 2/21/2023
decker,2021,protected,other,31.22910532,37,3,2,8.108108108,,,,,,
decker,2022,protected,commercial,364.3395621,37,12,3,32.43243243,,,,,,"write_csv(regen_all_exposed_type, ""regen_per_acre_exp-med-sapl_type_composition_tables.csv"")"
decker,2022,protected,diversity,156.1455266,37,4,3,10.81081081,,,,,,
decker,2022,control,interfering,77.03179312,15,3,3,20,,,,,,
decker,2022,protected,interfering,593.3530011,37,14,3,37.83783784,,,,,,
decker,2022,protected,other,104.0970177,37,5,3,13.51351351,,,,,,
gas_line,2019,control,commercial,271.8769169,17,4,2,23.52941176,,,,,,
gas_line,2019,protected,commercial,1375.567734,77,48,2,62.33766234,,,,,,
gas_line,2019,control,diversity,294.5333266,17,4,2,23.52941176,,,,,,
gas_line,2019,protected,diversity,1260.520251,77,46,2,59.74025974,,,,,,
gas_line,2019,control,interfering,158.5948682,17,2,2,11.76470588,,,,,,
gas_line,2019,protected,interfering,740.3055443,77,37,2,48.05194805,,,,,,
gas_line,2019,protected,other,60.02477386,77,4,2,5.194805195,,,,,,
gas_line,2020,control,commercial,702.348702,17,11,3,64.70588235,,,,,,
gas_line,2020,protected,commercial,1860.76799,77,57,3,74.02597403,,,,,,
gas_line,2020,control,diversity,317.1897364,17,5,3,29.41176471,,,,,,
gas_line,2020,protected,diversity,1590.656507,77,46,3,59.74025974,,,,,,
gas_line,2020,control,interfering,453.1281948,17,8,3,47.05882353,,,,,,
gas_line,2020,protected,interfering,1010.417027,77,41,3,53.24675325,,,,,,
gas_line,2020,protected,other,25.01032244,77,4,3,5.194805195,,,,,,
gas_line,2021,control,commercial,1427.353814,17,13,4,76.47058824,,,,,,
gas_line,2021,protected,commercial,1815.749409,77,66,4,85.71428571,,,,,,
gas_line,2021,control,diversity,339.8461461,17,5,4,29.41176471,,,,,,
gas_line,2021,protected,diversity,1510.623476,77,47,4,61.03896104,,,,,,
gas_line,2021,control,interfering,770.3179312,17,10,4,58.82352941,,,,,,
gas_line,2021,protected,interfering,1560.64412,77,43,4,55.84415584,,,,,,
gas_line,2021,control,other,407.8153754,17,3,4,17.64705882,,,,,,
gas_line,2021,protected,other,70.02890284,77,6,4,7.792207792,,,,,,
gas_line,2022,control,commercial,2967.989676,17,15,5,88.23529412,,,,,,
gas_line,2022,protected,commercial,1880.776248,77,69,5,89.61038961,,,,,,
gas_line,2022,control,diversity,453.1281948,17,7,5,41.17647059,,,,,,
gas_line,2022,protected,diversity,1410.582186,77,43,5,55.84415584,,,,,,
gas_line,2022,control,interfering,1585.948682,17,12,5,70.58823529,,,,,,
gas_line,2022,protected,interfering,1780.734958,77,50,5,64.93506494,,,,,,
gas_line,2022,control,other,702.348702,17,6,5,35.29411765,,,,,,
gas_line,2022,protected,other,70.02890284,77,5,5,6.493506494,,,,,,
recknagel,2020,protected,commercial,40.54304901,38,1,1,2.631578947,,,,,,
recknagel,2020,protected,diversity,20.27152451,38,1,1,2.631578947,,,,,,
recknagel,2020,control,interfering,24.07243535,32,2,1,6.25,,,,,,
recknagel,2021,protected,commercial,506.7881126,38,11,2,28.94736842,,,,,,
recknagel,2021,protected,diversity,152.0364338,38,3,2,7.894736842,,,,,,
recknagel,2021,control,interfering,36.10865303,32,3,2,9.375,,,,,,
recknagel,2021,protected,interfering,395.2947279,38,16,2,42.10526316,,,,,,
recknagel,2021,protected,other,10.13576225,38,1,2,2.631578947,,,,,,
recknagel,2022,protected,commercial,1702.808058,38,27,3,71.05263158,,,,,,
recknagel,2022,protected,diversity,152.0364338,38,4,3,10.52631579,,,,,,
recknagel,2022,control,interfering,72.21730605,32,3,3,9.375,,,,,,
recknagel,2022,protected,interfering,780.4536935,38,22,3,57.89473684,,,,,,
recknagel,2022,protected,other,70.95033577,38,4,3,10.52631579,,,,,,
red_pine,2019,control,commercial,26.56268728,29,2,2,6.896551724,,,,,,
red_pine,2019,protected,commercial,619.0054804,28,15,2,53.57142857,,,,,,
red_pine,2019,control,diversity,225.7828419,29,5,2,17.24137931,,,,,,
red_pine,2019,protected,diversity,1857.016441,28,20,2,71.42857143,,,,,,
red_pine,2019,control,interfering,39.84403093,29,3,2,10.34482759,,,,,,
red_pine,2019,protected,interfering,1444.346121,28,12,2,42.85714286,,,,,,
red_pine,2019,protected,other,96.2897414,28,2,2,7.142857143,,,,,,
red_pine,2020,control,commercial,225.7828419,29,5,3,17.24137931,,,,,,
red_pine,2020,protected,commercial,1072.942833,28,19,3,67.85714286,,,,,,
red_pine,2020,control,diversity,292.1895601,29,6,3,20.68965517,,,,,,
red_pine,2020,protected,diversity,1279.277993,28,15,3,53.57142857,,,,,,
red_pine,2020,control,interfering,212.5014983,29,8,3,27.5862069,,,,,,
red_pine,2020,protected,interfering,1416.834766,28,13,3,46.42857143,,,,,,
red_pine,2021,control,commercial,717.1925567,29,13,4,44.82758621,,,,,,
red_pine,2021,protected,commercial,1416.834766,28,21,4,75,,,,,,
red_pine,2021,control,diversity,411.7216529,29,10,4,34.48275862,,,,,,
red_pine,2021,protected,diversity,1581.902894,28,18,4,64.28571429,,,,,,
red_pine,2021,control,interfering,517.972402,29,12,4,41.37931034,,,,,,
red_pine,2021,protected,interfering,1691.948313,28,15,4,53.57142857,,,,,,
red_pine,2021,control,other,13.28134364,29,1,4,3.448275862,,,,,,
red_pine,2021,protected,other,41.26703203,28,1,4,3.571428571,,,,,,
sta_rd,2019,control,commercial,45.31281948,34,2,2,5.882352941,,,,,,
sta_rd,2019,protected,commercial,252.5632561,61,13,2,21.31147541,,,,,,
sta_rd,2019,protected,diversity,164.1661165,61,6,2,9.836065574,,,,,,
sta_rd,2019,control,interfering,158.5948682,34,5,2,14.70588235,,,,,,
sta_rd,2019,protected,interfering,1856.339933,61,32,2,52.45901639,,,,,,
sta_rd,2020,control,commercial,124.6102536,34,5,3,14.70588235,,,,,,
sta_rd,2020,protected,commercial,517.7546751,61,16,3,26.2295082,,,,,,
sta_rd,2020,protected,diversity,164.1661165,61,7,3,11.47540984,,,,,,
sta_rd,2020,control,interfering,90.62563897,34,2,3,5.882352941,,,,,,
sta_rd,2020,protected,interfering,1496.437293,61,30,3,49.18032787,,,,,,
sta_rd,2021,control,commercial,623.0512679,34,13,4,38.23529412,,,,,,
sta_rd,2021,protected,commercial,984.9966989,61,32,4,52.45901639,,,,,,
sta_rd,2021,protected,diversity,132.5957095,61,9,4,14.75409836,,,,,,
sta_rd,2021,control,interfering,169.9230731,34,7,4,20.58823529,,,,,,
sta_rd,2021,protected,interfering,1995.249723,61,43,4,70.49180328,,,,,,
sta_rd,2022,control,commercial,1246.102536,34,18,5,52.94117647,,,,,,
sta_rd,2022,protected,commercial,1881.596258,61,41,5,67.21311475,,,,,,
sta_rd,2022,protected,diversity,176.7942793,61,10,5,16.39344262,,,,,,
sta_rd,2022,control,interfering,283.2051218,34,10,5,29.41176471,,,,,,
sta_rd,2022,protected,interfering,1938.422991,61,42,5,68.85245902,,,,,,
