describ,harvest,season,wall,spp,Avg Stem Density (stems/ac),Avg Stem Density (stems/ha),PCT_pts_present,wall_ denom,age,spp_count
total,campridge,2021,protected,ab,6235,15400,61,94,2,1
total,campridge,2021,protected,sb,3258,8047,61,94,2,1
total,campridge,2021,protected,bta,1771,4375,48,94,2,1
total,campridge,2021,protected,pc,1436,3546,35,94,2,1
total,campridge,2021,protected,qa,1313,3244,26,94,2,1
total,campridge,2021,protected,remainder,2269,5605,NA,94,2,16
total,campridge,2021,protected,TOTAL,16282,40217,NA,NA,NA,21
"(N.B. Controls for campridge and circle harvests are ""recknagel"")",,,,,,,,,,
,,,,,,,,,,
total,campridge,2020,protected,ab,2856,7055,40,94,1,1
total,campridge,2020,protected,sb,1767,4365,36,94,1,1
total,campridge,2020,protected,bta,1425,3519,39,94,1,1
total,campridge,2020,protected,pc,919,2270,27,94,1,1
total,campridge,2020,protected,qa,897,2215,23,94,1,1
total,campridge,2020,protected,remainder,1394,3444,NA,94,1,18
total,campridge,2020,protected,TOTAL,9258,22868,NA,NA,NA,23
,,,,,,,,,,
,,,,,,,,,,
total,circle,2022,protected,ab,13494,33331,79,24,3,1
total,circle,2022,protected,sb,3094,7642,71,24,3,1
total,circle,2022,protected,pc,2209,5457,62,24,3,1
total,circle,2022,protected,rm,1704,4209,54,24,3,1
total,circle,2022,protected,bta,1122,2770,29,24,3,1
total,circle,2022,protected,remainder,3439,8493,NA,24,3,10
total,circle,2022,protected,TOTAL,25062,61902,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,circle,2021,protected,ab,9495,23453,83,24,2,1
total,circle,2021,protected,sb,3583,8850,62,24,2,1
total,circle,2021,protected,pc,2230,5508,54,24,2,1
total,circle,2021,protected,bta,1266,3127,29,24,2,1
total,circle,2021,protected,ro,971,2397,54,24,2,1
total,circle,2021,protected,remainder,2666,6585,NA,24,2,9
total,circle,2021,protected,TOTAL,20211,49921,NA,NA,NA,14
,,,,,,,,,,
,,,,,,,,,,
total,circle,2020,protected,pc,2915,7201,54,24,1,1
total,circle,2020,protected,bta,1629,4023,25,24,1,1
total,circle,2020,protected,eh,767,1895,17,24,1,1
total,circle,2020,protected,ab,760,1876,29,24,1,1
total,circle,2020,protected,svb,422,1042,12,24,1,1
total,circle,2020,protected,remainder,1161,2869,NA,24,1,7
total,circle,2020,protected,TOTAL,7655,18907,NA,NA,NA,12
,,,,,,,,,,
,,,,,,,,,,
total,decker,2022,control,ah,1621,4003,33,15,3,1
total,decker,2022,control,eh,1106,2732,27,15,3,1
total,decker,2022,control,ab,794,1961,33,15,3,1
total,decker,2022,control,sb,608,1501,27,15,3,1
total,decker,2022,control,svb,203,500,7,15,3,1
total,decker,2022,control,remainder,608,1501,NA,15,3,6
total,decker,2022,control,TOTAL,4939,12198,NA,NA,NA,11
,,,,,,,,,,
,,,,,,,,,,
total,decker,2022,protected,ab,2472,6106,43,37,3,1
total,decker,2022,protected,sb,893,2205,35,37,3,1
total,decker,2022,protected,stm,556,1374,11,37,3,1
total,decker,2022,protected,bta,386,952,14,37,3,1
total,decker,2022,protected,wa,339,837,19,37,3,1
total,decker,2022,protected,remainder,1427,3524,NA,37,3,10
total,decker,2022,protected,TOTAL,6072,14998,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,decker,2021,control,eh,1485,3669,27,15,2,1
total,decker,2021,control,ah,810,2001,20,15,2,1
total,decker,2021,control,sb,203,500,20,15,2,1
total,decker,2021,control,ab,135,334,13,15,2,1
total,decker,2021,control,empty,0,0,47,15,2,1
total,decker,2021,control,TOTAL,2633,6504,NA,NA,NA,5
,,,,,,,,,,
,,,,,,,,,,
total,decker,2021,protected,ab,2498,6171,43,37,2,1
total,decker,2021,protected,sb,788,1947,30,37,2,1
total,decker,2021,protected,stm,524,1294,11,37,2,1
total,decker,2021,protected,bta,413,1020,16,37,2,1
total,decker,2021,protected,rm,302,747,11,37,2,1
total,decker,2021,protected,remainder,924,2282,NA,37,2,10
total,decker,2021,protected,TOTAL,5450,13461,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,decker,2020,control,eh,540,1334,13,15,1,1
total,decker,2020,control,ah,338,834,13,15,1,1
total,decker,2020,control,sb,338,834,20,15,1,1
total,decker,2020,control,ab,68,167,7,15,1,1
total,decker,2020,control,empty,0,0,67,15,1,1
total,decker,2020,control,TOTAL,1283,3169,NA,NA,NA,5
,,,,,,,,,,
,,,,,,,,,,
total,decker,2020,protected,ab,1183,2923,35,37,1,1
total,decker,2020,protected,bta,339,837,8,37,1,1
total,decker,2020,protected,stm,284,702,8,37,1,1
total,decker,2020,protected,sb,229,567,11,37,1,1
total,decker,2020,protected,eh,168,415,16,37,1,1
total,decker,2020,protected,remainder,600,1481,NA,37,1,8
total,decker,2020,protected,TOTAL,2803,6924,NA,NA,NA,13
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2022,control,sb,8586,21207,94,17,5,1
total,gas_line,2022,control,ab,3215,7940,76,17,5,1
total,gas_line,2022,control,rm,1384,3418,53,17,5,1
total,gas_line,2022,control,ah,1358,3354,47,17,5,1
total,gas_line,2022,control,wa,1305,3223,24,17,5,1
total,gas_line,2022,control,remainder,4691,11586,NA,17,5,13
total,gas_line,2022,control,TOTAL,20538,50728,NA,NA,NA,18
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2022,protected,ab,2327,5748,39,77,5,1
total,gas_line,2022,protected,wa,1961,4844,56,77,5,1
total,gas_line,2022,protected,sb,1863,4603,48,77,5,1
total,gas_line,2022,protected,qa,1462,3612,39,77,5,1
total,gas_line,2022,protected,pc,1208,2984,51,77,5,1
total,gas_line,2022,protected,remainder,4997,12342,NA,77,5,16
total,gas_line,2022,protected,TOTAL,13819,34133,NA,NA,NA,21
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2021,control,sb,6955,17178,94,17,4,1
total,gas_line,2021,control,ab,3435,8483,82,17,4,1
total,gas_line,2021,control,ah,1599,3950,29,17,4,1
total,gas_line,2021,control,wa,1260,3111,29,17,4,1
total,gas_line,2021,control,rm,1160,2864,35,17,4,1
total,gas_line,2021,control,remainder,4164,10285,NA,17,4,10
total,gas_line,2021,control,TOTAL,18572,45872,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2021,protected,ab,2241,5536,32,77,4,1
total,gas_line,2021,protected,wa,1895,4680,56,77,4,1
total,gas_line,2021,protected,sb,1827,4512,47,77,4,1
total,gas_line,2021,protected,qa,1486,3670,44,77,4,1
total,gas_line,2021,protected,bta,1389,3432,48,77,4,1
total,gas_line,2021,protected,remainder,5316,13131,NA,77,4,17
total,gas_line,2021,protected,TOTAL,14154,34961,NA,NA,NA,22
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2020,control,sb,6320,15611,76,17,3,1
total,gas_line,2020,control,ab,3532,8724,76,17,3,1
total,gas_line,2020,control,eh,1455,3594,47,17,3,1
total,gas_line,2020,control,wa,1237,3055,29,17,3,1
total,gas_line,2020,control,rm,1106,2732,41,17,3,1
total,gas_line,2020,control,remainder,3894,9619,NA,17,3,10
total,gas_line,2020,control,TOTAL,17545,43335,NA,NA,NA,15
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2020,protected,ab,2220,5483,34,77,3,1
total,gas_line,2020,protected,wa,1737,4290,52,77,3,1
total,gas_line,2020,protected,sb,1575,3890,43,77,3,1
total,gas_line,2020,protected,qa,1549,3825,45,77,3,1
total,gas_line,2020,protected,pc,1334,3294,45,77,3,1
total,gas_line,2020,protected,remainder,4775,11795,NA,77,3,19
total,gas_line,2020,protected,TOTAL,13189,32577,NA,NA,NA,24
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2019,control,sb,6346,15676,71,17,2,1
total,gas_line,2019,control,ab,2882,7120,65,17,2,1
total,gas_line,2019,control,wa,1333,3293,29,17,2,1
total,gas_line,2019,control,qa,1254,3097,47,17,2,1
total,gas_line,2019,control,rm,1245,3076,41,17,2,1
total,gas_line,2019,control,remainder,4703,11617,NA,17,2,12
total,gas_line,2019,control,TOTAL,17764,43878,NA,NA,NA,17
,,,,,,,,,,
,,,,,,,,,,
total,gas_line,2019,protected,bta,3323,8207,61,77,2,1
total,gas_line,2019,protected,ab,2473,6109,27,77,2,1
total,gas_line,2019,protected,wa,1598,3948,45,77,2,1
