describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
total,campridge,2022,inside,ab,8490,20971,64,94,3,1
total,campridge,2022,inside,sb,3705,9152,68,94,3,1
total,campridge,2022,inside,bta,1420,3506,47,94,3,1
total,campridge,2022,inside,qa,1418,3501,23,94,3,1
total,campridge,2022,inside,pc,1366,3375,40,94,3,1
total,campridge,2022,inside,remainder,3657,9034,NA,94,3,16
total,campridge,2022,inside,TOTAL,20057,49540,NA,NA,NA,21
total,campridge,2021,inside,ab,6235,15400,61,94,2,1
total,campridge,2021,inside,sb,3258,8047,61,94,2,1
total,campridge,2021,inside,bta,1771,4375,48,94,2,1
total,campridge,2021,inside,pc,1436,3546,35,94,2,1
total,campridge,2021,inside,qa,1313,3244,26,94,2,1
total,campridge,2021,inside,remainder,2269,5605,NA,94,2,16
total,campridge,2021,inside,TOTAL,16282,40217,NA,NA,NA,21
total,campridge,2020,inside,ab,2856,7055,39,94,1,1
total,campridge,2020,inside,sb,1767,4365,36,94,1,1
total,campridge,2020,inside,bta,1425,3519,39,94,1,1
total,campridge,2020,inside,pc,919,2270,27,94,1,1
total,campridge,2020,inside,qa,897,2215,23,94,1,1
total,campridge,2020,inside,remainder,1394,3444,NA,94,1,18
total,campridge,2020,inside,TOTAL,9258,22868,NA,NA,NA,23
total,circle,2022,inside,ab,13494,33331,79,24,3,1
total,circle,2022,inside,sb,3094,7642,71,24,3,1
total,circle,2022,inside,pc,2209,5457,62,24,3,1
total,circle,2022,inside,rm,1704,4209,54,24,3,1
total,circle,2022,inside,bta,1122,2770,29,24,3,1
total,circle,2022,inside,remainder,3439,8493,NA,24,3,10
total,circle,2022,inside,TOTAL,25062,61902,NA,NA,NA,15
total,circle,2021,inside,ab,9495,23453,83,24,2,1
total,circle,2021,inside,sb,3583,8850,62,24,2,1
total,circle,2021,inside,pc,2230,5508,54,24,2,1
total,circle,2021,inside,bta,1266,3127,29,24,2,1
total,circle,2021,inside,ro,971,2397,54,24,2,1
total,circle,2021,inside,remainder,2666,6585,NA,24,2,9
total,circle,2021,inside,TOTAL,20211,49921,NA,NA,NA,14
total,circle,2020,inside,pc,2915,7201,54,24,1,1
total,circle,2020,inside,bta,1629,4023,25,24,1,1
total,circle,2020,inside,eh,767,1895,17,24,1,1
total,circle,2020,inside,ab,760,1876,29,24,1,1
total,circle,2020,inside,svb,422,1042,12,24,1,1
total,circle,2020,inside,remainder,1161,2869,NA,24,1,7
total,circle,2020,inside,TOTAL,7655,18907,NA,NA,NA,12
total,decker,2022,outside,ah,1621,4003,33,15,3,1
total,decker,2022,outside,eh,1106,2732,27,15,3,1
total,decker,2022,outside,ab,794,1961,33,15,3,1
total,decker,2022,outside,sb,608,1501,27,15,3,1
total,decker,2022,outside,svb,203,500,7,15,3,1
total,decker,2022,outside,remainder,675,1668,NA,15,3,7
total,decker,2022,outside,TOTAL,5006,12365,NA,NA,NA,12
total,decker,2022,inside,ab,2472,6106,43,37,3,1
total,decker,2022,inside,sb,893,2205,35,37,3,1
total,decker,2022,inside,stm,556,1374,11,37,3,1
total,decker,2022,inside,bta,386,952,14,37,3,1
total,decker,2022,inside,wa,339,837,19,37,3,1
total,decker,2022,inside,remainder,1427,3524,NA,37,3,10
total,decker,2022,inside,TOTAL,6072,14998,NA,NA,NA,15
total,decker,2021,outside,eh,1485,3669,27,15,2,1
total,decker,2021,outside,ah,810,2001,20,15,2,1
total,decker,2021,outside,sb,203,500,20,15,2,1
total,decker,2021,outside,ab,135,334,13,15,2,1
total,decker,2021,outside,TOTAL,2633,6504,NA,NA,NA,4
total,decker,2021,inside,ab,2498,6171,43,37,2,1
total,decker,2021,inside,sb,788,1947,30,37,2,1
total,decker,2021,inside,stm,524,1294,11,37,2,1
total,decker,2021,inside,bta,413,1020,16,37,2,1
total,decker,2021,inside,rm,302,747,11,37,2,1
total,decker,2021,inside,remainder,924,2282,NA,37,2,10
total,decker,2021,inside,TOTAL,5450,13461,NA,NA,NA,15
