describ,harvest,season,TRMT,spp,tpa,tpha,wall_denom,points_occupied,age,PCT_pts_present
total,campridge,2020,inside,ab,2856.2449801606444,7054.925100996793,94,37,1,39.361702127659576
total,campridge,2020,inside,sb,1767.3776040232885,4365.422681937523,94,34,1,36.17021276595745
total,campridge,2020,inside,bta,1424.5548177072085,3518.6503997368054,94,37,1,39.361702127659576
total,campridge,2020,inside,pc,918.8971190931192,2269.6758841600044,94,25,1,26.595744680851062
total,campridge,2020,inside,qa,896.739838406746,2214.947400864663,94,22,1,23.404255319148938
total,campridge,2020,inside,rm,420.67406659883926,1039.064944499133,94,15,1,15.957446808510639
total,campridge,2020,inside,eh,219.59442478435193,542.3982292173492,94,6,1,6.382978723404255
total,campridge,2020,inside,cc,132.33310931613286,326.8627800108482,94,2,1,2.127659574468085
total,campridge,2020,inside,yb,126.71821554770948,312.9939924028424,94,5,1,5.319148936170213
total,campridge,2020,inside,sa,86.19879559199862,212.9110251122366,94,2,1,2.127659574468085
total,campridge,2020,inside,ro,68.74653249835447,169.80393527093554,94,6,1,6.382978723404255
total,campridge,2020,inside,wh,59.48914101342234,146.9381783031532,94,1,1,1.0638297872340425
total,campridge,2020,inside,ba,54.329185332845746,134.193087772129,94,4,1,4.25531914893617
total,campridge,2020,inside,sm,43.09939779599926,106.45551255611817,94,1,1,1.0638297872340425
total,campridge,2020,inside,wa,43.09939779599915,106.45551255611791,94,4,1,4.25531914893617
total,campridge,2020,inside,wi,32.324548346999364,79.84163441708843,94,2,1,2.127659574468085
total,campridge,2020,inside,ec,21.549698897999576,53.227756278058955,94,1,1,1.0638297872340425
total,campridge,2020,inside,sh,21.549698897999576,53.227756278058955,94,1,1,1.0638297872340425
total,campridge,2020,inside,svb,21.549698897999576,53.227756278058955,94,2,1,2.127659574468085
total,campridge,2020,inside,ah,10.774849448999788,26.613878139029477,94,1,1,1.0638297872340425
total,campridge,2020,inside,bc,10.774849448999788,26.613878139029477,94,1,1,1.0638297872340425
total,campridge,2020,inside,stm,10.774849448999788,26.613878139029477,94,1,1,1.0638297872340425
total,campridge,2020,inside,wp,10.774849448999788,26.613878139029477,94,1,1,1.0638297872340425
total,campridge,2021,inside,ab,6234.690045853327,15399.684413257719,94,57,2,60.63829787234043
total,campridge,2021,inside,sb,3257.7936889875073,8046.750411799144,94,57,2,60.63829787234043
total,campridge,2021,inside,bta,1771.3164100996455,4375.1515329461245,94,45,2,47.87234042553192
total,campridge,2021,inside,pc,1435.781612230318,3546.3805822088857,94,33,2,35.1063829787234
total,campridge,2021,inside,qa,1313.1638255007013,3243.5146489867325,94,24,2,25.53191489361702
total,campridge,2021,inside,rm,704.7649443766629,1740.7694126103574,94,30,2,31.914893617021278
total,campridge,2021,inside,eh,356.0249699048402,879.3816756649553,94,13,2,13.829787234042554
total,campridge,2021,inside,wa,303.2132425360621,748.9367090640735,94,12,2,12.76595744680851
total,campridge,2021,inside,ro,230.3692742333515,569.0121073563782,94,14,2,14.893617021276595
total,campridge,2021,inside,sa,171.33507130777605,423.1976261302069,94,8,2,8.51063829787234
total,campridge,2021,inside,svb,107.748494489998,266.13878139029504,94,6,2,6.382978723404255
total,campridge,2021,inside,wi,78.45886207113361,193.79338931570004,94,4,2,4.25531914893617
total,campridge,2021,inside,wp,75.42394614299863,186.2971469732066,94,3,2,3.1914893617021276
total,campridge,2021,inside,ba,69.2014705862013,170.9276323479172,94,5,2,5.319148936170213
total,campridge,2021,inside,sm,53.87424724499905,133.06939069514763,94,2,2,2.127659574468085
total,campridge,2021,inside,bc,25.64713470235534,63.3484227148177,94,3,2,3.1914893617021276
total,campridge,2021,inside,wh,24.584614826134572,60.7239986205524,94,1,2,1.0638297872340425
total,campridge,2021,inside,ec,21.549698897999576,53.227756278058955,94,2,2,2.127659574468085
total,campridge,2021,inside,sh,21.549698897999576,53.227756278058955,94,1,2,1.0638297872340425
total,campridge,2021,inside,stm,21.549698897999576,53.227756278058955,94,1,2,1.0638297872340425
total,campridge,2021,inside,unk,4.097435804355766,10.120666436758743,94,1,2,1.0638297872340425
total,campridge,2022,inside,ab,8490.422736083852,20971.344158127118,94,60,3,63.829787234042556
total,campridge,2022,inside,sb,3705.3270608517146,9152.157840303735,94,64,3,68.08510638297872
total,campridge,2022,inside,bta,1419.5385266859537,3506.2601609143057,94,44,3,46.808510638297875
total,campridge,2022,inside,qa,1417.5721166615097,3501.403128153929,94,22,3,23.404255319148938
total,campridge,2022,inside,pc,1366.274854243063,3374.698889980366,94,38,3,40.42553191489361
total,campridge,2022,inside,rm,1352.1657874923446,3339.8494951060916,94,48,3,51.06382978723404
total,campridge,2022,inside,wa,559.2296514717688,1381.2972391352691,94,18,3,19.148936170212767
total,campridge,2022,inside,eh,380.0020029426005,938.6049472682232,94,9,3,9.574468085106384
total,campridge,2022,inside,ro,337.0552488471291,832.526464652409,94,16,3,17.02127659574468
total,campridge,2022,inside,sa,228.24423448091022,563.7632591678483,94,10,3,10.638297872340425
total,campridge,2022,inside,wp,187.26987643735268,462.55659480026117,94,6,3,6.382978723404255
total,campridge,2022,inside,svb,168.755093467488,416.82508086469534,94,8,3,8.51063829787234
total,campridge,2022,inside,wi,137.94800308455603,340.73156761885343,94,6,3,6.382978723404255
total,campridge,2022,inside,ba,69.2014705862013,170.9276323479172,94,5,3,5.319148936170213
total,campridge,2022,inside,sm,64.64909669399884,159.6832688341771,94,3,3,3.1914893617021276
total,campridge,2022,inside,sh,64.64909669399873,159.68326883417686,94,3,3,3.1914893617021276
total,campridge,2022,inside,ah,44.61685576006677,110.20363372736495,94,3,3,3.1914893617021276
total,campridge,2022,inside,stm,25.647134702355423,63.3484227148179,94,1,3,1.0638297872340425
total,campridge,2022,inside,wh,16.389743217423085,40.48266574703502,94,1,3,1.0638297872340425
total,campridge,2022,inside,rp,10.774849448999788,26.613878139029477,94,1,3,1.0638297872340425
total,campridge,2022,inside,yp,10.774849448999788,26.613878139029477,94,1,3,1.0638297872340425
total,circle,2020,inside,pc,2915.46674528033,7201.202860842416,24,13,1,54.166666666666664
total,circle,2020,inside,bta,1628.6142541135305,4022.67720766042,24,6,1,25
total,circle,2020,inside,eh,767.3521040244838,1895.359696940475,24,4,1,16.666666666666664
total,circle,2020,inside,ab,759.6268861544863,1876.2784088015812,24,7,1,29.166666666666668
total,circle,2020,inside,svb,422.01493675249293,1042.3768937786576,24,3,1,12.5
total,circle,2020,inside,ro,379.81344307724294,938.1392044007902,24,6,1,25
total,circle,2020,inside,sb,295.4104557267442,729.6638256450583,24,6,1,25
total,circle,2020,inside,sm,168.8059747009971,416.9507575114628,24,1,1,4.166666666666666
total,circle,2020,inside,ba,106.39465461015625,262.79479688708597,24,2,1,8.333333333333332
total,circle,2020,inside,rm,84.40298735049834,208.47537875573093,24,2,1,8.333333333333332
