describ,harvest,season,TRMT,spp,TOTAL_tpa,TOTAL_tpha,PCT_pts_present,wall_denom,age,spp_count
winners,campridge,2022,inside,bta,377,931,37,94,3,1
winners,campridge,2022,inside,sb,250,617,30,94,3,1
winners,campridge,2022,inside,ab,205,506,21,94,3,1
winners,campridge,2022,inside,qa,156,385,15,94,3,1
winners,campridge,2022,inside,pc,131,324,20,94,3,1
winners,campridge,2022,inside,remainder,324,800,NA,94,3,10
winners,campridge,2022,inside,TOTAL,1442,3562,NA,NA,NA,15
winners,campridge,2021,inside,bta,336,830,36,94,2,1
winners,campridge,2021,inside,ab,279,688,27,94,2,1
winners,campridge,2021,inside,sb,258,638,29,94,2,1
winners,campridge,2021,inside,qa,148,364,18,94,2,1
winners,campridge,2021,inside,pc,143,354,22,94,2,1
winners,campridge,2021,inside,remainder,287,708,NA,94,2,12
winners,campridge,2021,inside,TOTAL,1450,3583,NA,NA,NA,17
winners,campridge,2020,inside,ab,275,678,30,94,1,1
winners,campridge,2020,inside,bta,275,678,34,94,1,1
winners,campridge,2020,inside,sb,176,435,22,94,1,1
winners,campridge,2020,inside,qa,119,293,16,94,1,1
winners,campridge,2020,inside,pc,111,273,14,94,1,1
winners,campridge,2020,inside,remainder,287,708,NA,94,1,13
winners,campridge,2020,inside,TOTAL,1242,3067,NA,NA,NA,18
winners,circle,2022,inside,pc,433,1070,50,24,3,1
winners,circle,2022,inside,bta,273,674,21,24,3,1
winners,circle,2022,inside,sb,225,555,25,24,3,1
winners,circle,2022,inside,eh,177,436,17,24,3,1
winners,circle,2022,inside,ro,128,317,21,24,3,1
winners,circle,2022,inside,remainder,241,595,NA,24,3,7
winners,circle,2022,inside,TOTAL,1476,3647,NA,NA,NA,12
winners,circle,2021,inside,pc,305,753,33,24,2,1
winners,circle,2021,inside,sb,257,634,25,24,2,1
winners,circle,2021,inside,bta,225,555,25,24,2,1
winners,circle,2021,inside,eh,193,476,21,24,2,1
winners,circle,2021,inside,ro,144,357,29,24,2,1
winners,circle,2021,inside,remainder,209,515,NA,24,2,6
winners,circle,2021,inside,TOTAL,1332,3290,NA,NA,NA,11
winners,circle,2020,inside,bta,209,515,25,24,1,1
winners,circle,2020,inside,eh,160,396,12,24,1,1
winners,circle,2020,inside,pc,128,317,17,24,1,1
winners,circle,2020,inside,ro,48,119,8,24,1,1
winners,circle,2020,inside,sm,48,119,4,24,1,1
winners,circle,2020,inside,remainder,96,238,NA,24,1,4
winners,circle,2020,inside,TOTAL,690,1704,NA,NA,NA,9
winners,decker,2022,outside,ab,308,761,33,15,3,1
winners,decker,2022,outside,eh,231,571,27,15,3,1
winners,decker,2022,outside,sb,154,381,20,15,3,1
winners,decker,2022,outside,ah,103,254,27,15,3,1
winners,decker,2022,outside,svb,77,190,7,15,3,1
