describ,harvest,season,TRMT,spp,tpa,tpha,wall_denom,points_occupied,age,PCT_pts_present
winners,campridge,2020,inside,ab,274.5281988918364,678.0846512628359,94,28,1,29.78723404255319
winners,campridge,2020,inside,bta,274.52819889183627,678.0846512628357,94,32,1,34.04255319148936
winners,campridge,2020,inside,sb,176.18973958729788,435.18865678062576,94,21,1,22.340425531914892
winners,campridge,2020,inside,qa,118.82563832631718,293.49932666600347,94,15,1,15.957446808510639
winners,campridge,2020,inside,pc,110.63076671760562,273.25799379248593,94,13,1,13.829787234042554
winners,campridge,2020,inside,rm,69.65640867404801,172.0513294248986,94,9,1,9.574468085106384
winners,campridge,2020,inside,eh,45.07179384791338,111.32733080434606,94,5,1,5.319148936170213
winners,campridge,2020,inside,ba,40.9743580435577,101.20666436758754,94,4,1,4.25531914893617
winners,campridge,2020,inside,cc,32.77948643484617,80.96533149407004,94,2,1,2.127659574468085
winners,campridge,2020,inside,yb,20.48717902177884,50.60333218379374,94,4,1,4.25531914893617
winners,campridge,2020,inside,sa,20.487179021778775,50.60333218379358,94,2,1,2.127659574468085
winners,campridge,2020,inside,ro,16.389743217423064,40.48266574703497,94,4,1,4.25531914893617
winners,campridge,2020,inside,sm,8.194871608711543,20.24133287351751,94,1,1,1.0638297872340425
winners,campridge,2020,inside,wi,8.194871608711543,20.24133287351751,94,1,1,1.0638297872340425
winners,campridge,2020,inside,sh,8.194871608711532,20.241332873517486,94,1,1,1.0638297872340425
winners,campridge,2020,inside,wa,8.194871608711532,20.241332873517486,94,2,1,2.127659574468085
winners,campridge,2020,inside,ah,4.097435804355766,10.120666436758743,94,1,1,1.0638297872340425
winners,campridge,2020,inside,svb,4.097435804355766,10.120666436758743,94,1,1,1.0638297872340425
winners,campridge,2021,inside,bta,335.9897359571728,829.8946478142168,94,34,2,36.17021276595745
winners,campridge,2021,inside,ab,278.6256346961919,688.2053176995942,94,25,2,26.595744680851062
winners,campridge,2021,inside,sb,258.13845567441297,637.6019855158002,94,27,2,28.723404255319153
winners,campridge,2021,inside,qa,147.50768895680758,364.34399172331473,94,17,2,18.085106382978726
winners,campridge,2021,inside,pc,143.41025315245193,354.22332528655625,94,21,2,22.340425531914892
winners,campridge,2021,inside,rm,73.75384447840388,182.17199586165756,94,8,2,8.51063829787234
winners,campridge,2021,inside,eh,57.364101260980775,141.68933011462252,94,7,2,7.446808510638298
winners,campridge,2021,inside,ba,45.07179384791347,111.32733080434627,94,5,2,5.319148936170213
winners,campridge,2021,inside,ro,28.682050630490295,70.84466505731103,94,5,2,5.319148936170213
winners,campridge,2021,inside,wi,20.48717902177884,50.60333218379374,94,3,2,3.1914893617021276
winners,campridge,2021,inside,svb,16.389743217423074,40.482665747035,94,3,2,3.1914893617021276
winners,campridge,2021,inside,sa,12.292307413067233,30.36199931027607,94,1,2,1.0638297872340425
winners,campridge,2021,inside,wh,8.194871608711543,20.24133287351751,94,1,2,1.0638297872340425
winners,campridge,2021,inside,wp,8.194871608711543,20.24133287351751,94,1,2,1.0638297872340425
winners,campridge,2021,inside,wa,8.194871608711532,20.241332873517486,94,2,2,2.127659574468085
winners,campridge,2021,inside,ec,4.097435804355766,10.120666436758743,94,1,2,1.0638297872340425
winners,campridge,2021,inside,sm,4.097435804355766,10.120666436758743,94,1,2,1.0638297872340425
winners,campridge,2022,inside,bta,376.9640940007302,931.1013121818036,94,35,3,37.234042553191486
winners,campridge,2022,inside,sb,249.9435840657016,617.360652642283,94,28,3,29.78723404255319
winners,campridge,2022,inside,ab,204.8717902177883,506.0333218379371,94,20,3,21.27659574468085
winners,campridge,2022,inside,qa,155.70256056551898,384.58532459683187,94,14,3,14.893617021276595
winners,campridge,2022,inside,pc,131.11794573938462,323.86132597628,94,19,3,20.212765957446805
winners,campridge,2022,inside,rm,98.33845930453833,242.89599448220972,94,10,3,10.638297872340425
winners,campridge,2022,inside,eh,73.75384447840386,182.17199586165754,94,7,3,7.446808510638298
winners,campridge,2022,inside,ba,40.9743580435577,101.20666436758754,94,4,3,4.25531914893617
winners,campridge,2022,inside,ro,36.87692223920183,91.08599793082853,94,7,3,7.446808510638298
winners,campridge,2022,inside,wi,20.48717902177885,50.60333218379377,94,3,3,3.1914893617021276
winners,campridge,2022,inside,svb,16.389743217423074,40.482665747035,94,3,3,3.1914893617021276
winners,campridge,2022,inside,wa,12.292307413067299,30.36199931027623,94,3,3,3.1914893617021276
winners,campridge,2022,inside,sa,12.292307413067233,30.36199931027607,94,1,3,1.0638297872340425
winners,campridge,2022,inside,wp,8.194871608711543,20.24133287351751,94,1,3,1.0638297872340425
winners,campridge,2022,inside,rp,4.097435804355766,10.120666436758743,94,1,3,1.0638297872340425
winners,circle,2020,inside,bta,208.62777303844732,515.3105994049649,24,6,1,25
winners,circle,2020,inside,eh,160.48290233726738,396.3927687730505,24,3,1,12.5
winners,circle,2020,inside,pc,128.3863218698135,317.1142150184394,24,4,1,16.666666666666664
winners,circle,2020,inside,ro,48.144870701180295,118.91783063191534,24,2,1,8.333333333333332
winners,circle,2020,inside,sm,48.14487070118,118.91783063191461,24,1,1,4.166666666666666
winners,circle,2020,inside,ab,32.0965804674535,79.27855375461016,24,2,1,8.333333333333332
winners,circle,2020,inside,rm,32.0965804674535,79.27855375461016,24,2,1,8.333333333333332
winners,circle,2020,inside,ba,16.04829023372675,39.63927687730508,24,1,1,4.166666666666666
winners,circle,2020,inside,svb,16.04829023372675,39.63927687730508,24,1,1,4.166666666666666
winners,circle,2021,inside,pc,304.9175144408083,753.1462606687966,24,8,2,33.33333333333333
winners,circle,2021,inside,sb,256.7726437396277,634.2284300368805,24,6,2,25
winners,circle,2021,inside,bta,224.67606327217476,554.9498762822717,24,6,2,25
winners,circle,2021,inside,eh,192.57948280472118,475.67132252766135,24,5,2,20.833333333333336
winners,circle,2021,inside,ro,144.4346121035405,356.75349189574507,24,7,2,29.166666666666668
winners,circle,2021,inside,ab,64.193160934907,158.55710750922032,24,4,2,16.666666666666664
winners,circle,2021,inside,ba,48.14487070118,118.91783063191461,24,1,2,4.166666666666666
winners,circle,2021,inside,sm,32.09658046745354,79.27855375461026,24,1,2,4.166666666666666
winners,circle,2021,inside,ah,32.0965804674535,79.27855375461016,24,2,2,8.333333333333332
winners,circle,2021,inside,rm,16.04829023372675,39.63927687730508,24,1,2,4.166666666666666
winners,circle,2021,inside,svb,16.04829023372675,39.63927687730508,24,1,2,4.166666666666666
winners,circle,2022,inside,pc,433.3038363106224,1070.2604756872374,24,12,3,50
winners,circle,2022,inside,bta,272.8209339733548,673.8677069141864,24,5,3,20.833333333333336
winners,circle,2022,inside,sb,224.67606327217442,554.9498762822709,24,6,3,25
winners,circle,2022,inside,eh,176.53119257099445,436.0320456503564,24,4,3,16.666666666666664
winners,circle,2022,inside,ro,128.38632186981414,317.1142150184409,24,5,3,20.833333333333336
winners,circle,2022,inside,ab,80.24145116863379,198.1963843865255,24,4,3,16.666666666666664
winners,circle,2022,inside,ah,64.19316093490708,158.55710750922051,24,2,3,8.333333333333332
winners,circle,2022,inside,ba,32.09658046745354,79.27855375461026,24,1,3,4.166666666666666
winners,circle,2022,inside,rm,16.04829023372675,39.63927687730508,24,1,3,4.166666666666666
winners,circle,2022,inside,sm,16.04829023372675,39.63927687730508,24,1,3,4.166666666666666
winners,circle,2022,inside,svb,16.04829023372675,39.63927687730508,24,1,3,4.166666666666666
winners,circle,2022,inside,wa,16.04829023372675,39.63927687730508,24,1,3,4.166666666666666
winners,decker,2020,outside,sb,128.38632186981414,317.1142150184409,15,3,1,20
winners,decker,2020,outside,eh,102.7090574958508,253.6913720147515,15,2,1,13.333333333333334
winners,decker,2020,outside,ah,77.03179312188847,190.26852901106452,15,2,1,13.333333333333334
winners,decker,2020,outside,ab,25.677264373962803,63.42284300368813,15,1,1,6.666666666666667
winners,decker,2020,inside,ab,301.8813514236168,745.6469380163336,37,11,1,29.72972972972973
winners,decker,2020,inside,stm,72.8679124125972,179.98374365911513,37,3,1,8.108108108108109
winners,decker,2020,inside,sb,62.45821063936903,154.2717802792415,37,3,1,8.108108108108109
winners,decker,2020,inside,eh,62.458210639369,154.27178027924145,37,5,1,13.513513513513514
winners,decker,2020,inside,bc,41.6388070929127,102.84785351949438,37,2,1,5.405405405405405
winners,decker,2020,inside,sm,41.6388070929127,102.84785351949438,37,1,1,2.7027027027027026
winners,decker,2020,inside,wa,31.229105319684514,77.13589013962076,37,2,1,5.405405405405405
winners,decker,2020,inside,ba,31.229105319684322,77.13589013962029,37,1,1,2.7027027027027026
winners,decker,2020,inside,bta,31.229105319684322,77.13589013962029,37,1,1,2.7027027027027026
winners,decker,2020,inside,ah,20.819403546456325,51.42392675974713,37,2,1,5.405405405405405
winners,decker,2020,inside,pc,20.819403546456325,51.42392675974713,37,2,1,5.405405405405405
winners,decker,2020,inside,ro,20.819403546456325,51.42392675974713,37,2,1,5.405405405405405
winners,decker,2021,outside,eh,308.12717248755297,761.074116044256,15,4,2,26.666666666666668
winners,decker,2021,outside,ah,102.70905749585127,253.69137201475266,15,3,2,20
winners,decker,2021,outside,ab,51.354528747925606,126.84568600737626,15,2,2,13.333333333333334
winners,decker,2021,outside,sb,51.354528747925606,126.84568600737626,15,2,2,13.333333333333334
winners,decker,2021,inside,ab,364.3395620629857,899.9187182955748,37,14,2,37.83783783783784
winners,decker,2021,inside,stm,114.5067195055099,282.8315971786095,37,3,2,8.108108108108109
winners,decker,2021,inside,rm,104.09701773228176,257.11963379873595,37,3,2,8.108108108108109
winners,decker,2021,inside,sb,83.27761418582534,205.69570703898864,37,6,2,16.216216216216218
winners,decker,2021,inside,bta,72.86791241259698,179.98374365911457,37,5,2,13.513513513513514
winners,decker,2021,inside,eh,62.458210639369,154.27178027924145,37,4,2,10.81081081081081
winners,decker,2021,inside,ah,41.63880709291265,102.84785351949427,37,4,2,10.81081081081081
winners,decker,2021,inside,ba,20.81940354645635,51.42392675974719,37,1,2,2.7027027027027026
winners,decker,2021,inside,bc,20.81940354645635,51.42392675974719,37,1,2,2.7027027027027026
winners,decker,2021,inside,cc,20.81940354645635,51.42392675974719,37,1,2,2.7027027027027026
winners,decker,2021,inside,svb,20.819403546456325,51.42392675974713,37,2,2,5.405405405405405
winners,decker,2021,inside,wa,20.819403546456325,51.42392675974713,37,2,2,5.405405405405405
winners,decker,2021,inside,ro,10.409701773228162,25.711963379873566,37,1,2,2.7027027027027026
winners,decker,2021,inside,sm,10.409701773228162,25.711963379873566,37,1,2,2.7027027027027026
winners,decker,2022,outside,ab,308.1271724875529,761.0741160442558,15,5,3,33.33333333333333
winners,decker,2022,outside,eh,231.09537936566494,570.8055870331924,15,4,3,26.666666666666668
winners,decker,2022,outside,sb,154.06358624377646,380.5370580221279,15,3,3,20
winners,decker,2022,outside,ah,102.70905749585121,253.69137201475252,15,4,3,26.666666666666668
winners,decker,2022,outside,svb,77.031793121888,190.26852901106338,15,1,3,6.666666666666667
winners,decker,2022,outside,pc,25.677264373962803,63.42284300368813,15,1,3,6.666666666666667
winners,decker,2022,outside,rm,25.677264373962803,63.42284300368813,15,1,3,6.666666666666667
winners,decker,2022,outside,ro,25.677264373962803,63.42284300368813,15,1,3,6.666666666666667
winners,decker,2022,outside,wh,25.677264373962803,63.42284300368813,15,1,3,6.666666666666667
winners,decker,2022,outside,wp,25.677264373962803,63.42284300368813,15,1,3,6.666666666666667
winners,decker,2022,inside,ab,333.110456743301,822.7828281559536,37,12,3,32.432432432432435
winners,decker,2022,inside,sb,156.14552659842255,385.6794506981037,37,10,3,27.027027027027028
winners,decker,2022,inside,eh,93.6873159590535,231.4076704188622,37,7,3,18.91891891891892
winners,decker,2022,inside,stm,83.2776141858254,205.69570703898876,37,3,3,8.108108108108109
winners,decker,2022,inside,rm,72.867912412597,179.98374365911462,37,4,3,10.81081081081081
winners,decker,2022,inside,ah,62.458210639369,154.27178027924145,37,5,3,13.513513513513514
winners,decker,2022,inside,bta,62.45821063936881,154.271780279241,37,4,3,10.81081081081081
winners,decker,2022,inside,sm,52.048508866140864,128.55981689936795,37,2,3,5.405405405405405
winners,decker,2022,inside,ba,41.63880709291267,102.84785351949432,37,3,3,8.108108108108109
winners,decker,2022,inside,bc,41.63880709291267,102.84785351949432,37,3,3,8.108108108108109
winners,decker,2022,inside,wa,31.229105319684486,77.1358901396207,37,3,3,8.108108108108109
