point,count,spp,origin,harvest,location,year,wall,cut,season,numb_yrs_grow,type,size,stems.per.acre
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,7089.85093744189
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,1012.8358482059843
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,7089.85093744189
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,1012.8358482059843
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,8102.686785647875
349,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,1012.8358482059843
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,0
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,1012.8358482059843
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,1012.8358482059843
349,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,385.1589656094425
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
350,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,1012.8358482059843
