harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,type,size,stems.per.acre
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_short,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_med,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_tall,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_sapl,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_short,1012.8358482059843
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_med,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_tall,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_sapl,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,suppressed,0
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exposed,1012.8358482059843
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,total,1012.8358482059843
campridge,interior,79,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,winners,385.1589656094425
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_short,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_med,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_tall,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,sup_sapl,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_short,2025.6716964119687
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_med,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_tall,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exp_sapl,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,suppressed,0
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,exposed,2025.6716964119687
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,total,2025.6716964119687
campridge,interior,81,1,2020,sb,singl/unk,2019,2020,1,protected,commercial,winners,770.317931218885
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,commercial,sup_short,0
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,commercial,sup_med,0
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,commercial,sup_tall,0
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,commercial,sup_sapl,0
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,commercial,exp_short,1012.8358482059843
campridge,interior,81,1,2020,ro,singl/unk,2019,2020,1,protected,commercial,exp_med,0
