harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,type,size,stems.per.acre
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_short,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_med,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_tall,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_med,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_tall,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,suppressed,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,exposed,1012.8358482059843
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,total,1012.8358482059843
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,ro,commercial,winners,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_short,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_med,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_tall,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_sapl,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_med,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_tall,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_sapl,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,suppressed,0
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,exposed,1012.8358482059843
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,total,1012.8358482059843
recknagel,protected,perimeter,135,1,2021,2019,2021,2,singl/unk,rm,commercial,winners,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_short,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_med,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_tall,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,sup_sapl,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_short,4051.3433928239374
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_med,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_tall,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,exp_sapl,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,suppressed,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,exposed,4051.3433928239374
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,total,4051.3433928239374
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,sb,commercial,winners,385.1589656094425
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_short,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_med,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_tall,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_sapl,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_short,2025.6716964119687
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_med,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_tall,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_sapl,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,suppressed,0
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,exposed,2025.6716964119687
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,total,2025.6716964119687
recknagel,protected,perimeter,136,1,2021,2019,2021,2,singl/unk,rm,commercial,winners,770.317931218885
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_short,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_med,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_tall,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_short,11141.194330265827
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_med,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_tall,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,suppressed,0
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,exposed,11141.194330265827
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,total,11141.194330265827
recknagel,protected,perimeter,137,1,2021,2019,2021,2,singl/unk,ro,commercial,winners,1155.4768968283274
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_short,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,sup_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_short,2025.6716964119687
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,exp_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,suppressed,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,exposed,2025.6716964119687
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,total,2025.6716964119687
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,ro,commercial,winners,385.1589656094425
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_short,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,sup_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_short,1012.8358482059843
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_med,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_tall,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,exp_sapl,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,suppressed,0
recknagel,protected,perimeter,138,1,2021,2019,2021,2,singl/unk,rm,commercial,exposed,1012.8358482059843
