harvest,location,numb_yrs_grow,season,type,size,stem_p_ac,spp_stocking_avg,spp_stocking_max
boot,interior,2,2019,commercial,winners,403.49986873370165,39.285714285714285,61.904761904761905
boot,interior,2,2019,diversity,winners,55.02270937277749,4.761904761904762,4.761904761904762
boot,interior,2,2019,interfering,winners,440.18167498222,NA,NA
boot,interior,3,2020,commercial,winners,935.3860593372175,36.904761904761905,61.904761904761905
boot,interior,3,2020,diversity,winners,18.340903124259164,4.761904761904762,4.761904761904762
boot,interior,3,2020,interfering,winners,275.1135468638875,NA,NA
boot,interior,3,2020,other,winners,0,NA,NA
boot,interior,4,2021,commercial,winners,806.9997374674033,NA,NA
boot,interior,4,2021,diversity,winners,36.68180624851833,14.285714285714285,14.285714285714285
boot,interior,4,2021,interfering,winners,440.18167498222,35.71428571428571,47.61904761904761
boot,interior,4,2021,other,winners,0,NA,NA
boot,perimeter,2,2019,commercial,winners,192.57948280472124,NA,NA
boot,perimeter,2,2019,diversity,winners,48.14487070118031,NA,NA
boot,perimeter,2,2019,interfering,winners,722.1730605177047,NA,NA
boot,perimeter,2,2019,other,winners,0,NA,NA
boot,perimeter,3,2020,commercial,winners,481.4487070118031,NA,NA
boot,perimeter,3,2020,diversity,winners,96.28974140236062,NA,NA
boot,perimeter,3,2020,interfering,winners,866.6076726212456,NA,NA
boot,perimeter,3,2020,other,winners,0,NA,NA
boot,perimeter,4,2021,commercial,winners,529.5935777129835,NA,NA
boot,perimeter,4,2021,diversity,winners,72.21730605177046,NA,NA
boot,perimeter,4,2021,interfering,winners,890.6801079718357,31.25,75
campridge,interior,1,2020,commercial,winners,329.4733320273544,NA,NA
campridge,interior,1,2020,diversity,winners,417.6422518656605,NA,NA
campridge,interior,1,2020,interfering,winners,473.3278854477486,NA,NA
campridge,interior,1,2020,other,winners,37.123755721392044,NA,NA
campridge,interior,2,2021,commercial,winners,413.0017824004865,NA,NA
campridge,interior,2,2021,diversity,winners,501.1707022387926,NA,NA
campridge,interior,2,2021,interfering,winners,538.2944579601847,NA,NA
campridge,interior,2,2021,other,winners,0,NA,NA
campridge,interior,NA,NA,other,winners,0,NA,NA
campridge,perimeter,1,2020,commercial,winners,455.187868447523,36.36363636363636,54.54545454545454
campridge,perimeter,1,2020,diversity,winners,525.2167712856034,NA,NA
campridge,perimeter,1,2020,interfering,winners,105.04335425712068,18.18181818181818,27.27272727272727
campridge,perimeter,1,2020,other,winners,35.01445141904023,NA,NA
campridge,perimeter,2,2021,commercial,winners,350.1445141904022,NA,NA
campridge,perimeter,2,2021,diversity,winners,875.3612854760056,36.36363636363637,72.72727272727273
campridge,perimeter,2,2021,interfering,winners,35.01445141904023,NA,NA
campridge,perimeter,2,2021,other,winners,0,NA,NA
circle,interior,1,2020,commercial,winners,144.43461210354093,NA,NA
circle,interior,1,2020,diversity,winners,224.67606327217476,18.75,25
circle,interior,1,2020,interfering,winners,320.9658046745354,33.33333333333333,54.166666666666664
circle,interior,1,2020,other,winners,0,NA,NA
circle,interior,2,2021,commercial,winners,497.4969972455299,NA,NA
circle,interior,2,2021,diversity,winners,240.72435350590155,NA,NA
circle,interior,2,2021,interfering,winners,561.6901581804369,52.77777777777778,83.33333333333334
circle,interior,2,2021,other,winners,32.09658046745354,12.5,12.5
circle,interior,NA,NA,other,winners,0,NA,NA
decker,control,1,2020,commercial,winners,128.38632186981417,20,20
decker,control,1,2020,interfering,winners,128.38632186981417,10,13.333333333333334
decker,control,1,2020,other,winners,77.0317931218885,NA,NA
decker,control,2,2021,commercial,winners,51.35452874792566,20,20
decker,control,2,2021,interfering,winners,359.48170123547965,20,26.666666666666668
decker,control,2,2021,other,winners,102.70905749585133,NA,NA
decker,interior,1,2020,commercial,winners,229.01343901101984,NA,NA
decker,interior,1,2020,diversity,winners,31.229105319684525,8.108108108108109,8.108108108108109
decker,interior,1,2020,interfering,winners,458.0268780220397,16.216216216216218,35.13513513513514
