harvest,season,date,location,point,disturb,slash,fern,herb,low_cov,low_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,seedling-numb
boot,2019,2020.06.16,interior,349,l,p,a,m,h,rubu,p,loni,p,761,l,318,a,,10,,,2,,,,20,100
boot,2019,2020.06.16,interior,350,m,p,m,l,h,rubu,a,,p,761,p,531,a,,10,,1,,,,,10,50
boot,2019,2020.06.17,interior,351,a,m,a,p,m,rubu,a,,m,531,m,531,a,,10,,1,2,,,,30,100
boot,2019,2020.06.22,interior,352,m,m,l,p,h,rubu,a,,p,372,l,318,a,,10,,,3,,,,30,100
boot,2019,2020.06.17,interior,353,p,m,m,m,m,rubu,p,rosa,p,951,m,316,p,viti,10,,,5,,1,,60,25
boot,2019,2020.06.22,interior,354,p,h,l,p,h,rubu,a,,p,samb,p,316,p,viti,10,,,3,,,,30,10
boot,2019,2020.06.16,interior,355,p,p,a,p,h,rubu,a,,m,761,a,,a,,10,,,,,,,0,100
boot,2019,2020.06.19,interior,356,l,h,p,p,h,rubu,a,,p,761,m,316,a,,10,,,4,,,,40,10
boot,2019,2020.06.22,interior,357,a,h,h,p,m,rubu,a,,l,761,a,,p,viti,10,,,3,,,,30,0
boot,2019,2020.06.19,interior,358,l,m,p,p,h,samb,a,,p,761,p,316,p,viti,10,,,2,,,,20,10
boot,2019,2020.06.22,interior,359,p,m,p,p,h,rubu,a,,m,761,l,316,a,,10,,,4,,,,40,50
boot,2019,2020.06.22,interior,360,p,m,p,l,m,rubu,a,,m,761,m,318,a,,10,1,1,4,,,,60,50
boot,2019,2020.06.12,interior,361,p,p,m,h,l,samb,p,loni,p,761,m,316,a,,10,,,5,,,,50,10
boot,2019,2020.06.15,interior,362,p,l,a,p,h,rubu,a,,l,761,l,316,l,viti,10,,,2,,,,20,50
boot,2019,2020.06.15,interior,363,a,m,l,m,h,samb,a,,h,samb,l,316,p,viti,10,,,1,,1,,20,10
boot,2019,2020.06.22,interior,364,p,m,p,l,h,rubu,l,rosa,m,761,m,316,a,,10,2,,2,,,,40,50
boot,2019,2020.06.22,interior,365,p,l,p,p,h,rubu,a,,m,761,m,318,a,,10,,,4,,,,40,75
boot,2019,2020.06.12,interior,366,a,m,a,p,h,rubu,a,,p,761,m,316,a,,10,1,,4,,,,50,1
boot,2019,2020.06.12,interior,367,a,m,a,l,h,samb,p,,m,951,m,951,a,,10,,,3,,2,,50,10
boot,2019,2020.06.12,interior,368,a,m,a,l,h,samb,a,,p,761,m,316,p,viti,10,,,6,,,,60,75
boot,2019,2020.06.15,interior,369,a,m,a,a,m,rubu,a,,p,381,l,833,a,,10,3,,,,,,30,100
boot,2019,2020.06.17,perimeter,950,a,m,a,p,m,rubu,a,,p,761,m,316,a,,10,,,2,,,,20,100
boot,2019,2020.06.17,perimeter,951,m,l,p,p,h,rubu,a,,m,761,p,316,p,viti,10,,,1,,,,10,25
boot,2019,2020.06.19,perimeter,952,p,m,l,p,h,rubu,a,,p,951,p,316,a,,10,,,2,,,,20,25
boot,2019,2020.06.19,perimeter,953,a,l,p,p,m,rubu,a,,p,316,m,316,p,viti,10,,1,3,1,,,50,25
boot,2019,2020.06.12,perimeter,954,p,l,p,m,h,samb,a,,m,531,m,316,p,viti,10,,,3,,,,30,50
boot,2019,2020.06.12,perimeter,955,l,p,m,m,h,samb,a,,p,761,p,316,a,,10,,,2,,,,20,10
boot,2019,2020.06.12,perimeter,956,p,l,m,l,h,rubu,p,loni,a,,l,316,a,,10,1,,1,,,,20,10
boot,2019,2020.06.12,perimeter,957,a,m,a,l,h,rubu,a,,l,761,l,833,p,viti,10,4,,2,,,,60,1
boot,2019,2020.06.15,perimeter,958,a,l,p,m,h,rubu,a,,p,761,m,318,a,,10,1,,3,,,,40,50
boot,2019,2020.06.15,perimeter,959,a,p,p,p,h,rubu,a,,l,761,m,833,a,,10,3,,,,1,,40,75
boot,2019,2020.06.22,perimeter,960,a,l,p,m,h,rubu,a,,m,761,p,318,p,viti,10,,,1,,,,10,25
boot,2019,2020.06.22,perimeter,961,a,m,p,l,h,rubu,p,rosa,l,951,l,318,a,,10,1,,1,,,,20,25
boot,2019,2020.06.16,perimeter,962,m,l,p,m,h,rubu,a,,l,951,a,,a,,10,,,,,,,0,10
boot,2019,2020.06.16,perimeter,963,p,m,p,h,h,rubu,a,,l,761,p,531,a,,10,,1,,,,,10,50
boot,2019,2020.06.16,perimeter,964,m,p,l,m,h,rubu,a,,p,761,a,,a,,10,,,,,,,0,100
boot,2019,2020.06.16,perimeter,965,p,p,l,m,m,rubu,p,loni,p,315,m,833,a,,10,2,,1,,,,30,100
cgl,2019,2020.07.14,control,729,l,l,p,m,m,rubu,a,,l,746,l,833,a,,10,3,,,,,,30,1
cgl,2019,2020.07.14,control,730,l,m,m,m,l,rubu,a,,l,316,m,833,a,,10,2,,,,,,20,1
cgl,2019,2020.07.14,control,731,p,m,a,m,h,rubu,a,,p,316,l,833,p,conv,10,2,,,,,,20,1
cgl,2019,2020.07.14,control,732,l,h,p,p,m,rubu,a,,l,316,p,833,a,,10,1,,,,,,10,0
cgl,2019,2020.07.14,control,733,a,h,l,l,m,rubu,a,,l,316,l,833,a,,10,2,,,,,,20,1
cgl,2019,2020.07.14,control,734,a,l,l,m,m,rubu,a,,p,355,m,833,a,,10,4,,,,,,40,1
cgl,2019,2020.07.14,control,735,p,l,p,m,l,rubu,a,,l,746,m,833,p,conv,10,3,,,,,,30,1
cgl,2019,2020.07.13,control,736,l,l,p,h,m,rubu,a,,l,316,l,833,a,,10,2,,,,,,20,0
cgl,2019,2020.07.13,control,737,a,m,p,h,m,rubu,a,,m,316,m,833,a,,10,2,,,,,,20,1
