harvest,season,date,location,point,disturb,slash,fern,herb,native_cov,native_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,comm_sdl,comments
boot,2021,2022.06.19,p,954,a,p,p,h,h,915,a,NA,m,531,m,316,p,viti,10,0,0,3,0,0,0,2,NA
boot,2021,2022.06.19,i,361,a,a,m,h,l,915,a,NA,l,531,m,318,a,NA,10,0,0,4,0,0,0,1,NA
boot,2021,2022.06.19,p,955,a,l,m,h,l,915,a,NA,m,761,p,318,p,viti,10,0,0,1,0,0,0,NA,NA
boot,2021,2022.06.19,i,366,a,m,p,l,h,915,a,NA,l,761,l,316,p,viti,10,1,0,4,0,0,0,NA,NA
boot,2021,2022.06.19,p,956,l,l,h,l,h,915,a,NA,p,372,p,316,a,NA,10,1,0,1,0,0,0,1,NA
boot,2021,2022.06.19,p,957,a,m,a,l,h,915,a,NA,m,761,p,833,a,NA,10,4,0,0,0,0,0,1,NA
boot,2021,2022.06.19,i,367,a,m,p,m,m,915,l,905,m,951,m,316,l,viti,10,0,0,5,0,2,0,1,NA
boot,2021,2022.06.19,i,368,a,m,a,h,h,915,a,NA,m,316,l,316,l,viti,10,0,0,6,0,0,0,3,NA
boot,2021,2022.06.19,p,958,a,l,p,h,h,915,a,NA,m,761,l,316,p,viti,10,1,0,3,0,0,0,2,NA
boot,2021,2022.06.19,p,959,a,p,a,m,h,915,a,NA,m,761,m,833,p,viti,10,3,0,0,0,1,0,4,NA
boot,2021,2022.06.19,i,369,a,m,a,l,h,915,a,NA,m,372,l,833,p,viti,10,3,0,0,0,0,0,4,NA
boot,2021,2022.06.19,i,365,a,p,p,m,h,915,a,NA,h,951,m,318,a,NA,10,0,0,4,0,0,0,3,NA
boot,2021,2022.06.19,p,960,a,p,p,l,h,915,a,NA,h,761,p,318,p,viti,10,0,0,1,0,0,0,2,NA
boot,2021,2022.06.21,p,962,p,p,p,m,h,915,a,NA,h,761,a,NA,p,viti,10,0,0,0,0,0,0,3,NA
boot,2021,2022.06.21,i,357,a,h,m,p,h,915,a,NA,m,761,a,NA,p,viti,10,0,0,2,0,0,0,1,NA
boot,2021,2022.06.21,p,961,a,l,p,h,h,915,p,905,l,761,l,318,a,NA,10,0,0,1,0,1,0,2,NA
boot,2021,2022.06.21,i,360,a,m,a,m,h,915,a,NA,h,761,m,318,a,NA,10,1,1,4,0,0,0,4,NA
boot,2021,2022.06.21,i,359,a,p,a,m,h,915,a,NA,h,761,p,316,l,gaap,10,0,0,4,0,0,0,4,NA
boot,2021,2022.06.21,i,364,a,l,a,m,h,915,l,905,h,761,l,318,a,NA,10,2,0,3,0,0,0,3,NA
boot,2021,2022.06.21,i,363,a,m,l,h,m,915,a,NA,l,951,l,316,l,viti,10,0,0,4,0,0,0,1,NA
boot,2021,2022.06.21,i,362,a,m,l,l,h,915,a,NA,m,761,p,316,m,viti,10,0,0,2,0,0,0,3,NA
boot,2021,2022.06.22,p,950,a,l,p,l,m,915,a,NA,m,531,m,316,a,NA,10,0,0,2,0,0,0,3,NA
