harvest,season,date,point,disturb,slash,fern,herb,low_cov,low_spp,inv_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,comm_sdl,spp,origin,native_cov,native_spp,invasive_cov,location,TRMT,first,year,numb_yrs_grow
gas_line,2019,2020.07.14,729,l,l,p,m,m,rubu,a,NA,l,746,l,833,a,NA,10,3,NA,NA,NA,NA,NA,30,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,729,m,m,p,h,NA,NA,NA,NA,p,746,l,833,p,999,10,3,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,729,m,m,p,h,NA,NA,NA,NA,p,746,l,833,p,999,10,3,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,729,NA,NA,l,h,NA,NA,NA,NA,l,372,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,l,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,730,l,m,m,m,l,rubu,a,NA,l,316,m,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,730,l,m,m,m,NA,NA,NA,NA,p,316,m,833,a,NA,10,2,0,0,0,0,1,NA,1,004,s,l,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,730,l,m,m,m,NA,NA,NA,NA,p,316,m,833,a,NA,10,2,0,0,0,0,1,NA,1,004,s,l,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,730,NA,NA,m,h,NA,NA,NA,NA,l,531,m,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,l,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,731,p,m,a,m,h,rubu,a,NA,p,316,l,833,p,conv,10,2,NA,NA,NA,NA,NA,20,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,731,p,m,p,l,NA,NA,NA,NA,p,316,l,833,a,NA,10,2,0,0,0,0,0,NA,1,004,s,h,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,731,p,m,p,l,NA,NA,NA,NA,p,316,l,833,a,NA,10,2,0,0,0,0,0,NA,1,004,s,h,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,731,NA,NA,p,h,NA,NA,NA,NA,h,372,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,732,l,h,p,p,m,rubu,a,NA,l,316,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,0,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,732,l,h,p,p,NA,NA,NA,NA,m,316,p,833,a,NA,10,1,0,0,0,0,0,NA,1,004,s,h,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,732,l,h,p,p,NA,NA,NA,NA,m,316,p,833,a,NA,10,1,0,0,0,0,0,NA,1,004,s,h,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,732,NA,NA,l,l,NA,NA,NA,NA,l,316,p,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,733,a,h,l,l,m,rubu,a,NA,l,316,l,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,733,a,m,l,m,NA,NA,NA,NA,m,316,l,833,a,NA,10,2,0,0,0,0,0,NA,2,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,733,a,m,l,m,NA,NA,NA,NA,m,316,l,833,a,NA,10,2,0,0,0,0,0,NA,2,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,733,NA,NA,m,m,NA,NA,NA,NA,h,316,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,h,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,734,a,l,l,m,m,rubu,a,NA,p,355,m,833,a,NA,10,4,NA,NA,NA,NA,NA,40,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,734,a,l,l,h,NA,NA,NA,NA,p,355,h,833,a,NA,10,4,0,0,0,0,0,NA,2,004,s,l,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,734,a,l,l,h,NA,NA,NA,NA,p,355,h,833,a,NA,10,4,0,0,0,0,0,NA,2,004,s,l,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,734,NA,NA,m,h,NA,NA,NA,NA,l,531,m,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,2,004,s,l,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,735,p,l,p,m,l,rubu,a,NA,l,746,m,833,p,conv,10,3,NA,NA,NA,NA,NA,30,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,735,p,l,p,m,NA,NA,NA,NA,m,746,m,833,p,conv,10,3,0,0,0,0,0,NA,1,004,s,l,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,735,p,l,p,m,NA,NA,NA,NA,m,746,m,833,p,conv,10,3,0,0,0,0,0,NA,1,004,s,l,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,735,NA,NA,p,h,NA,NA,NA,NA,l,746,l,833,p,conv,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,l,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.13,736,l,l,p,h,m,rubu,a,NA,l,316,l,833,a,NA,10,2,NA,NA,NA,NA,NA,20,0,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,736,m,l,p,h,NA,NA,NA,NA,l,316,p,833,a,NA,10,2,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,736,m,l,p,h,NA,NA,NA,NA,l,316,p,833,a,NA,10,2,0,0,0,0,0,NA,1,004,s,m,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,736,NA,NA,l,h,NA,NA,NA,NA,m,372,l,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,0,004,s,h,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.13,737,a,m,p,h,m,rubu,a,NA,m,316,m,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.27,737,a,m,a,h,NA,NA,NA,NA,m,316,m,833,a,NA,10,3,0,0,0,0,0,NA,1,004,s,l,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.27,737,a,m,a,h,NA,NA,NA,NA,m,316,m,833,a,NA,10,3,0,0,0,0,0,NA,1,004,s,l,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,737,NA,NA,p,h,NA,NA,NA,NA,m,372,m,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,m,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.14,738,l,m,p,m,l,rubu,a,NA,l,316,m,833,a,NA,10,4,NA,NA,NA,NA,1,50,10,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,738,p,m,a,m,NA,NA,NA,NA,l,833,h,833,a,NA,10,4,0,0,0,0,1,NA,2,004,s,l,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,738,p,m,a,m,NA,NA,NA,NA,l,833,h,833,a,NA,10,4,0,0,0,0,1,NA,2,004,s,l,rubu,a,control,outside,2017,2021,5
gas_line,2022,2022.11.08,738,NA,NA,l,h,NA,NA,NA,NA,m,372,h,833,a,NA,10,NA,NA,NA,NA,NA,NA,NA,1,004,s,l,915,a,control,outside,2017,2022,6
gas_line,2019,2020.07.13,739,l,m,l,l,m,rubu,a,NA,m,315,l,833,NA,NA,10,5,NA,NA,NA,NA,NA,50,1,004,s,NA,NA,NA,control,outside,2017,2019,3
gas_line,2020,2021.05.25,739,l,l,m,l,NA,NA,NA,NA,m,315,l,833,a,NA,10,5,0,0,0,0,0,NA,2,004,s,m,rubu,a,control,outside,2017,2020,4
gas_line,2021,2021.05.25,739,l,l,m,l,NA,NA,NA,NA,m,315,l,833,a,NA,10,5,0,0,0,0,0,NA,2,004,s,m,rubu,a,control,outside,2017,2021,5
