harvest,location,point,spp,origin,sup.seed01A,sup.seed02A,sup.seed03A,sup.saplA,exp.seed01A,exp.seed02A,exp.seed03A,exp.saplA,suppressed,exposed,top4A
boot,interior,356,001,u,0,0,0,0,0,0,0,0,0,0,0
boot,interior,363,001,u,0,0,0,0,0,0,0,0,0,0,0
boot,perimeter,950,001,u,0,0,0,0,0,0,0,0,0,0,0
boot,perimeter,961,001,u,0,0,0,0,0,0,0,0,0,0,0
cwb,control,398,001,u,0,0,0,0,0,0,0,0,0,0,0
cwb,control,701,001,u,0,0,0,0,0,0,0,0,0,0,0
cwb,control,703,001,u,0,0,0,0,0,0,0,0,0,0,0
cwb,control,709,001,u,0,0,0,0,0,0,0,0,0,0,0
cwb,control,946,001,u,0,0,0,0,0,0,0,0,0,0,0
wedge,perimeter,971,001,u,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,834,90,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,385.1589656094425
gl,interior,836,90,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,837,90,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,interior,340,129,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,810,261,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,808,315,r,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,interior,875,315,r,0,0,0,0,0,0,0,0,0,0,0
wedge,interior,378,315,r,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,770.317931218885
boot,interior,352,315,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,perimeter,965,315,s,0,0,0,0,0,0,0,0,0,0,770.317931218885
cgl,control,739,315,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
cwb,control,393,315,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,770.317931218885
cwb,control,395,315,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
cwb,control,710,315,s,0,0,0,0,0,0,0,0,0,0,0
cwb,control,948,315,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,808,315,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,829,315,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,840,315,s,0,0,0,0,0,0,0,0,0,0,1155.4768968283274
gl,interior,842,315,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,844,315,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,interior,864,315,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,875,315,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,878,315,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,346,315,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,886,315,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,perimeter,965,315,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
cgl,control,734,315,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
cgl,control,739,315,t,0,0,0,0,0,0,0,0,0,0,1155.4768968283274
crp,control,767,315,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,878,315,t,0,0,0,0,0,0,0,0,0,0,0
wedge,interior,378,315,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
gl,perimeter,827,316,r,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
gl,perimeter,831,316,r,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,770.317931218885
boot,interior,350,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,interior,352,316,s,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,6504.938235102936,6504.938235102936,0
boot,interior,355,316,s,14179.70187488378,5392.225518532195,5392.225518532195,5392.225518532195,14179.70187488378,5392.225518532195,5392.225518532195,5392.225518532195,30356.378430480367,30356.378430480367,0
boot,interior,358,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,interior,364,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,interior,369,316,s,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,0
cgl,control,730,316,s,0,0,0,0,0,0,0,0,0,0,0
cgl,control,737,316,s,0,0,0,0,0,0,0,0,0,0,0
cgl,control,738,316,s,0,0,0,0,0,0,0,0,0,0,0
cgl,control,744,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
crp,control,761,316,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,762,316,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,768,316,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
crp,control,769,316,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,770,316,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
crp,control,771,316,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
crp,control,775,316,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
cwb,control,396,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,385.1589656094425
cwb,control,399,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
cwb,control,948,316,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
gl,perimeter,807,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,808,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,810,316,s,5064.179241029922,1925.7948280472124,1925.7948280472124,1925.7948280472124,5064.179241029922,1925.7948280472124,1925.7948280472124,1925.7948280472124,10841.563725171558,10841.563725171558,0
gl,perimeter,817,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,826,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,827,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,830,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,830,316,s,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,385.1589656094425
gl,perimeter,831,316,s,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,6504.938235102936,6504.938235102936,385.1589656094425
gl,perimeter,832,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,834,316,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,perimeter,835,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,847,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,interior,850,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,864,316,s,5064.179241029922,1925.7948280472124,1925.7948280472124,1925.7948280472124,5064.179241029922,1925.7948280472124,1925.7948280472124,1925.7948280472124,10841.563725171558,10841.563725171558,0
gl,interior,866,316,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,878,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,interior,336,316,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
rp,interior,337,316,s,0,0,0,0,0,0,0,0,0,0,1155.4768968283274
rp,interior,338,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,339,316,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
rp,interior,340,316,s,12154.030178471812,4621.90758731331,4621.90758731331,4621.90758731331,12154.030178471812,4621.90758731331,4621.90758731331,4621.90758731331,26019.752940411745,26019.752940411745,0
rp,interior,341,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,344,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,interior,345,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,346,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,347,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,348,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,880,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,perimeter,883,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,885,316,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
rp,perimeter,886,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,perimeter,887,316,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
rp,perimeter,890,316,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,891,316,s,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,0
rp,perimeter,892,316,s,0,0,0,0,0,0,0,0,0,0,0
wedge,interior,375,316,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
wedge,perimeter,967,316,s,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,0
boot,interior,355,316,t,0,0,0,0,0,0,0,0,0,0,0
boot,interior,368,316,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
boot,perimeter,953,316,t,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,1155.4768968283274
cgl,control,730,316,t,0,0,0,0,0,0,0,0,0,0,1540.63586243777
cgl,control,733,316,t,0,0,0,0,0,0,0,0,0,0,0
cgl,control,735,316,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
cgl,control,742,316,t,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,385.1589656094425
crp,control,748,316,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,762,316,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,767,316,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,774,316,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
cwb,control,389,316,t,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,1540.63586243777
gl,perimeter,826,316,t,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,385.1589656094425
gl,perimeter,827,316,t,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,829,316,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,perimeter,831,316,t,7089.85093744189,2696.1127592660973,2696.1127592660973,2696.1127592660973,7089.85093744189,2696.1127592660973,2696.1127592660973,2696.1127592660973,15178.189215240183,15178.189215240183,0
gl,interior,838,316,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,839,316,t,0,0,0,0,0,0,0,0,0,0,0
gl,interior,847,316,t,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,interior,338,316,t,0,0,0,0,0,0,0,0,0,0,1540.63586243777
rp,interior,342,316,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
rp,interior,344,316,t,0,0,0,0,0,0,0,0,0,0,0
rp,interior,348,316,t,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,881,316,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
rp,perimeter,884,316,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
rp,perimeter,887,316,t,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,385.1589656094425
rp,perimeter,888,316,t,0,0,0,0,0,0,0,0,0,0,1540.63586243777
gl,perimeter,807,318,r,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,perimeter,953,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
boot,perimeter,965,318,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,801,318,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,perimeter,802,318,s,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,6504.938235102936,6504.938235102936,0
gl,perimeter,808,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,835,318,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,840,318,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,843,318,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,847,318,s,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,0
gl,interior,853,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,interior,864,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,interior,865,318,s,7089.85093744189,2696.1127592660973,2696.1127592660973,2696.1127592660973,7089.85093744189,2696.1127592660973,2696.1127592660973,2696.1127592660973,15178.189215240183,15178.189215240183,0
gl,interior,878,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,interior,338,318,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,346,318,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,891,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
wedge,perimeter,967,318,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,perimeter,802,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,804,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,807,318,t,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
gl,perimeter,808,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,831,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,interior,837,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,interior,837,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,interior,837,318,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
gl,interior,842,318,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
gl,interior,851,318,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
gl,interior,852,318,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,853,318,t,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
gl,interior,859,318,t,0,0,0,0,0,0,0,0,0,0,385.1589656094425
gl,interior,860,318,t,0,0,0,0,0,0,0,0,0,0,0
gl,interior,868,318,t,0,0,0,0,0,0,0,0,0,0,1540.63586243777
gl,interior,870,318,t,0,0,0,0,0,0,0,0,0,0,770.317931218885
rp,interior,348,356,t,0,0,0,0,0,0,0,0,0,0,1540.63586243777
crp,control,758,356,r,0,0,0,0,0,0,0,0,0,0,0
crp,control,773,356,r,0,0,0,0,0,0,0,0,0,0,0
rp,interior,337,356,r,0,0,0,0,0,0,0,0,0,0,385.1589656094425
rp,interior,338,356,r,0,0,0,0,0,0,0,0,0,0,0
rp,interior,342,356,r,0,0,0,0,0,0,0,0,0,0,0
rp,interior,343,356,r,0,0,0,0,0,0,0,0,0,0,770.317931218885
rp,interior,344,356,r,5064.179241029922,1925.7948280472124,1925.7948280472124,1925.7948280472124,5064.179241029922,1925.7948280472124,1925.7948280472124,1925.7948280472124,10841.563725171558,10841.563725171558,0
rp,perimeter,883,356,r,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,385.1589656094425
rp,perimeter,891,356,r,10128.358482059844,3851.5896560944248,3851.5896560944248,3851.5896560944248,10128.358482059844,3851.5896560944248,3851.5896560944248,3851.5896560944248,21683.127450343116,21683.127450343116,0
cgl,control,730,356,s,0,0,0,0,0,0,0,0,0,0,0
cgl,control,733,356,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
cgl,control,734,356,s,0,0,0,0,0,0,0,0,0,0,0
cgl,control,737,356,s,0,0,0,0,0,0,0,0,0,0,0
cgl,control,738,356,s,0,0,0,0,0,0,0,0,0,0,385.1589656094425
cgl,control,742,356,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,756,356,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
crp,control,757,356,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,758,356,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,770.317931218885
crp,control,759,356,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,760,356,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,768,356,s,0,0,0,0,0,0,0,0,0,0,770.317931218885
crp,control,770,356,s,0,0,0,0,0,0,0,0,0,0,0
crp,control,771,356,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,385.1589656094425
crp,control,773,356,s,0,0,0,0,0,0,0,0,0,0,0
cwb,control,948,356,s,0,0,0,0,0,0,0,0,0,0,0
gl,interior,860,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,335,356,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,interior,336,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,337,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,338,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,339,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,341,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,interior,343,356,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
rp,perimeter,881,356,s,10128.358482059844,3851.5896560944248,3851.5896560944248,3851.5896560944248,10128.358482059844,3851.5896560944248,3851.5896560944248,3851.5896560944248,21683.127450343116,21683.127450343116,0
rp,perimeter,883,356,s,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,6504.938235102936,6504.938235102936,0
rp,perimeter,885,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,888,356,s,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,892,356,s,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
crp,control,748,356,t,0,0,0,0,0,0,0,0,0,0,1540.63586243777
crp,control,757,356,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,757,356,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,765,356,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,767,356,t,0,0,0,0,0,0,0,0,0,0,0
crp,control,775,356,t,0,0,0,0,0,0,0,0,0,0,0
rp,interior,335,356,t,0,0,0,0,0,0,0,0,0,0,0
rp,interior,336,356,t,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,4051.3433928239374,1540.63586243777,1540.63586243777,1540.63586243777,8673.250980137247,8673.250980137247,0
rp,interior,344,356,t,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,perimeter,880,356,t,0,0,0,0,0,0,0,0,0,0,0
rp,perimeter,881,356,t,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,1012.8358482059843,385.1589656094425,385.1589656094425,385.1589656094425,2168.312745034312,2168.312745034312,0
rp,perimeter,887,356,t,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,810,356,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,819,356,s,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,2025.6716964119687,770.317931218885,770.317931218885,770.317931218885,4336.625490068624,4336.625490068624,0
gl,perimeter,826,356,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,829,356,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,830,356,s,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,3038.507544617953,1155.4768968283274,1155.4768968283274,1155.4768968283274,6504.938235102936,6504.938235102936,0
gl,interior,842,356,s,0,0,0,0,0,0,0,0,0,0,0
gl,perimeter,810,356,t,0,0,0,0,0,0,0,0,0,0,0
gl,interior,838,356,t,0,0,0,0,0,0,0,0,0,0,0
