"harvest"	"location"	"spp"	"origin"	"point"	"sup.seed01A"	"sup.seed02A"	"sup.seed03A"	"sup.saplA"	"exp.seed01A"	"exp.seed02A"	"exp.seed03A"	"exp.saplA"	"suppressed"	"exposed"	"top4A"
"1"	"boot"	"interior"	"001"	"u"	356	0	0	0	0	0	0	0	0	0	0	0
"2"	"boot"	"interior"	"001"	"u"	363	0	0	0	0	0	0	0	0	0	0	0
"3"	"boot"	"perimeter"	"001"	"u"	950	0	0	0	0	0	0	0	0	0	0	0
"4"	"boot"	"perimeter"	"001"	"u"	961	0	0	0	0	0	0	0	0	0	0	0
"5"	"cwb"	"control"	"001"	"u"	398	0	0	0	0	0	0	0	0	0	0	0
"6"	"cwb"	"control"	"001"	"u"	701	0	0	0	0	0	0	0	0	0	0	0
"7"	"cwb"	"control"	"001"	"u"	703	0	0	0	0	0	0	0	0	0	0	0
"8"	"cwb"	"control"	"001"	"u"	709	0	0	0	0	0	0	0	0	0	0	0
"9"	"cwb"	"control"	"001"	"u"	946	0	0	0	0	0	0	0	0	0	0	0
"10"	"wedge"	"perimeter"	"001"	"u"	971	0	0	0	0	0	0	0	0	0	0	0
"11"	"gl"	"perimeter"	"90"	"s"	834	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	2168.31274503431
"12"	"gl"	"interior"	"90"	"s"	836	0	0	0	0	0	0	0	0	0	0	0
"13"	"gl"	"interior"	"90"	"s"	837	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"14"	"rp"	"interior"	"129"	"s"	340	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"15"	"gl"	"perimeter"	"261"	"s"	810	0	0	0	0	0	0	0	0	0	0	0
"16"	"gl"	"perimeter"	"315"	"r"	808	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"17"	"gl"	"interior"	"315"	"r"	875	0	0	0	0	0	0	0	0	0	0	0
"18"	"wedge"	"interior"	"315"	"r"	378	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	4336.62549006862
"19"	"boot"	"interior"	"315"	"s"	352	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"20"	"boot"	"perimeter"	"315"	"s"	965	0	0	0	0	0	0	0	0	0	0	0
"21"	"cgl"	"control"	"315"	"s"	739	0	0	0	0	0	0	0	0	0	0	0
"22"	"cwb"	"control"	"315"	"s"	393	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	8673.25098013725
"23"	"cwb"	"control"	"315"	"s"	395	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"24"	"cwb"	"control"	"315"	"s"	710	0	0	0	0	0	0	0	0	0	0	0
"25"	"cwb"	"control"	"315"	"s"	948	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"26"	"gl"	"perimeter"	"315"	"s"	808	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"27"	"gl"	"perimeter"	"315"	"s"	829	0	0	0	0	0	0	0	0	0	0	0
"28"	"gl"	"interior"	"315"	"s"	840	0	0	0	0	0	0	0	0	0	0	0
"29"	"gl"	"interior"	"315"	"s"	842	0	0	0	0	0	0	0	0	0	0	0
"30"	"gl"	"interior"	"315"	"s"	844	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"31"	"gl"	"interior"	"315"	"s"	864	0	0	0	0	0	0	0	0	0	0	0
"32"	"gl"	"interior"	"315"	"s"	875	0	0	0	0	0	0	0	0	0	0	0
"33"	"gl"	"interior"	"315"	"s"	878	0	0	0	0	0	0	0	0	0	0	0
"34"	"rp"	"interior"	"315"	"s"	346	0	0	0	0	0	0	0	0	0	0	0
"35"	"rp"	"perimeter"	"315"	"s"	886	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"36"	"boot"	"perimeter"	"315"	"t"	965	0	0	0	0	0	0	0	0	0	0	0
"37"	"cgl"	"control"	"315"	"t"	734	0	0	0	0	0	0	0	0	0	0	0
"38"	"cgl"	"control"	"315"	"t"	739	0	0	0	0	0	0	0	0	0	0	0
"39"	"crp"	"control"	"315"	"t"	767	0	0	0	0	0	0	0	0	0	0	0
"40"	"gl"	"interior"	"315"	"t"	878	0	0	0	0	0	0	0	0	0	0	0
"41"	"wedge"	"interior"	"315"	"t"	378	0	0	0	0	0	0	0	0	0	0	0
