harvest,season,date,point,spp,origin,basal,height,location,wall,year,cut,number_yrs_grow
sta_rd,2022,2022.08.16,349,sm,s,0.2,22,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,349,sm,s,0.12,20,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,349,sm,s,0.2,39,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,349,wa,s,0.6,49.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,349,wa,s,0.35,52.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,350,rm,s,0.75,90,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,350,rm,s,0.25,42,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,350,rm,s,0.2,31,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,350,rm,s,0.2,31,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,350,ro,s,0.25,25.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,351,ab,v,1.15,62,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,351,ab,v,2.5,98,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,351,ab,v,0.75,69,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,351,ab,v,1,92,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,351,wa,s,0.65,48,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,352,rm,s,0.2,30.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,352,rm,s,0.2,42,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,352,ab,v,1,73,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,352,wa,s,0.5,61,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,352,wa,s,0.5,70,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,352,cu,s,1,75,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,353,sm,s,0.15,24.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,353,ab,v,0.65,65,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,353,ab,v,0.75,60,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,353,ab,v,0.75,79,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,353,ab,v,0.65,75,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,353,wa,s,0.25,46,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,354,wa,s,0.65,58.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,354,wa,s,0.25,50,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,355,rm,s,0.15,22.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,355,rm,s,0.2,45,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,355,rm,s,0.2,42,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,355,sm,s,0.12,22.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,355,wa,s,0.25,34,i,protected,2022,2018,5
sta_rd,2022,2022.08.16,355,wa,s,0.2,32,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,356,wa,s,0.25,49.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,356,wa,s,0.25,43.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,357,ab,v,1,65.6,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,357,ab,v,0.85,60,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,357,ab,v,0.85,84,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,357,ab,v,0.75,76,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,358,ab,v,0.25,38,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,358,wa,s,0.35,65.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,358,wa,s,0.25,45.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,358,wa,s,0.35,42,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,358,wa,s,0.65,78,i,protected,2022,2018,5
