"harvest"	"location"	"ba"
"1"	"Boot"	"interior"	20
"2"	"Boot"	"interior"	10
"3"	"Boot"	"interior"	30
"4"	"Boot"	"interior"	30
"5"	"Boot"	"interior"	60
"6"	"Boot"	"interior"	30
"7"	"Boot"	"interior"	0
"8"	"Boot"	"interior"	40
"9"	"Boot"	"interior"	30
"10"	"Boot"	"interior"	20
"11"	"Boot"	"interior"	40
"12"	"Boot"	"interior"	60
"13"	"Boot"	"interior"	50
"14"	"Boot"	"interior"	20
"15"	"Boot"	"interior"	20
"16"	"Boot"	"interior"	40
"17"	"Boot"	"interior"	40
"18"	"Boot"	"interior"	50
"19"	"Boot"	"interior"	50
"20"	"Boot"	"interior"	60
"21"	"Boot"	"interior"	30
"22"	"CGL"	"control"	30
"23"	"CGL"	"control"	20
"24"	"CGL"	"control"	20
"25"	"CGL"	"control"	10
"26"	"CGL"	"control"	20
"27"	"CGL"	"control"	40
"28"	"CGL"	"control"	30
"29"	"CGL"	"control"	20
"30"	"CGL"	"control"	20
"31"	"CGL"	"control"	50
"32"	"CGL"	"control"	50
"33"	"CGL"	"control"	30
"34"	"CGL"	"control"	40
"35"	"CGL"	"control"	50
"36"	"CGL"	"control"	40
"37"	"CGL"	"control"	30
"38"	"CGL"	"control"	20
"39"	"CRP"	"control"	50
"40"	"CRP"	"control"	30
"41"	"CRP"	"control"	40
"42"	"CRP"	"control"	40
"43"	"CRP"	"control"	40
"44"	"CRP"	"control"	0
"45"	"CRP"	"control"	0
"46"	"CRP"	"control"	0
"47"	"CRP"	"control"	0
"48"	"CRP"	"control"	0
"49"	"CRP"	"control"	0
"50"	"CRP"	"control"	30
"51"	"CRP"	"control"	40
"52"	"CRP"	"control"	10
"53"	"CRP"	"control"	10
"54"	"CRP"	"control"	0
"55"	"CRP"	"control"	30
"56"	"CRP"	"control"	20
"57"	"CRP"	"control"	30
"58"	"CRP"	"control"	10
"59"	"CRP"	"control"	20
"60"	"CRP"	"control"	30
"61"	"CRP"	"control"	20
"62"	"CRP"	"control"	0
"63"	"CRP"	"control"	20
"64"	"CRP"	"control"	10
"65"	"CRP"	"control"	20
"66"	"CRP"	"control"	10
"67"	"CRP"	"control"	20
