harvest,season,point,baf,oakhick,beech,maple,birch,hdwd,conifer,location,TRMT,first,year,numb_yrs_grow,ba,baha
gas_line,2020,729,10,3,0,0,0,0,0,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,729,10,3,0,0,0,0,0,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,730,10,2,0,0,0,0,1,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,730,10,2,0,0,0,0,1,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,731,10,2,0,0,0,0,0,control,outside,2017,2020,4,20,8.097165991902834
gas_line,2021,731,10,2,0,0,0,0,0,control,outside,2017,2021,5,20,8.097165991902834
gas_line,2020,732,10,1,0,0,0,0,0,control,outside,2017,2020,4,10,4.048582995951417
gas_line,2021,732,10,1,0,0,0,0,0,control,outside,2017,2021,5,10,4.048582995951417
gas_line,2020,733,10,2,0,0,0,0,0,control,outside,2017,2020,4,20,8.097165991902834
gas_line,2021,733,10,2,0,0,0,0,0,control,outside,2017,2021,5,20,8.097165991902834
gas_line,2020,734,10,4,0,0,0,0,0,control,outside,2017,2020,4,40,16.194331983805668
gas_line,2021,734,10,4,0,0,0,0,0,control,outside,2017,2021,5,40,16.194331983805668
gas_line,2020,735,10,3,0,0,0,0,0,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,735,10,3,0,0,0,0,0,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,736,10,2,0,0,0,0,0,control,outside,2017,2020,4,20,8.097165991902834
gas_line,2021,736,10,2,0,0,0,0,0,control,outside,2017,2021,5,20,8.097165991902834
gas_line,2020,737,10,3,0,0,0,0,0,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,737,10,3,0,0,0,0,0,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,738,10,4,0,0,0,0,1,control,outside,2017,2020,4,50,20.242914979757085
gas_line,2021,738,10,4,0,0,0,0,1,control,outside,2017,2021,5,50,20.242914979757085
gas_line,2020,739,10,5,0,0,0,0,0,control,outside,2017,2020,4,50,20.242914979757085
gas_line,2021,739,10,5,0,0,0,0,0,control,outside,2017,2021,5,50,20.242914979757085
gas_line,2020,740,10,3,0,0,0,0,0,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,740,10,3,0,0,0,0,0,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,741,10,4,0,0,0,0,0,control,outside,2017,2020,4,40,16.194331983805668
gas_line,2021,741,10,4,0,0,0,0,0,control,outside,2017,2021,5,40,16.194331983805668
gas_line,2020,742,10,5,0,0,0,0,0,control,outside,2017,2020,4,50,20.242914979757085
gas_line,2021,742,10,5,0,0,0,0,0,control,outside,2017,2021,5,50,20.242914979757085
gas_line,2020,743,10,2,0,0,0,1,0,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,743,10,2,0,0,0,1,0,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,744,10,3,0,0,0,0,0,control,outside,2017,2020,4,30,12.14574898785425
gas_line,2021,744,10,3,0,0,0,0,0,control,outside,2017,2021,5,30,12.14574898785425
gas_line,2020,745,10,2,0,0,0,0,0,control,outside,2017,2020,4,20,8.097165991902834
gas_line,2021,745,10,2,0,0,0,0,0,control,outside,2017,2021,5,20,8.097165991902834
gas_line,2020,801,10,0,0,0,0,0,0,perimeter,inside,2017,2020,4,0,0
gas_line,2021,801,10,0,0,0,0,0,0,perimeter,inside,2017,2021,5,0,0
gas_line,2020,802,10,0,0,0,0,0,0,perimeter,inside,2017,2020,4,0,0
gas_line,2021,802,10,0,0,0,0,0,0,perimeter,inside,2017,2021,5,0,0
gas_line,2020,803,10,0,0,0,0,0,0,perimeter,inside,2017,2020,4,0,0
gas_line,2021,803,10,0,0,0,0,0,0,perimeter,inside,2017,2021,5,0,0
gas_line,2020,804,10,0,0,0,0,0,0,perimeter,inside,2017,2020,4,0,0
gas_line,2021,804,10,0,0,0,0,0,0,perimeter,inside,2017,2021,5,0,0
gas_line,2020,805,10,0,0,0,0,0,0,perimeter,inside,2017,2020,4,0,0
gas_line,2021,805,10,0,0,0,0,0,0,perimeter,inside,2017,2021,5,0,0
