harvest,location,ba_sqft,harvested,n,Number_Growing_Seasons,ba_sqm
campridge,i,18.8,2019,83,2,4.314621686746987
campridge,p,5.5,2019,11,2,1.2521454545454545
circle,i,5.0,2019,24,2,1.1478
decker,c,60.0,2019,15,2,13.773599999999998
decker,i,60.54054054,2019,37,2,13.897686486486485
gas_line,c,31.17647059,2017,17,4,7.156870588235294
gas_line,i,7.142857143,2017,42,4,1.6397142857142857
gas_line,p,8.285714286,2017,35,4,1.9020685714285714
recknagel,c,48.8,2019,32,2,11.191049999999999
recknagel,i,31.5,2019,20,2,7.23114
recknagel,p,34.44444444,2019,18,2,7.907066666666666
red_pine,c,18.275862068965516,2017,29,4,4.195406896551724
red_pine,i,6.666666666666667,2017,15,4,1.5304
red_pine,p,1.5384615384615385,2017,13,4,0.3531692307692308
sta_rd,c,35.588235294117645,2017,34,4,8.169635294117645
sta_rd,i,33.714285714285715,2017,35,4,7.739451428571428
sta_rd,p,21.53846153846154,2017,26,4,4.944369230769231
