harvest,location,point,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
boot,interior,349,sb,7089.85093744189,0,0,0,1012.8358482059843,0,0,0
boot,interior,349,wa,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,350,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,350,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,350,ab,0,0,0,0,8102.686785647875,385.1589656094425,0,0
boot,interior,350,wa,1012.8358482059843,0,0,0,3038.507544617953,0,0,0
boot,interior,350,pc,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,351,sb,0,0,0,0,9115.52263385386,0,0,0
boot,interior,352,stm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,352,rm,3038.507544617953,0,0,0,0,0,0,0
boot,interior,352,sb,0,0,0,0,0,385.1589656094425,0,0
boot,interior,353,sb,5064.179241029922,0,0,0,13166.866026677797,0,0,0
boot,interior,353,qa,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,354,sb,5064.179241029922,0,0,0,0,0,0,0
boot,interior,355,rm,14179.70187488378,0,0,0,1012.8358482059843,1540.63586243777,0,0
boot,interior,355,sb,1012.8358482059843,0,0,0,6077.015089235906,0,0,0
boot,interior,355,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,355,pc,0,0,0,0,0,770.317931218885,2310.953793656655,385.1589656094425
boot,interior,356,mia,0,0,0,0,0,0,0,0
boot,interior,357,sb,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
boot,interior,358,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,358,gb,2025.6716964119687,0,0,0,0,770.317931218885,0,0
boot,interior,359,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,359,pc,0,770.317931218885,0,0,0,1540.63586243777,2696.1127592660973,0
boot,interior,360,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,360,pc,0,0,0,0,5064.179241029922,3466.4306904849823,0,0
boot,interior,361,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,362,wa,21269.55281232567,0,0,0,0,0,0,0
boot,interior,362,pc,0,0,0,0,0,0,770.317931218885,0
boot,interior,363,mia,0,0,0,0,0,0,0,0
boot,interior,364,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,364,wa,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
boot,interior,364,pc,0,0,0,0,0,3851.5896560944248,0,0
boot,interior,365,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,365,wa,9115.52263385386,0,0,0,0,0,0,0
boot,interior,365,pc,0,0,0,0,0,385.1589656094425,385.1589656094425,0
boot,interior,365,ba,2025.6716964119687,0,0,0,0,770.317931218885,0,0
boot,interior,366,sb,1012.8358482059843,0,0,0,8102.686785647875,1155.4768968283274,0,0
boot,interior,366,ab,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,367,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,367,ab,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,367,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,367,ba,4051.3433928239374,0,0,0,0,4621.90758731331,0,0
boot,interior,368,rm,0,0,0,0,0,385.1589656094425,0,0
boot,interior,368,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,368,pc,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,369,rm,4051.3433928239374,0,0,0,0,0,0,0
boot,interior,369,sb,10128.358482059844,0,0,0,27346.56790156158,0,0,0
boot,interior,369,ab,4051.3433928239374,0,0,0,1012.8358482059843,0,0,0
boot,interior,369,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,950,mia,0,0,0,0,0,0,0,0
boot,perimeter,951,sb,12154.030178471812,0,0,0,14179.70187488378,770.317931218885,0,0
boot,perimeter,951,pc,1012.8358482059843,0,0,0,0,0,1540.63586243777,0
boot,perimeter,952,sb,1012.8358482059843,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,952,ab,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,952,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,953,rm,4051.3433928239374,0,0,0,0,1540.63586243777,0,0
boot,perimeter,953,sm,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,953,sb,2025.6716964119687,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,953,wa,3038.507544617953,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,953,pc,0,0,0,0,0,385.1589656094425,0,0
boot,perimeter,954,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,954,pc,0,0,0,0,1012.8358482059843,385.1589656094425,0,0
boot,perimeter,955,pc,1012.8358482059843,0,0,0,1012.8358482059843,770.317931218885,0,0
boot,perimeter,955,ba,0,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,956,sb,0,0,0,0,7089.85093744189,0,0,0
boot,perimeter,956,qa,0,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,957,pc,0,0,0,0,0,770.317931218885,770.317931218885,0
boot,perimeter,958,sb,10128.358482059844,0,0,0,16205.37357129575,0,0,0
boot,perimeter,958,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,958,pc,0,0,0,0,0,2696.1127592660973,0,0
boot,perimeter,959,sb,2025.6716964119687,0,0,0,9115.52263385386,0,0,0
boot,perimeter,959,pb,0,0,0,0,0,385.1589656094425,0,0
boot,perimeter,959,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,959,pc,0,0,0,0,7089.85093744189,8088.3382777982915,0,0
boot,perimeter,959,bc,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,959,cc,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,960,wa,10128.358482059844,0,0,0,0,0,0,0
boot,perimeter,960,pc,0,0,0,0,1012.8358482059843,1925.7948280472124,770.317931218885,0
boot,perimeter,961,mia,0,0,0,0,0,0,0,0
boot,perimeter,962,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,962,pc,2025.6716964119687,0,0,0,0,0,0,0
boot,perimeter,963,sb,1012.8358482059843,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,963,qa,1012.8358482059843,0,0,0,3038.507544617953,0,0,0
boot,perimeter,964,sb,3038.507544617953,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,964,pc,0,0,0,0,0,385.1589656094425,0,0
boot,perimeter,965,stm,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0
boot,perimeter,965,sm,0,0,0,0,2025.6716964119687,0,0,0
boot,perimeter,965,sb,2025.6716964119687,0,0,0,17218.209419501734,385.1589656094425,0,0
boot,perimeter,965,wa,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,729,ab,0,0,0,0,6077.015089235906,0,0,0
gas_line,control,729,qa,0,0,0,0,0,385.1589656094425,0,0
gas_line,control,730,rm,0,0,0,0,3038.507544617953,1540.63586243777,0,0
gas_line,control,730,svb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,730,wa,1012.8358482059843,0,0,0,6077.015089235907,385.1589656094425,0,0
gas_line,control,730,bc,0,0,0,0,4051.3433928239374,770.317931218885,0,0
gas_line,control,730,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,731,sb,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,731,ah,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,731,haw,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,731,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,control,731,bta,2025.6716964119687,0,0,0,2025.6716964119687,385.1589656094425,0,0
gas_line,control,731,qa,0,0,0,0,1012.8358482059843,385.1589656094425,0,0
gas_line,control,731,bc,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,731,ro,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,732,sb,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0
gas_line,control,732,ab,0,0,0,0,4051.3433928239374,385.1589656094425,0,0
gas_line,control,732,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,733,rm,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,733,svb,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,733,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,733,ab,3038.507544617953,0,0,0,0,0,0,0
gas_line,control,733,bta,0,0,0,0,1012.8358482059843,1540.63586243777,0,0
gas_line,control,733,qa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,733,cc,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,control,734,stm,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,734,svb,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,734,sb,0,0,0,0,0,0,0,0
gas_line,control,734,ah,0,0,0,0,7089.85093744189,0,0,0
gas_line,control,734,ab,0,0,0,0,6077.015089235906,0,0,0
gas_line,control,734,bta,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,735,rm,0,0,0,0,4051.3433928239374,385.1589656094425,0,0
gas_line,control,735,sb,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,735,ah,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,735,wa,0,0,0,0,9115.52263385386,0,0,0
gas_line,control,735,bta,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,735,qa,0,0,0,0,2025.6716964119687,2310.953793656655,0,0
gas_line,control,735,ro,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,736,pb,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,737,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,737,svb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,737,sb,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,737,ah,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,737,ab,0,0,0,0,6077.015089235906,0,0,0
gas_line,control,737,bta,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,737,ro,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,svb,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,738,sb,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,haw,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,738,ab,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,wa,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,738,bc,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,ro,0,0,0,0,0,0,0,0
gas_line,control,739,stm,0,0,0,0,0,2310.953793656655,0,0
gas_line,control,739,ab,2025.6716964119687,0,0,0,0,0,0,0
gas_line,control,739,eh,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,control,740,sb,0,0,0,0,11141.194330265827,0,0,0
gas_line,control,740,ab,0,0,0,0,7089.85093744189,0,0,0
gas_line,control,740,bta,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,740,qa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,740,pc,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,740,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,741,mia,0,0,0,0,0,0,0,0
gas_line,control,742,rm,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
gas_line,control,742,svb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,742,sb,2025.6716964119687,0,0,0,23295.22450873764,0,0,0
gas_line,control,742,ab,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,742,bta,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,742,qa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,742,wi,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,743,sb,2025.6716964119687,0,0,0,24308.060356943624,0,0,0
gas_line,control,743,eh,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,743,qa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,744,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,744,sb,7089.85093744189,0,0,0,21269.55281232567,0,0,0
gas_line,control,744,pb,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,control,744,ab,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,744,qa,1012.8358482059843,0,0,0,10128.358482059844,0,0,0
gas_line,control,745,sb,0,0,0,0,2025.6716964119687,385.1589656094425,0,0
gas_line,control,745,ab,0,0,0,0,6077.015089235906,0,0,0
gas_line,control,745,eh,2025.6716964119687,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,836,wa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,836,eh,0,0,0,0,2025.6716964119687,0,0,0
