harvest,location,point,type,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
boot,interior,349,commercial,sb,7089.85093744189,0,0,0,1012.8358482059843,0,0,0
boot,interior,349,commercial,wa,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,350,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,350,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,350,commercial,wa,1012.8358482059843,0,0,0,3038.507544617953,0,0,0
boot,interior,351,commercial,sb,0,0,0,0,9115.52263385386,0,0,0
boot,interior,352,commercial,rm,3038.507544617953,0,0,0,0,0,0,0
boot,interior,352,commercial,sb,0,0,0,0,0,385.1589656094425,0,0
boot,interior,353,commercial,sb,5064.179241029922,0,0,0,13166.866026677797,0,0,0
boot,interior,354,commercial,sb,5064.179241029922,0,0,0,0,0,0,0
boot,interior,355,commercial,rm,14179.70187488378,0,0,0,1012.8358482059843,1540.63586243777,0,0
boot,interior,355,commercial,sb,1012.8358482059843,0,0,0,6077.015089235906,0,0,0
boot,interior,355,commercial,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,357,commercial,sb,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
boot,interior,358,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,359,commercial,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,360,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,361,commercial,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,362,commercial,wa,21269.55281232567,0,0,0,0,0,0,0
boot,interior,364,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,364,commercial,wa,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
boot,interior,365,commercial,ba,2025.6716964119687,0,0,0,0,770.317931218885,0,0
boot,interior,365,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,365,commercial,wa,9115.52263385386,0,0,0,0,0,0,0
boot,interior,366,commercial,sb,1012.8358482059843,0,0,0,8102.686785647875,1155.4768968283274,0,0
boot,interior,367,commercial,ba,4051.3433928239374,0,0,0,0,4621.90758731331,0,0
