harvest,location,point,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
boot,interior,349,sb,7089.85093744189,0,0,0,1012.8358482059843,0,0,0
boot,interior,349,wa,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,350,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,350,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,350,wa,1012.8358482059843,0,0,0,3038.507544617953,0,0,0
boot,interior,351,sb,0,0,0,0,9115.52263385386,0,0,0
boot,interior,352,rm,3038.507544617953,0,0,0,0,0,0,0
boot,interior,352,sb,0,0,0,0,0,385.1589656094425,0,0
boot,interior,353,sb,5064.179241029922,0,0,0,13166.866026677797,0,0,0
boot,interior,354,sb,5064.179241029922,0,0,0,0,0,0,0
boot,interior,355,rm,14179.70187488378,0,0,0,1012.8358482059843,0,0,0
boot,interior,355,sb,1012.8358482059843,0,0,0,6077.015089235906,0,0,0
boot,interior,355,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,357,sb,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
boot,interior,358,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,359,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,360,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,361,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,362,wa,21269.55281232567,0,0,0,0,0,0,0
boot,interior,364,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,364,wa,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
boot,interior,365,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,365,wa,9115.52263385386,0,0,0,0,0,0,0
boot,interior,366,sb,1012.8358482059843,0,0,0,6077.015089235906,1155.4768968283274,0,0
boot,interior,367,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,367,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,368,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,369,rm,4051.3433928239374,0,0,0,0,0,0,0
boot,interior,369,sb,10128.358482059844,0,0,0,27346.56790156158,0,0,0
boot,interior,369,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,951,sb,4051.3433928239374,0,0,0,11141.194330265827,385.1589656094425,0,0
boot,perimeter,952,sb,1012.8358482059843,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,952,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,953,sb,2025.6716964119687,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,953,sm,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,953,wa,3038.507544617953,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,954,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,955,ba,0,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,956,sb,0,0,0,0,7089.85093744189,0,0,0
boot,perimeter,958,sb,10128.358482059844,0,0,0,16205.37357129575,0,0,0
boot,perimeter,958,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,959,bc,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,959,sb,2025.6716964119687,0,0,0,9115.52263385386,0,0,0
boot,perimeter,959,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,960,wa,10128.358482059844,0,0,0,0,0,0,0
boot,perimeter,962,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,963,sb,1012.8358482059843,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,964,sb,3038.507544617953,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,965,sb,2025.6716964119687,0,0,0,17218.209419501734,385.1589656094425,0,0
boot,perimeter,965,sm,0,0,0,0,2025.6716964119687,0,0,0
boot,perimeter,965,wa,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,730,bc,0,0,0,0,4051.3433928239374,770.317931218885,0,0
gas_line,control,730,rm,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,730,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,730,wa,0,0,0,0,5064.179241029922,0,0,0
gas_line,control,731,bc,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,731,ro,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,731,sb,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,731,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,control,732,sb,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0
gas_line,control,732,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,733,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,734,sb,0,0,0,0,0,0,0,0
gas_line,control,735,ro,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,735,sb,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,735,wa,0,0,0,0,5064.179241029922,0,0,0
gas_line,control,737,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,737,ro,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,737,sb,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,bc,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,ro,0,0,0,0,0,0,0,0
gas_line,control,738,sb,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,wa,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,740,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,740,sb,0,0,0,0,11141.194330265827,0,0,0
gas_line,control,742,sb,2025.6716964119687,0,0,0,23295.22450873764,0,0,0
gas_line,control,743,sb,2025.6716964119687,0,0,0,24308.060356943624,0,0,0
gas_line,control,744,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,744,sb,7089.85093744189,0,0,0,21269.55281232567,0,0,0
gas_line,control,745,sb,0,0,0,0,2025.6716964119687,385.1589656094425,0,0
gas_line,interior,836,wa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,838,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,838,ro,0,0,0,0,3038.507544617953,0,0,0
gas_line,interior,839,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,839,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,840,sm,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,841,ro,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,842,bc,0,0,0,0,0,385.1589656094425,385.1589656094425,0
gas_line,interior,842,ro,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,842,wa,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,843,sm,0,0,0,0,0,0,385.1589656094425,0
gas_line,interior,843,wa,0,0,0,0,0,3851.5896560944248,0,0
gas_line,interior,844,ba,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,844,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,845,wa,1012.8358482059843,0,0,0,1012.8358482059843,385.1589656094425,0,0
gas_line,interior,847,ba,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
gas_line,interior,847,rm,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,847,ro,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,847,sm,4051.3433928239374,0,0,0,0,0,0,0
gas_line,interior,847,wa,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
gas_line,interior,848,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,849,ro,2025.6716964119687,0,0,0,0,0,0,0
gas_line,interior,849,sb,0,0,0,0,0,770.317931218885,0,0
gas_line,interior,850,rm,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,850,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,850,wa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,851,wa,3038.507544617953,0,0,0,0,385.1589656094425,0,0
gas_line,interior,852,wa,0,0,0,0,0,3851.5896560944248,0,0
gas_line,interior,853,sm,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
gas_line,interior,853,wa,4051.3433928239374,0,0,0,2025.6716964119687,1155.4768968283274,0,0
gas_line,interior,855,wa,5064.179241029922,0,0,0,2025.6716964119687,0,0,0
gas_line,interior,857,wa,2025.6716964119687,0,0,0,1012.8358482059843,385.1589656094425,0,0
gas_line,interior,858,sb,0,0,0,0,6077.015089235906,0,0,0
gas_line,interior,859,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,860,wa,1012.8358482059843,0,0,0,1012.8358482059843,1155.4768968283274,0,0
gas_line,interior,861,wa,3038.507544617953,0,0,0,0,1155.4768968283274,0,0
gas_line,interior,865,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,865,sm,7089.85093744189,0,0,0,0,0,0,0
gas_line,interior,865,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,867,sb,0,0,0,0,3038.507544617953,385.1589656094425,0,0
gas_line,interior,868,wa,1012.8358482059843,0,0,0,2025.6716964119687,1155.4768968283274,0,0
gas_line,interior,869,sb,5064.179241029922,0,0,0,0,385.1589656094425,0,0
gas_line,interior,869,wa,3038.507544617953,0,0,0,2025.6716964119687,0,0,0
gas_line,interior,871,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,872,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,872,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,875,bc,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,875,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,875,wa,0,0,0,0,3038.507544617953,0,0,0
gas_line,interior,875,yp,0,0,0,0,11141.194330265827,0,0,0
gas_line,interior,876,sb,3038.507544617953,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,876,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,877,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,877,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,878,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,878,sm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,878,wa,1012.8358482059843,0,0,0,0,2696.1127592660973,0,0
gas_line,interior,879,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,801,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,801,sm,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,802,ba,0,0,0,0,0,770.317931218885,0,0
gas_line,perimeter,802,bc,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,802,sm,3038.507544617953,385.1589656094425,0,0,0,0,0,0
gas_line,perimeter,802,wa,22282.388660531655,385.1589656094425,0,0,0,0,0,0
gas_line,perimeter,803,wa,0,0,0,0,1012.8358482059843,1540.63586243777,0,0
gas_line,perimeter,804,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,804,wa,1012.8358482059843,0,0,0,2025.6716964119687,385.1589656094425,0,0
gas_line,perimeter,805,bc,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,805,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,806,sb,0,385.1589656094425,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,807,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,perimeter,808,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,perimeter,808,sb,0,0,0,0,0,1540.63586243777,2310.953793656655,385.1589656094425
gas_line,perimeter,808,sm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,perimeter,808,wa,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,809,sb,0,0,0,0,5064.179241029922,385.1589656094425,0,0
gas_line,perimeter,811,sb,6077.015089235906,0,0,0,4051.3433928239374,20798.584142909895,0,0
gas_line,perimeter,812,sb,1012.8358482059843,0,0,0,1012.8358482059843,3466.4306904849823,0,0
gas_line,perimeter,812,yp,1012.8358482059843,0,0,0,4051.3433928239374,770.317931218885,0,0
gas_line,perimeter,813,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,815,sb,0,0,0,0,1012.8358482059843,1925.7948280472124,0,0
gas_line,perimeter,816,sb,1012.8358482059843,0,0,0,4051.3433928239374,3851.5896560944248,0,0
gas_line,perimeter,817,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,817,rm,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,817,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,817,sb,0,385.1589656094425,0,0,2025.6716964119687,385.1589656094425,0,0
