harvest,year,season,date,numb_yrs_grow,location,wall,point,spp,origin,basal,height
sta_rd,2021,2021,2022.06.24,4,i,protected,349,rm,s,0.11,18
sta_rd,2021,2021,2022.06.24,4,i,protected,350,rm,s,0.85,65.5
sta_rd,2021,2021,2022.06.24,4,i,protected,350,rm,s,0.25,26
sta_rd,2021,2021,2022.06.24,4,i,protected,350,rm,s,0.15,27.5
sta_rd,2021,2021,2022.06.24,4,i,protected,352,rm,s,0.15,17.5
sta_rd,2021,2021,2022.06.24,4,i,protected,352,rm,s,0.12,18
sta_rd,2021,2021,2022.06.19,4,i,protected,361,rm,s,0.75,57
sta_rd,2021,2021,2022.06.19,4,i,protected,369,rm,s,0.15,18
sta_rd,2021,2021,2022.06.14,4,i,protected,370,rm,s,0.11,9
sta_rd,2021,2021,2022.06.14,4,i,protected,374,rm,s,0.12,12
sta_rd,2021,2021,2022.06.14,4,i,protected,374,rm,s,0.12,12
sta_rd,2021,2021,2022.06.14,4,i,protected,374,rm,s,0.12,15
sta_rd,2021,2021,2022.06.14,4,i,protected,377,rm,s,0.11,15.5
sta_rd,2021,2021,2022.06.14,4,i,protected,377,rm,s,0.12,20
sta_rd,2021,2021,2022.06.14,4,i,protected,377,rm,s,0.12,29.5
sta_rd,2021,2021,2022.06.14,4,i,protected,379,rm,s,0.15,16
sta_rd,2021,2021,2022.06.14,4,i,protected,379,rm,s,0.2,15
sta_rd,2021,2021,2022.06.13,4,i,protected,381,rm,s,0.12,15
sta_rd,2021,2021,2022.06.13,4,i,protected,382,rm,s,0.15,21.5
sta_rd,2021,2021,2022.06.13,4,i,protected,382,rm,s,0.2,45
sta_rd,2021,2021,2022.06.13,4,i,protected,383,rm,s,0.12,12.5
sta_rd,2021,2021,2022.06.13,4,i,protected,383,rm,s,0.12,18.5
sta_rd,2021,2021,2022.06.22,4,p,protected,951,rm,s,0.15,18
sta_rd,2021,2021,2022.06.22,4,p,protected,951,rm,s,0.12,22
sta_rd,2021,2021,2022.06.22,4,p,protected,951,rm,s,0.15,23
sta_rd,2021,2021,2022.06.22,4,p,protected,952,rm,s,0.2,41.5
sta_rd,2021,2021,2022.06.22,4,p,protected,952,rm,s,0.2,31
sta_rd,2021,2021,2022.06.22,4,p,protected,952,rm,s,0.2,28.5
sta_rd,2021,2021,2022.06.19,4,p,protected,956,rm,s,0.15,23.5
sta_rd,2021,2021,2022.06.19,4,p,protected,959,rm,s,0.15,14
sta_rd,2021,2021,2022.06.21,4,p,protected,962,rm,s,0.15,17
sta_rd,2021,2021,2022.06.21,4,p,protected,962,rm,s,0.12,18.5
sta_rd,2021,2021,2022.06.21,4,p,protected,962,rm,s,0.12,20.5
sta_rd,2021,2021,2022.06.24,4,p,protected,963,rm,s,0.15,21
sta_rd,2021,2021,2022.06.24,4,p,protected,963,rm,s,0.25,34
sta_rd,2021,2021,2022.06.24,4,p,protected,963,rm,s,0.15,20
sta_rd,2021,2021,2022.06.24,4,p,protected,964,rm,s,0.12,20
sta_rd,2021,2021,2022.06.13,4,p,protected,967,rm,s,0.2,18
sta_rd,2021,2021,2022.06.13,4,p,protected,969,rm,s,0.11,12
sta_rd,2021,2021,2022.06.13,4,p,protected,969,rm,s,0.11,8
sta_rd,2021,2021,2022.06.13,4,p,protected,970,rm,s,0.15,23.5
sta_rd,2021,2021,2022.06.14,4,p,protected,971,rm,s,0.15,22.5
sta_rd,2021,2021,2022.06.14,4,p,protected,971,rm,s,0.2,18.5
sta_rd,2021,2021,2022.06.14,4,p,protected,972,rm,s,0.15,21.5
sta_rd,2021,2021,2022.06.14,4,p,protected,973,rm,s,0.12,19
sta_rd,2021,2021,2022.06.27,4,c,control,388,rm,s,0.12,18.5
sta_rd,2021,2021,2022.06.27,4,c,control,389,rm,s,0.22,22
sta_rd,2021,2021,2022.06.27,4,c,control,389,rm,s,0.11,8
sta_rd,2021,2021,2022.06.27,4,c,control,391,rm,s,0.15,12
sta_rd,2021,2021,2022.06.27,4,c,control,391,rm,s,0.15,11
sta_rd,2021,2021,2022.06.28,4,c,control,397,rm,s,0.12,10.5
sta_rd,2021,2021,2022.06.27,4,c,control,399,rm,s,0.12,12.5
sta_rd,2021,2021,2022.06.27,4,c,control,702,rm,s,0.15,16
sta_rd,2021,2021,2022.06.28,4,c,control,948,rm,s,0.12,22.5
sta_rd,2021,2021,2022.06.28,4,c,control,948,rm,s,0.15,22.5
sta_rd,2021,2021,2022.06.28,4,c,control,949,rm,s,0.12,14.5
sta_rd,2021,2021,2022.06.28,4,c,control,949,rm,s,0.15,35.5
sta_rd,2021,2021,2022.06.28,4,c,control,949,rm,s,0.15,22
sta_rd,2021,2021,2022.06.24,4,i,protected,349,sm,s,0.12,12
sta_rd,2021,2021,2022.06.24,4,i,protected,349,sm,s,0.12,16
sta_rd,2021,2021,2022.06.24,4,i,protected,349,sm,s,0.12,16
sta_rd,2021,2021,2022.06.22,4,i,protected,353,sm,s,0.12,15
sta_rd,2021,2021,2022.06.22,4,i,protected,356,sm,s,0.12,15.5
sta_rd,2021,2021,2022.06.22,4,i,protected,356,sm,s,0.15,14.5
sta_rd,2021,2021,2022.06.21,4,i,protected,357,sm,s,0.12,18
sta_rd,2021,2021,2022.06.21,4,i,protected,362,sm,s,0.25,50
sta_rd,2021,2021,2022.06.19,4,i,protected,369,sm,s,0.25,26.5
sta_rd,2021,2021,2022.06.13,4,i,protected,376,sm,s,0.11,9.5
sta_rd,2021,2021,2022.06.13,4,i,protected,376,sm,s,0.11,13
sta_rd,2021,2021,2022.06.13,4,i,protected,376,sm,s,0.1,10
sta_rd,2021,2021,2022.06.13,4,i,protected,376,sm,s,0.11,12
sta_rd,2021,2021,2022.06.13,4,i,protected,383,sm,s,0.12,14
sta_rd,2021,2021,2022.06.19,4,p,protected,957,sm,s,0.15,13
sta_rd,2021,2021,2022.06.19,4,p,protected,958,sm,s,0.11,9.5
sta_rd,2021,2021,2022.06.19,4,p,protected,960,sm,s,0.12,15
sta_rd,2021,2021,2022.06.21,4,p,protected,962,sm,s,0.15,16
sta_rd,2021,2021,2022.06.24,4,p,protected,964,sm,s,0.15,21.5
sta_rd,2021,2021,2022.06.24,4,p,protected,964,sm,s,0.15,20.5
sta_rd,2021,2021,2022.06.24,4,p,protected,965,sm,s,0.25,29
sta_rd,2021,2021,2022.06.24,4,p,protected,965,sm,s,0.2,28
sta_rd,2021,2021,2022.06.24,4,p,protected,965,sm,s,0.2,27
sta_rd,2021,2021,2022.06.13,4,p,protected,966,sm,s,0.12,9.5
sta_rd,2021,2021,2022.06.13,4,p,protected,966,sm,s,0.11,7.5
sta_rd,2021,2021,2022.06.13,4,p,protected,966,sm,s,0.11,10
sta_rd,2021,2021,2022.06.13,4,p,protected,966,sm,s,0.12,11
sta_rd,2021,2021,2022.06.13,4,p,protected,966,sm,s,0.12,11
sta_rd,2021,2021,2022.06.13,4,p,protected,967,sm,s,0.12,13.5
sta_rd,2021,2021,2022.06.13,4,p,protected,969,sm,s,0.11,7.5
sta_rd,2021,2021,2022.06.27,4,c,control,392,sm,s,0.12,12.5
sta_rd,2021,2021,2022.06.28,4,c,control,395,sm,s,0.11,13
sta_rd,2021,2021,2022.06.28,4,c,control,947,sm,s,0.12,17
