harvest,year,date,location,point,spp,origin,basal2019,height
boot,2019,2020.06.19,interior,358,ab,r,0.25,14.5
boot,2019,2020.06.19,perimeter,953,ab,r,0.5,20
boot,2019,2020.06.16,interior,350,ab,r,1,45.5
boot,2019,2020.06.16,interior,350,ab,r,1,56
boot,2019,2020.06.17,perimeter,950,ab,r,0.6,21
boot,2019,2020.06.12,perimeter,954,ab,r,0.5,26
boot,2019,2020.06.17,perimeter,950,ab,r,1,47.5
boot,2019,2020.06.16,interior,350,ab,r,0.3,28.5
boot,2019,2020.06.15,interior,369,ab,r,1.5,65.5
boot,2019,2020.06.17,perimeter,951,ab,r,0.65,51.5
boot,2019,2020.06.22,interior,360,ab,r,0.9,39.5
gas_line,2019,2020.07.10,control,742,ab,r,0.25,16.5
gas_line,2019,2020.07.13,control,737,ab,r,0.3,26
gas_line,2019,2020.07.10,control,744,ab,r,0.2,13
gas_line,2019,2020.07.13,control,741,ab,r,0.25,25
gas_line,2019,2020.07.14,control,734,ab,r,0.25,32.5
gas_line,2019,2020.07.13,control,740,ab,r,0.4,25.5
gas_line,2019,2020.07.14,control,730,ab,r,0.6,38
gas_line,2019,2020.07.13,control,741,ab,r,0.25,27
gas_line,2019,2020.07.10,control,743,ab,r,0.45,27
gas_line,2019,2020.07.14,control,729,ab,r,0.25,32
gas_line,2019,2020.07.14,control,738,ab,r,0.65,23.5
gas_line,2019,2020.07.13,control,740,ab,r,0.5,46
gas_line,2019,2020.07.14,control,730,ab,r,0.65,44
red_pine,2019,2020.07.15,control,773,ab,r,0.8,44
red_pine,2019,2020.07.17,control,764,ab,r,0.4,21.5
red_pine,2019,2020.07.14,control,770,ab,r,0.2,19
red_pine,2019,2020.07.16,control,755,ab,r,0.2,16
red_pine,2019,2020.07.16,control,758,ab,r,0.2,20
red_pine,2019,2020.07.16,control,757,ab,r,0.5,32
red_pine,2019,2020.07.14,control,769,ab,r,0.4,17
red_pine,2019,2020.07.16,control,753,ab,r,0.4,20.5
red_pine,2019,2020.07.16,control,762,ab,r,0.4,31
red_pine,2019,2020.07.14,control,767,ab,r,0.25,17
red_pine,2019,2020.07.16,control,753,ab,r,0.35,17
red_pine,2019,2020.07.15,control,772,ab,r,0.35,13.5
red_pine,2019,2020.07.15,control,773,ab,r,1.1,56
red_pine,2019,2020.07.14,control,767,ab,r,0.4,28
red_pine,2019,2020.07.16,control,754,ab,r,0.5,24
red_pine,2019,2020.07.16,control,762,ab,r,0.5,31
red_pine,2019,2020.07.16,control,756,ab,r,0.2,27.5
red_pine,2019,2020.07.16,control,752,ab,r,0.3,22
red_pine,2019,2020.07.16,control,763,ab,r,0.75,37
red_pine,2019,2020.07.16,control,759,ab,r,0.65,48
