harvest,year,date,location,point,disturb,slash,fern,herb,low_cov,low_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,seedling-numb
boot,2019,2020.06.16,interior,349,l,p,a,m,h,rubu,p,loni,p,761,l,318,a,NA,10,NA,NA,2,NA,NA,NA,20,100
boot,2019,2020.06.16,interior,350,m,p,m,l,h,rubu,a,NA,p,761,p,531,a,NA,10,NA,1,NA,NA,NA,NA,10,50
boot,2019,2020.06.17,interior,351,a,m,a,p,m,rubu,a,NA,m,531,m,531,a,NA,10,NA,1,2,NA,NA,NA,30,100
boot,2019,2020.06.22,interior,352,m,m,l,p,h,rubu,a,NA,p,372,l,318,a,NA,10,NA,NA,3,NA,NA,NA,30,100
boot,2019,2020.06.17,interior,353,p,m,m,m,m,rubu,p,rosa,p,951,m,316,p,viti,10,NA,NA,5,NA,1,NA,60,25
boot,2019,2020.06.22,interior,354,p,h,l,p,h,rubu,a,NA,p,samb,p,316,p,viti,10,NA,NA,3,NA,NA,NA,30,10
boot,2019,2020.06.16,interior,355,p,p,a,p,h,rubu,a,NA,m,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,100
boot,2019,2020.06.19,interior,356,l,h,p,p,h,rubu,a,NA,p,761,m,316,a,NA,10,NA,NA,4,NA,NA,NA,40,10
boot,2019,2020.06.22,interior,357,a,h,h,p,m,rubu,a,NA,l,761,a,NA,p,viti,10,NA,NA,3,NA,NA,NA,30,0
boot,2019,2020.06.19,interior,358,l,m,p,p,h,samb,a,NA,p,761,p,316,p,viti,10,NA,NA,2,NA,NA,NA,20,10
boot,2019,2020.06.22,interior,359,p,m,p,p,h,rubu,a,NA,m,761,l,316,a,NA,10,NA,NA,4,NA,NA,NA,40,50
boot,2019,2020.06.22,interior,360,p,m,p,l,m,rubu,a,NA,m,761,m,318,a,NA,10,1,1,4,NA,NA,NA,60,50
boot,2019,2020.06.12,interior,361,p,p,m,h,l,samb,p,loni,p,761,m,316,a,NA,10,NA,NA,5,NA,NA,NA,50,10
boot,2019,2020.06.15,interior,362,p,l,a,p,h,rubu,a,NA,l,761,l,316,l,viti,10,NA,NA,2,NA,NA,NA,20,50
boot,2019,2020.06.15,interior,363,a,m,l,m,h,samb,a,NA,h,samb,l,316,p,viti,10,NA,NA,1,NA,1,NA,20,10
boot,2019,2020.06.22,interior,364,p,m,p,l,h,rubu,l,rosa,m,761,m,316,a,NA,10,2,NA,2,NA,NA,NA,40,50
boot,2019,2020.06.22,interior,365,p,l,p,p,h,rubu,a,NA,m,761,m,318,a,NA,10,NA,NA,4,NA,NA,NA,40,75
boot,2019,2020.06.12,interior,366,a,m,a,p,h,rubu,a,NA,p,761,m,316,a,NA,10,1,NA,4,NA,NA,NA,50,1
boot,2019,2020.06.12,interior,367,a,m,a,l,h,samb,p,NA,m,951,m,951,a,NA,10,NA,NA,3,NA,2,NA,50,10
boot,2019,2020.06.12,interior,368,a,m,a,l,h,samb,a,NA,p,761,m,316,p,viti,10,NA,NA,6,NA,NA,NA,60,75
boot,2019,2020.06.15,interior,369,a,m,a,a,m,rubu,a,NA,p,381,l,833,a,NA,10,3,NA,NA,NA,NA,NA,30,100
boot,2019,2020.06.17,perimeter,950,a,m,a,p,m,rubu,a,NA,p,761,m,316,a,NA,10,NA,NA,2,NA,NA,NA,20,100
boot,2019,2020.06.17,perimeter,951,m,l,p,p,h,rubu,a,NA,m,761,p,316,p,viti,10,NA,NA,1,NA,NA,NA,10,25
