harvest,location,point,count,spp,origin,year,type,size,stems.per.acre
red_pine,interior,334,1,sb,singl/unk,2019,commercial,sup_short,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,sup_med,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,exp_short,4051.3433928239374
red_pine,interior,334,1,sb,singl/unk,2019,commercial,exp_med,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,suppressed,0
red_pine,interior,334,1,sb,singl/unk,2019,commercial,exposed,4051.3433928239374
red_pine,interior,334,1,sb,singl/unk,2019,commercial,total,4051.3433928239374
red_pine,interior,334,1,sb,singl/unk,2019,commercial,winners,385.1589656094425
red_pine,interior,334,1,ro,singl/unk,2019,commercial,sup_short,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,sup_med,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,exp_short,1012.8358482059843
red_pine,interior,334,1,ro,singl/unk,2019,commercial,exp_med,385.1589656094425
red_pine,interior,334,1,ro,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,suppressed,0
red_pine,interior,334,1,ro,singl/unk,2019,commercial,exposed,1397.9948138154268
red_pine,interior,334,1,ro,singl/unk,2019,commercial,total,1397.9948138154268
red_pine,interior,334,1,ro,singl/unk,2019,commercial,winners,385.1589656094425
red_pine,interior,335,1,wa,singl/unk,2019,commercial,sup_short,2025.6716964119687
red_pine,interior,335,1,wa,singl/unk,2019,commercial,sup_med,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,exp_short,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,exp_med,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,suppressed,2025.6716964119687
red_pine,interior,335,1,wa,singl/unk,2019,commercial,exposed,0
red_pine,interior,335,1,wa,singl/unk,2019,commercial,total,2025.6716964119687
